Dataset,Side,Model,Status,CV_Acc,Test_Acc,Sensitivity,Specificity,F1_Macro,ROC_AUC,Time
Ds005602,Left,SVM,OK,87.89%,94.64%,95.00%,94.44%,94.23%,0.9403,8.0s
Ds005602,Left,MLP,OK,87.89%,94.64%,95.00%,94.44%,94.23%,0.9569,8.5s
Ds005602,Left,ResNet (Standard),OK,87.89%,94.64%,95.00%,94.44%,94.23%,0.9500,50.0s
Ds005602,Left,ResNet (AutoEncoder),OK,87.89%,92.86%,95.00%,91.67%,92.38%,0.9528,33.9s
Ds005602,Left,MobileNet,OK,87.89%,94.64%,95.00%,94.44%,94.23%,0.9500,44.1s
Ds005602,Left,SqueezeNet,OK,87.89%,94.64%,95.00%,94.44%,94.23%,0.9542,42.0s
Ds005602,Left,PointNet,OK,81.15%,91.07%,80.00%,97.22%,89.91%,0.9625,55.8s
Ds005602,Right,SVM,OK,89.39%,87.72%,76.47%,92.50%,85.07%,0.9750,8.0s
Ds005602,Right,MLP,OK,89.39%,87.72%,70.59%,95.00%,84.49%,0.9294,8.7s
Ds005602,Right,ResNet (Standard),OK,89.39%,91.23%,82.35%,95.00%,89.34%,0.9544,49.0s
Ds005602,Right,ResNet (AutoEncoder),OK,89.39%,91.23%,88.24%,92.50%,89.69%,0.9471,38.4s
Ds005602,Right,MobileNet,OK,89.39%,87.72%,76.47%,92.50%,85.07%,0.9500,47.5s
Ds005602,Right,SqueezeNet,OK,89.39%,89.47%,82.35%,92.50%,87.43%,0.9632,42.4s
Ds005602,Right,PointNet,OK,86.42%,91.23%,76.47%,97.50%,88.92%,0.9500,64.6s
Ds004469,Left,SVM,OK,74.00%,63.64%,0.00%,87.50%,38.89%,0.5000,6.9s
Ds004469,Left,MLP,OK,74.00%,72.73%,0.00%,100.00%,42.11%,0.5000,7.3s
Ds004469,Left,ResNet (Standard),OK,74.00%,54.55%,0.00%,75.00%,35.29%,0.3750,33.4s
Ds004469,Left,ResNet (AutoEncoder),OK,74.00%,54.55%,0.00%,75.00%,35.29%,0.5417,26.2s
Ds004469,Left,MobileNet,OK,74.00%,54.55%,0.00%,75.00%,35.29%,0.4167,32.8s
Ds004469,Left,SqueezeNet,OK,74.00%,54.55%,33.33%,62.50%,47.62%,0.5833,31.0s
Ds004469,Left,PointNet,OK,85.50%,54.55%,0.00%,75.00%,35.29%,0.3333,31.6s
Ds004469,Right,SVM,OK,81.29%,81.82%,0.00%,90.00%,45.00%,0.0000,6.3s
Ds004469,Right,MLP,OK,81.29%,90.91%,0.00%,100.00%,47.62%,0.0000,6.0s
Ds004469,Right,ResNet (Standard),OK,81.29%,72.73%,0.00%,80.00%,42.11%,0.1000,26.4s
Ds004469,Right,ResNet (AutoEncoder),OK,81.29%,81.82%,0.00%,90.00%,45.00%,0.5000,21.1s
Ds004469,Right,MobileNet,OK,81.29%,81.82%,0.00%,90.00%,45.00%,0.9000,23.4s
Ds004469,Right,SqueezeNet,OK,81.29%,81.82%,0.00%,90.00%,45.00%,0.5000,25.0s
Ds004469,Right,PointNet,OK,76.53%,90.91%,0.00%,100.00%,47.62%,0.6000,25.0s
All_Augment_tain,Left,SVM,OK,86.71%,85.07%,65.22%,95.45%,82.18%,0.9140,7.6s
All_Augment_tain,Left,MLP,OK,86.71%,86.57%,65.22%,97.73%,83.72%,0.8943,8.4s
All_Augment_tain,Left,ResNet (Standard),OK,86.71%,86.57%,65.22%,97.73%,83.72%,0.8962,42.8s
All_Augment_tain,Left,ResNet (AutoEncoder),OK,86.71%,85.07%,69.57%,93.18%,82.66%,0.8933,34.3s
All_Augment_tain,Left,MobileNet,OK,86.71%,85.07%,65.22%,95.45%,82.18%,0.9012,42.7s
All_Augment_tain,Left,SqueezeNet,OK,86.71%,83.58%,65.22%,93.18%,80.67%,0.8775,43.6s
All_Augment_tain,Left,PointNet,OK,81.38%,85.07%,69.57%,93.18%,82.66%,0.8211,59.7s
All_Augment_tain,Right,SVM,OK,88.94%,85.29%,55.56%,96.00%,78.62%,0.8522,7.8s
All_Augment_tain,Right,MLP,OK,88.94%,85.29%,61.11%,94.00%,79.57%,0.8522,8.9s
All_Augment_tain,Right,ResNet (Standard),OK,88.94%,85.29%,66.67%,92.00%,80.39%,0.8533,40.8s
All_Augment_tain,Right,ResNet (AutoEncoder),OK,88.94%,85.29%,66.67%,92.00%,80.39%,0.8778,32.2s
All_Augment_tain,Right,MobileNet,OK,88.94%,82.35%,55.56%,92.00%,75.48%,0.8800,40.4s
All_Augment_tain,Right,SqueezeNet,OK,88.94%,77.94%,55.56%,86.00%,71.15%,0.8478,43.0s
All_Augment_tain,Right,PointNet,OK,86.36%,85.29%,66.67%,92.00%,80.39%,0.8267,65.5s
