Mean_Acc,Acc_SD,Acc_95CI,Mean_Sens,Sens_95CI,Mean_Spec,Spec_95CI,Mean_F1,F1_95CI,Mean_AUC,AUC_95CI,Dataset,Side,Model,Test_N,Pos_N,Neg_N
94.81%,+/-2.94%,"[89.29%, 100.00%]",95.17%,"[84.21%, 100.00%]",94.63%,"[85.71%, 100.00%]",94.32%,"[87.33%, 100.00%]",0.9426,"[0.8531, 1.0000]",Ds005602,Left,SVM,56,20,36
94.68%,+/-2.96%,"[87.50%, 100.00%]",94.88%,"[83.33%, 100.00%]",94.56%,"[86.11%, 100.00%]",94.14%,"[87.00%, 100.00%]",0.9560,"[0.8694, 1.0000]",Ds005602,Left,MLP,56,20,36
94.66%,+/-3.00%,"[89.24%, 100.00%]",95.04%,"[83.33%, 100.00%]",94.46%,"[86.48%, 100.00%]",94.12%,"[87.12%, 100.00%]",0.9503,"[0.8611, 1.0000]",Ds005602,Left,ResNet (Standard),56,20,36
92.84%,+/-3.44%,"[85.71%, 98.21%]",95.04%,"[83.33%, 100.00%]",91.60%,"[81.08%, 100.00%]",92.24%,"[84.44%, 98.19%]",0.9531,"[0.8670, 1.0000]",Ds005602,Left,ResNet (AutoEncoder),56,20,36
94.63%,+/-2.96%,"[89.29%, 100.00%]",94.82%,"[83.32%, 100.00%]",94.51%,"[86.66%, 100.00%]",94.08%,"[86.87%, 100.00%]",0.9488,"[0.8547, 1.0000]",Ds005602,Left,MobileNet,56,20,36
94.65%,+/-3.06%,"[87.50%, 100.00%]",95.03%,"[83.33%, 100.00%]",94.43%,"[85.29%, 100.00%]",94.14%,"[86.87%, 100.00%]",0.9541,"[0.8677, 1.0000]",Ds005602,Left,SqueezeNet,56,20,36
91.25%,+/-3.88%,"[83.93%, 98.21%]",80.28%,"[61.11%, 95.46%]",97.41%,"[90.91%, 100.00%]",89.94%,"[80.67%, 97.92%]",0.9624,"[0.8906, 1.0000]",Ds005602,Left,PointNet,56,20,36
87.84%,+/-4.35%,"[78.95%, 96.49%]",70.86%,"[46.65%, 92.32%]",95.02%,"[87.50%, 100.00%]",84.24%,"[73.19%, 94.15%]",0.9752,"[0.9360, 0.9979]",Ds005602,Right,SVM,57,17,40
87.76%,+/-4.20%,"[78.95%, 94.74%]",70.52%,"[49.93%, 91.67%]",95.07%,"[87.80%, 100.00%]",84.17%,"[73.30%, 93.60%]",0.9308,"[0.8255, 0.9944]",Ds005602,Right,MLP,57,17,40
91.07%,+/-3.74%,"[82.46%, 98.25%]",81.92%,"[60.00%, 100.00%]",94.94%,"[87.80%, 100.00%]",88.91%,"[79.19%, 97.69%]",0.9532,"[0.8904, 0.9967]",Ds005602,Right,ResNet (Standard),57,17,40
