round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,28,50,8,13,0.7879,0.8621,0.6829,0.8264,0.6829,0.8621,0.7273,0.8074
2,30,53,10,6,0.8384,0.8413,0.8333,0.8689,0.8333,0.8413,0.7895,0.8796
3,22,43,18,16,0.6566,0.7049,0.5789,0.7167,0.5789,0.7049,0.5641,0.7709
4,30,52,8,9,0.8283,0.8667,0.7692,0.8595,0.7692,0.8667,0.7792,0.853
5,21,52,15,11,0.7374,0.7761,0.6562,0.8,0.6562,0.7761,0.6176,0.806
6,36,42,9,12,0.7879,0.8235,0.75,0.8,0.75,0.8235,0.7742,0.8946
7,20,49,19,11,0.697,0.7206,0.6452,0.7656,0.6452,0.7206,0.5714,0.759
8,21,58,8,12,0.798,0.8788,0.6364,0.8529,0.6364,0.8788,0.6774,0.7893
9,22,59,7,11,0.8182,0.8939,0.6667,0.8676,0.6667,0.8939,0.7097,0.8522
10,27,53,9,10,0.8081,0.8548,0.7297,0.848,0.7297,0.8548,0.7397,0.8753
11,21,51,15,12,0.7273,0.7727,0.6364,0.7907,0.6364,0.7727,0.6087,0.7888
12,22,59,11,7,0.8182,0.8429,0.7586,0.8676,0.7586,0.8429,0.7097,0.8271
13,21,48,16,14,0.697,0.75,0.6,0.7619,0.6,0.75,0.5833,0.7772
14,21,62,4,12,0.8384,0.9394,0.6364,0.8857,0.6364,0.9394,0.7241,0.9123
15,29,44,15,11,0.7374,0.7458,0.725,0.7719,0.725,0.7458,0.6905,0.8593
16,27,44,14,14,0.7172,0.7586,0.6585,0.7586,0.6585,0.7586,0.6585,0.7973
17,25,56,9,9,0.8182,0.8615,0.7353,0.8615,0.7353,0.8615,0.7353,0.8525
18,24,52,15,8,0.7677,0.7761,0.75,0.8189,0.75,0.7761,0.6761,0.827
19,14,63,8,14,0.7778,0.8873,0.5,0.8514,0.5,0.8873,0.56,0.7923
20,24,58,7,10,0.8283,0.8923,0.7059,0.8722,0.7059,0.8923,0.7385,0.8706
21,20,57,7,15,0.7778,0.8906,0.5714,0.8382,0.5714,0.8906,0.6452,0.8438
22,20,50,16,13,0.7071,0.7576,0.6061,0.7752,0.6061,0.7576,0.5797,0.7686
23,20,54,15,10,0.7475,0.7826,0.6667,0.812,0.6667,0.7826,0.6154,0.8029
24,25,50,14,10,0.7576,0.7812,0.7143,0.8065,0.7143,0.7812,0.6757,0.854
25,22,56,9,12,0.7879,0.8615,0.6471,0.8421,0.6471,0.8615,0.6769,0.7864
26,25,50,10,14,0.7576,0.8333,0.641,0.8065,0.641,0.8333,0.6757,0.8615
27,25,51,10,13,0.7677,0.8361,0.6579,0.816,0.6579,0.8361,0.6849,0.827
28,23,54,13,9,0.7778,0.806,0.7188,0.8308,0.7188,0.806,0.6765,0.8619
29,28,52,11,8,0.8081,0.8254,0.7778,0.8455,0.7778,0.8254,0.7467,0.9224
30,23,55,10,11,0.7879,0.8462,0.6765,0.8397,0.6765,0.8462,0.6866,0.8154
31,22,54,14,9,0.7677,0.7941,0.7097,0.8244,0.7097,0.7941,0.6567,0.8159
32,24,55,12,8,0.798,0.8209,0.75,0.8462,0.75,0.8209,0.7059,0.8256
33,26,45,15,13,0.7172,0.75,0.6667,0.7627,0.6667,0.75,0.65,0.7885
34,30,48,10,11,0.7879,0.8276,0.7317,0.8205,0.7317,0.8276,0.7407,0.8532
35,24,48,17,10,0.7273,0.7385,0.7059,0.7805,0.7059,0.7385,0.64,0.8258
36,29,49,11,10,0.7879,0.8167,0.7436,0.8235,0.7436,0.8167,0.7342,0.8615
37,20,54,11,14,0.7475,0.8308,0.5882,0.812,0.5882,0.8308,0.6154,0.7552
38,27,58,4,10,0.8586,0.9355,0.7297,0.8923,0.7297,0.9355,0.7941,0.884
39,23,58,12,6,0.8182,0.8286,0.7931,0.8657,0.7931,0.8286,0.7188,0.8793
40,30,54,7,8,0.8485,0.8852,0.7895,0.878,0.7895,0.8852,0.8,0.9055
41,28,50,10,11,0.7879,0.8333,0.7179,0.8264,0.7179,0.8333,0.7273,0.8739
42,22,56,9,12,0.7879,0.8615,0.6471,0.8421,0.6471,0.8615,0.6769,0.7819
43,28,51,7,13,0.798,0.8793,0.6829,0.8361,0.6829,0.8793,0.7368,0.8936
44,18,63,7,11,0.8182,0.9,0.6207,0.875,0.6207,0.9,0.6667,0.8084
45,27,49,12,11,0.7677,0.8033,0.7105,0.8099,0.7105,0.8033,0.7013,0.8732
46,31,50,9,9,0.8182,0.8475,0.775,0.8475,0.775,0.8475,0.775,0.8792
47,23,53,12,11,0.7677,0.8154,0.6765,0.8217,0.6765,0.8154,0.6667,0.7905
48,32,43,11,13,0.7576,0.7963,0.7111,0.7818,0.7111,0.7963,0.7273,0.8123
49,19,54,13,13,0.7374,0.806,0.5938,0.806,0.5938,0.806,0.5938,0.8148
50,15,65,8,11,0.8081,0.8904,0.5769,0.8725,0.5769,0.8904,0.6122,0.7518
51,26,50,9,14,0.7677,0.8475,0.65,0.813,0.65,0.8475,0.6933,0.7975
52,24,54,7,14,0.7879,0.8852,0.6316,0.8372,0.6316,0.8852,0.6957,0.8434
53,18,61,6,14,0.798,0.9104,0.5625,0.8592,0.5625,0.9104,0.6429,0.8531
54,28,54,8,9,0.8283,0.871,0.7568,0.864,0.7568,0.871,0.7671,0.8936
55,21,56,12,10,0.7778,0.8235,0.6774,0.8358,0.6774,0.8235,0.6562,0.861
56,18,55,17,9,0.7374,0.7639,0.6667,0.8088,0.6667,0.7639,0.5806,0.8349
57,30,50,7,12,0.8081,0.8772,0.7143,0.8403,0.7143,0.8772,0.7595,0.8442
58,19,57,14,9,0.7677,0.8028,0.6786,0.8321,0.6786,0.8028,0.623,0.8109
59,31,49,10,9,0.8081,0.8305,0.775,0.8376,0.775,0.8305,0.7654,0.9042
60,21,56,11,11,0.7778,0.8358,0.6562,0.8358,0.6562,0.8358,0.6562,0.7854
61,26,46,15,12,0.7273,0.7541,0.6842,0.7731,0.6842,0.7541,0.6582,0.7912
62,28,49,6,16,0.7778,0.8909,0.6364,0.8167,0.6364,0.8909,0.7179,0.8339
63,16,50,22,11,0.6667,0.6944,0.5926,0.7519,0.5926,0.6944,0.4923,0.7747
64,22,52,8,17,0.7475,0.8667,0.5641,0.8062,0.5641,0.8667,0.6377,0.865
65,28,45,14,12,0.7374,0.7627,0.7,0.7759,0.7,0.7627,0.6829,0.8144
66,26,50,13,10,0.7677,0.7937,0.7222,0.813,0.7222,0.7937,0.6933,0.817
67,21,56,13,9,0.7778,0.8116,0.7,0.8358,0.7,0.8116,0.6562,0.8116
68,25,53,9,12,0.7879,0.8548,0.6757,0.8346,0.6757,0.8548,0.7042,0.8213
69,29,46,10,14,0.7576,0.8214,0.6744,0.7931,0.6744,0.8214,0.7073,0.8094
70,19,59,9,12,0.7879,0.8676,0.6129,0.8489,0.6129,0.8676,0.6441,0.8548
71,23,52,14,10,0.7576,0.7879,0.697,0.8125,0.697,0.7879,0.6571,0.7736
72,22,55,14,8,0.7778,0.7971,0.7333,0.8333,0.7333,0.7971,0.6667,0.8609
73,29,56,6,8,0.8586,0.9032,0.7838,0.8889,0.7838,0.9032,0.8056,0.8932
74,23,51,10,15,0.7475,0.8361,0.6053,0.8031,0.6053,0.8361,0.6479,0.8201
75,17,58,12,12,0.7576,0.8286,0.5862,0.8286,0.5862,0.8286,0.5862,0.7522
76,21,50,10,18,0.7172,0.8333,0.5385,0.7812,0.5385,0.8333,0.6,0.8209
77,18,59,13,9,0.7778,0.8194,0.6667,0.8429,0.6667,0.8194,0.6207,0.8791
78,20,47,13,19,0.6768,0.7833,0.5128,0.746,0.5128,0.7833,0.5556,0.8222
79,36,42,13,8,0.7879,0.7636,0.8182,0.8,0.8182,0.7636,0.7742,0.9128
80,21,56,8,14,0.7778,0.875,0.6,0.8358,0.6,0.875,0.6562,0.8134
81,17,56,11,15,0.7374,0.8358,0.5312,0.8116,0.5312,0.8358,0.5667,0.8498
82,27,55,7,10,0.8283,0.8871,0.7297,0.8661,0.7297,0.8871,0.7606,0.8788
83,27,56,11,5,0.8384,0.8358,0.8438,0.875,0.8438,0.8358,0.7714,0.945
84,22,49,18,10,0.7172,0.7313,0.6875,0.7778,0.6875,0.7313,0.6111,0.7743
85,23,56,9,11,0.798,0.8615,0.6765,0.8485,0.6765,0.8615,0.697,0.8457
86,35,40,15,9,0.7576,0.7273,0.7955,0.7692,0.7955,0.7273,0.7447,0.8417
87,25,53,9,12,0.7879,0.8548,0.6757,0.8346,0.6757,0.8548,0.7042,0.8779
88,22,56,8,13,0.7879,0.875,0.6286,0.8421,0.6286,0.875,0.6769,0.8424
89,23,59,10,7,0.8283,0.8551,0.7667,0.8741,0.7667,0.8551,0.7302,0.901
90,21,50,9,19,0.7172,0.8475,0.525,0.7812,0.525,0.8475,0.6,0.8017
91,24,54,11,10,0.7879,0.8308,0.7059,0.8372,0.7059,0.8308,0.6957,0.8765
92,24,54,10,11,0.7879,0.8438,0.6857,0.8372,0.6857,0.8438,0.6957,0.8661
93,23,52,8,16,0.7576,0.8667,0.5897,0.8125,0.5897,0.8667,0.6571,0.8329
94,29,50,9,11,0.798,0.8475,0.725,0.8333,0.725,0.8475,0.7436,0.8924
95,23,57,10,9,0.8081,0.8507,0.7188,0.8571,0.7188,0.8507,0.7077,0.8368
96,21,47,16,15,0.6869,0.746,0.5833,0.752,0.5833,0.746,0.5753,0.7879
97,30,51,9,9,0.8182,0.85,0.7692,0.85,0.7692,0.85,0.7692,0.8748
98,31,50,7,11,0.8182,0.8772,0.7381,0.8475,0.7381,0.8772,0.775,0.8743
99,19,54,10,16,0.7374,0.8438,0.5429,0.806,0.5429,0.8438,0.5937,0.7665
100,28,52,12,7,0.8081,0.8125,0.8,0.8455,0.8,0.8125,0.7467,0.8522
101,21,51,13,14,0.7273,0.7969,0.6,0.7907,0.6,0.7969,0.6087,0.7884
102,25,50,8,16,0.7576,0.8621,0.6098,0.8065,0.6098,0.8621,0.6757,0.8112
103,19,54,13,13,0.7374,0.806,0.5938,0.806,0.5938,0.806,0.5938,0.805
104,21,57,11,10,0.7879,0.8382,0.6774,0.8444,0.6774,0.8382,0.6667,0.8159
105,17,54,12,16,0.7172,0.8182,0.5152,0.7941,0.5152,0.8182,0.5484,0.8324
106,29,51,10,9,0.8081,0.8361,0.7632,0.843,0.7632,0.8361,0.7532,0.8499
107,22,58,9,10,0.8081,0.8657,0.6875,0.8593,0.6875,0.8657,0.6984,0.8629
108,22,50,16,11,0.7273,0.7576,0.6667,0.7874,0.6667,0.7576,0.6197,0.8352
109,27,51,12,9,0.7879,0.8095,0.75,0.8293,0.75,0.8095,0.72,0.8836
110,18,61,8,12,0.798,0.8841,0.6,0.8592,0.6,0.8841,0.6429,0.8425
111,28,48,14,9,0.7677,0.7742,0.7568,0.8067,0.7568,0.7742,0.7089,0.8705
112,25,49,13,12,0.7475,0.7903,0.6757,0.7967,0.6757,0.7903,0.6667,0.8361
113,18,60,10,11,0.7879,0.8571,0.6207,0.8511,0.6207,0.8571,0.6316,0.8581
114,25,51,10,13,0.7677,0.8361,0.6579,0.816,0.6579,0.8361,0.6849,0.811
115,16,64,10,9,0.8081,0.8649,0.64,0.8707,0.64,0.8649,0.6275,0.8719
116,22,53,14,10,0.7576,0.791,0.6875,0.8154,0.6875,0.791,0.6471,0.8489
117,26,53,11,9,0.798,0.8281,0.7429,0.8413,0.7429,0.8281,0.7222,0.8621
118,28,56,7,8,0.8485,0.8889,0.7778,0.8819,0.7778,0.8889,0.7887,0.8805
119,18,55,17,9,0.7374,0.7639,0.6667,0.8088,0.6667,0.7639,0.5806,0.8344
