round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,20,51,7,21,0.7172,0.8793,0.4878,0.7846,0.4878,0.8793,0.5882,0.714
2,23,55,8,13,0.7879,0.873,0.6389,0.8397,0.6389,0.873,0.6866,0.8267
3,15,45,16,23,0.6061,0.7377,0.3947,0.6977,0.3947,0.7377,0.4348,0.6635
4,28,52,8,11,0.8081,0.8667,0.7179,0.8455,0.7179,0.8667,0.7467,0.8295
5,15,54,13,17,0.697,0.806,0.4688,0.7826,0.4688,0.806,0.5,0.7388
6,26,42,9,22,0.6869,0.8235,0.5417,0.7304,0.5417,0.8235,0.6265,0.8362
7,15,52,16,16,0.6768,0.7647,0.4839,0.7647,0.4839,0.7647,0.4839,0.6755
8,16,58,8,17,0.7475,0.8788,0.4848,0.8227,0.4848,0.8788,0.5614,0.7378
9,17,59,7,16,0.7677,0.8939,0.5152,0.8369,0.5152,0.8939,0.5965,0.826
10,23,53,9,14,0.7677,0.8548,0.6216,0.8217,0.6216,0.8548,0.6667,0.816
11,17,53,13,16,0.7071,0.803,0.5152,0.7852,0.5152,0.803,0.5397,0.7677
12,18,60,10,11,0.7879,0.8571,0.6207,0.8511,0.6207,0.8571,0.6316,0.7685
13,15,50,14,20,0.6566,0.7812,0.4286,0.7463,0.4286,0.7812,0.4688,0.6696
14,18,62,4,15,0.8081,0.9394,0.5455,0.8671,0.5455,0.9394,0.6545,0.8251
15,23,46,13,17,0.697,0.7797,0.575,0.7541,0.575,0.7797,0.6053,0.7742
16,23,45,13,18,0.6869,0.7759,0.561,0.7438,0.561,0.7759,0.5974,0.7502
17,20,56,9,14,0.7677,0.8615,0.5882,0.8296,0.5882,0.8615,0.6349,0.7937
18,19,55,12,13,0.7475,0.8209,0.5938,0.8148,0.5938,0.8209,0.6032,0.7803
19,13,63,8,15,0.7677,0.8873,0.4643,0.8456,0.4643,0.8873,0.5306,0.7575
20,23,59,6,11,0.8283,0.9077,0.6765,0.8741,0.6765,0.9077,0.7302,0.8407
21,17,58,6,18,0.7576,0.9062,0.4857,0.8286,0.4857,0.9062,0.5862,0.7996
