round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,29,50,8,12,0.798,0.8621,0.7073,0.8333,0.7073,0.8621,0.7436,0.8124
2,32,53,10,4,0.8586,0.8413,0.8889,0.8833,0.8889,0.8413,0.8205,0.8721
3,23,43,18,15,0.6667,0.7049,0.6053,0.7227,0.6053,0.7049,0.5823,0.7338
4,29,52,8,10,0.8182,0.8667,0.7436,0.8525,0.7436,0.8667,0.7632,0.859
5,22,52,15,10,0.7475,0.7761,0.6875,0.8062,0.6875,0.7761,0.6377,0.7771
6,37,42,9,11,0.798,0.8235,0.7708,0.8077,0.7708,0.8235,0.7872,0.8587
7,21,49,19,10,0.7071,0.7206,0.6774,0.7717,0.6774,0.7206,0.5915,0.7149
8,20,58,8,13,0.7879,0.8788,0.6061,0.8467,0.6061,0.8788,0.6557,0.7723
9,21,59,7,12,0.8081,0.8939,0.6364,0.8613,0.6364,0.8939,0.6885,0.8517
10,30,53,9,7,0.8384,0.8548,0.8108,0.8689,0.8108,0.8548,0.7895,0.8518
11,24,51,15,9,0.7576,0.7727,0.7273,0.8095,0.7273,0.7727,0.6667,0.7893
12,22,59,11,7,0.8182,0.8429,0.7586,0.8676,0.7586,0.8429,0.7097,0.8133
13,24,48,16,11,0.7273,0.75,0.6857,0.7805,0.6857,0.75,0.64,0.7571
14,22,62,4,11,0.8485,0.9394,0.6667,0.8921,0.6667,0.9394,0.7458,0.9091
15,29,44,15,11,0.7374,0.7458,0.725,0.7719,0.725,0.7458,0.6905,0.8263
16,31,44,14,10,0.7576,0.7586,0.7561,0.7857,0.7561,0.7586,0.7209,0.7717
17,26,56,9,8,0.8283,0.8615,0.7647,0.8682,0.7647,0.8615,0.7536,0.838
18,24,52,15,8,0.7677,0.7761,0.75,0.8189,0.75,0.7761,0.6761,0.8022
19,16,63,8,12,0.798,0.8873,0.5714,0.863,0.5714,0.8873,0.6154,0.7847
20,26,58,7,8,0.8485,0.8923,0.7647,0.8855,0.7647,0.8923,0.7761,0.8719
21,22,57,7,13,0.798,0.8906,0.6286,0.8507,0.6286,0.8906,0.6875,0.846
22,20,50,16,13,0.7071,0.7576,0.6061,0.7752,0.6061,0.7576,0.5797,0.7626
23,21,54,15,9,0.7576,0.7826,0.7,0.8182,0.7,0.7826,0.6364,0.7792
24,27,50,14,8,0.7778,0.7812,0.7714,0.8197,0.7714,0.7812,0.7105,0.842
25,25,56,9,9,0.8182,0.8615,0.7353,0.8615,0.7353,0.8615,0.7353,0.7891
26,24,50,10,15,0.7475,0.8333,0.6154,0.8,0.6154,0.8333,0.6575,0.8547
27,26,51,10,12,0.7778,0.8361,0.6842,0.8226,0.6842,0.8361,0.7027,0.8395
28,23,54,13,9,0.7778,0.806,0.7188,0.8308,0.7188,0.806,0.6765,0.8479
29,27,52,11,9,0.798,0.8254,0.75,0.8387,0.75,0.8254,0.7297,0.9118
30,22,55,10,12,0.7778,0.8462,0.6471,0.8333,0.6471,0.8462,0.6667,0.8127
31,24,54,14,7,0.7879,0.7941,0.7742,0.8372,0.7742,0.7941,0.6957,0.8036
32,25,55,12,7,0.8081,0.8209,0.7812,0.8527,0.7812,0.8209,0.7246,0.8237
33,25,45,15,14,0.7071,0.75,0.641,0.7563,0.641,0.75,0.6329,0.7714
34,29,48,10,12,0.7778,0.8276,0.7073,0.8136,0.7073,0.8276,0.725,0.82
35,26,48,17,8,0.7475,0.7385,0.7647,0.7934,0.7647,0.7385,0.6753,0.8136
36,30,49,11,9,0.798,0.8167,0.7692,0.8305,0.7692,0.8167,0.75,0.8368
37,19,54,11,15,0.7374,0.8308,0.5588,0.806,0.5588,0.8308,0.5938,0.7208
38,27,58,4,10,0.8586,0.9355,0.7297,0.8923,0.7297,0.9355,0.7941,0.8867
39,22,58,12,7,0.8081,0.8286,0.7586,0.8593,0.7586,0.8286,0.6984,0.8512
40,32,54,7,6,0.8687,0.8852,0.8421,0.8926,0.8421,0.8852,0.8312,0.8986
41,29,50,10,10,0.798,0.8333,0.7436,0.8333,0.7436,0.8333,0.7436,0.8752
42,22,56,9,12,0.7879,0.8615,0.6471,0.8421,0.6471,0.8615,0.6769,0.7928
43,30,51,7,11,0.8182,0.8793,0.7317,0.85,0.7317,0.8793,0.7692,0.8793
