round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,28,51,7,13,0.798,0.8793,0.6829,0.8361,0.6829,0.8793,0.7368,0.8436
2,30,56,7,6,0.8687,0.8889,0.8333,0.896,0.8333,0.8889,0.8219,0.9149
3,22,45,16,16,0.6768,0.7377,0.5789,0.7377,0.5789,0.7377,0.5789,0.7934
4,30,52,8,9,0.8283,0.8667,0.7692,0.8595,0.7692,0.8667,0.7792,0.865
5,21,55,12,11,0.7677,0.8209,0.6562,0.8271,0.6562,0.8209,0.6462,0.8251
6,36,44,7,12,0.8081,0.8627,0.75,0.8224,0.75,0.8627,0.7912,0.913
7,20,52,16,11,0.7273,0.7647,0.6452,0.7939,0.6452,0.7647,0.597,0.7699
8,21,58,8,12,0.798,0.8788,0.6364,0.8529,0.6364,0.8788,0.6774,0.8306
9,22,60,6,11,0.8283,0.9091,0.6667,0.8759,0.6667,0.9091,0.7213,0.8682
10,27,53,9,10,0.8081,0.8548,0.7297,0.848,0.7297,0.8548,0.7397,0.8936
11,21,53,13,12,0.7475,0.803,0.6364,0.8092,0.6364,0.803,0.6269,0.8384
12,22,60,10,7,0.8283,0.8571,0.7586,0.8759,0.7586,0.8571,0.7213,0.8493
13,21,53,11,14,0.7475,0.8281,0.6,0.8092,0.6,0.8281,0.6269,0.7973
14,21,62,4,12,0.8384,0.9394,0.6364,0.8857,0.6364,0.9394,0.7241,0.9229
15,29,46,13,11,0.7576,0.7797,0.725,0.7931,0.725,0.7797,0.7073,0.8619
16,27,46,12,14,0.7374,0.7931,0.6585,0.7797,0.6585,0.7931,0.675,0.804
17,25,58,7,9,0.8384,0.8923,0.7353,0.8788,0.7353,0.8923,0.7576,0.8566
18,24,55,12,8,0.798,0.8209,0.75,0.8462,0.75,0.8209,0.7059,0.8675
19,14,63,8,14,0.7778,0.8873,0.5,0.8514,0.5,0.8873,0.56,0.8003
20,24,59,6,10,0.8384,0.9077,0.7059,0.8806,0.7059,0.9077,0.75,0.9014
21,20,58,6,15,0.7879,0.9062,0.5714,0.8467,0.5714,0.9062,0.6557,0.8638
22,20,51,15,13,0.7172,0.7727,0.6061,0.7846,0.6061,0.7727,0.5882,0.7957
23,20,57,12,10,0.7778,0.8261,0.6667,0.8382,0.6667,0.8261,0.6452,0.8372
24,25,53,11,10,0.7879,0.8281,0.7143,0.8346,0.7143,0.8281,0.7042,0.867
25,22,58,7,12,0.8081,0.8923,0.6471,0.8593,0.6471,0.8923,0.6984,0.824
26,25,50,10,14,0.7576,0.8333,0.641,0.8065,0.641,0.8333,0.6757,0.8688
27,25,53,8,13,0.7879,0.8689,0.6579,0.8346,0.6579,0.8689,0.7042,0.843
28,23,56,11,9,0.798,0.8358,0.7188,0.8485,0.7188,0.8358,0.697,0.8661
29,28,53,10,8,0.8182,0.8413,0.7778,0.8548,0.7778,0.8413,0.7568,0.9171
30,23,57,8,11,0.8081,0.8769,0.6765,0.8571,0.6765,0.8769,0.7077,0.8335
31,22,55,13,9,0.7778,0.8088,0.7097,0.8333,0.7097,0.8088,0.6667,0.8444
32,24,55,12,8,0.798,0.8209,0.75,0.8462,0.75,0.8209,0.7059,0.8405
33,26,48,12,13,0.7475,0.8,0.6667,0.7934,0.6667,0.8,0.6753,0.8085
34,30,50,8,11,0.8081,0.8621,0.7317,0.8403,0.7317,0.8621,0.7595,0.8751
35,24,50,15,10,0.7475,0.7692,0.7059,0.8,0.7059,0.7692,0.6575,0.8525
36,29,51,9,10,0.8081,0.85,0.7436,0.843,0.7436,0.85,0.7532,0.8765
37,20,55,10,14,0.7576,0.8462,0.5882,0.8209,0.5882,0.8462,0.625,0.776
38,27,59,3,10,0.8687,0.9516,0.7297,0.9008,0.7297,0.9516,0.806,0.898
39,23,58,12,6,0.8182,0.8286,0.7931,0.8657,0.7931,0.8286,0.7188,0.8897
40,30,56,5,8,0.8687,0.918,0.7895,0.896,0.7895,0.918,0.8219,0.9275
41,28,51,9,11,0.798,0.85,0.7179,0.8361,0.7179,0.85,0.7368,0.8889
42,22,58,7,12,0.8081,0.8923,0.6471,0.8593,0.6471,0.8923,0.6984,0.8077
43,28,54,4,13,0.8283,0.931,0.6829,0.864,0.6829,0.931,0.7671,0.905
44,18,64,6,11,0.8283,0.9143,0.6207,0.8828,0.6207,0.9143,0.6792,0.8498
45,27,53,8,11,0.8081,0.8689,0.7105,0.848,0.7105,0.8689,0.7397,0.8904
46,31,51,8,9,0.8283,0.8644,0.775,0.8571,0.775,0.8644,0.7848,0.8852
47,23,55,10,11,0.7879,0.8462,0.6765,0.8397,0.6765,0.8462,0.6866,0.8154
48,32,44,10,13,0.7677,0.8148,0.7111,0.7928,0.7111,0.8148,0.7356,0.8309
49,19,57,10,13,0.7677,0.8507,0.5938,0.8321,0.5938,0.8507,0.623,0.8354
50,15,66,7,11,0.8182,0.9041,0.5769,0.88,0.5769,0.9041,0.625,0.7829
51,26,52,7,14,0.7879,0.8814,0.65,0.832,0.65,0.8814,0.7123,0.8347
52,24,56,5,14,0.8081,0.918,0.6316,0.855,0.6316,0.918,0.7164,0.8753
53,18,62,5,14,0.8081,0.9254,0.5625,0.8671,0.5625,0.9254,0.6545,0.8657
54,28,57,5,9,0.8586,0.9194,0.7568,0.8906,0.7568,0.9194,0.8,0.9045
55,21,58,10,10,0.798,0.8529,0.6774,0.8529,0.6774,0.8529,0.6774,0.8629
56,18,57,15,9,0.7576,0.7917,0.6667,0.8261,0.6667,0.7917,0.6,0.8436
57,30,50,7,12,0.8081,0.8772,0.7143,0.8403,0.7143,0.8772,0.7595,0.8459
58,19,61,10,9,0.8081,0.8592,0.6786,0.8652,0.6786,0.8592,0.6667,0.8199
59,31,51,8,9,0.8283,0.8644,0.775,0.8571,0.775,0.8644,0.7848,0.9178
60,21,56,11,11,0.7778,0.8358,0.6562,0.8358,0.6562,0.8358,0.6562,0.806
61,26,48,13,12,0.7475,0.7869,0.6842,0.7934,0.6842,0.7869,0.6753,0.8236
62,28,51,4,16,0.798,0.9273,0.6364,0.8361,0.6364,0.9273,0.7368,0.8397
63,16,54,18,11,0.7071,0.75,0.5926,0.7883,0.5926,0.75,0.5246,0.7917
64,22,53,7,17,0.7576,0.8833,0.5641,0.8154,0.5641,0.8833,0.6471,0.8671
65,28,46,13,12,0.7475,0.7797,0.7,0.7863,0.7,0.7797,0.6914,0.8369
66,26,54,9,10,0.8081,0.8571,0.7222,0.8504,0.7222,0.8571,0.7324,0.8197
67,21,59,10,9,0.8081,0.8551,0.7,0.8613,0.7,0.8551,0.6885,0.8353
68,25,56,6,12,0.8182,0.9032,0.6757,0.8615,0.6757,0.9032,0.7353,0.8474
69,29,51,5,14,0.8081,0.9107,0.6744,0.843,0.6744,0.9107,0.7532,0.8493
70,19,61,7,12,0.8081,0.8971,0.6129,0.8652,0.6129,0.8971,0.6667,0.8676
71,23,54,12,10,0.7778,0.8182,0.697,0.8308,0.697,0.8182,0.6765,0.7998
72,22,58,11,8,0.8081,0.8406,0.7333,0.8593,0.7333,0.8406,0.6984,0.8865
73,29,57,5,8,0.8687,0.9194,0.7838,0.8976,0.7838,0.9194,0.8169,0.9189
74,23,53,8,15,0.7677,0.8689,0.6053,0.8217,0.6053,0.8689,0.6667,0.8447
75,17,61,9,12,0.7879,0.8714,0.5862,0.8531,0.5862,0.8714,0.6182,0.77
76,21,51,9,18,0.7273,0.85,0.5385,0.7907,0.5385,0.85,0.6087,0.8346
77,18,62,10,9,0.8081,0.8611,0.6667,0.8671,0.6667,0.8611,0.6545,0.8951
78,20,49,11,19,0.697,0.8167,0.5128,0.7656,0.5128,0.8167,0.5714,0.8415
79,36,43,12,8,0.798,0.7818,0.8182,0.8113,0.8182,0.7818,0.7826,0.9194
80,21,57,7,14,0.7879,0.8906,0.6,0.8444,0.6,0.8906,0.6667,0.8379
81,17,56,11,15,0.7374,0.8358,0.5312,0.8116,0.5312,0.8358,0.5667,0.8437
82,27,59,3,10,0.8687,0.9516,0.7297,0.9008,0.7297,0.9516,0.806,0.8897
83,27,58,9,5,0.8586,0.8657,0.8438,0.8923,0.8438,0.8657,0.7941,0.9454
84,22,51,16,10,0.7374,0.7612,0.6875,0.7969,0.6875,0.7612,0.6286,0.792
85,23,58,7,11,0.8182,0.8923,0.6765,0.8657,0.6765,0.8923,0.7188,0.8615
86,35,42,13,9,0.7778,0.7636,0.7955,0.7925,0.7955,0.7636,0.7609,0.8645
87,25,53,9,12,0.7879,0.8548,0.6757,0.8346,0.6757,0.8548,0.7042,0.8915
88,22,59,5,13,0.8182,0.9219,0.6286,0.8676,0.6286,0.9219,0.7097,0.8576
