round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,20,72,4,6,0.902,0.9474,0.7692,0.9351,0.7692,0.9474,0.8,0.8988
2,17,76,2,7,0.9118,0.9744,0.7083,0.9441,0.7083,0.9744,0.7907,0.8152
3,20,72,2,8,0.902,0.973,0.7143,0.9351,0.7143,0.973,0.8,0.8914
4,18,74,2,8,0.902,0.9737,0.6923,0.9367,0.6923,0.9737,0.7826,0.9307
5,18,68,5,11,0.8431,0.9315,0.6207,0.8947,0.6207,0.9315,0.6923,0.7487
6,16,65,9,12,0.7941,0.8784,0.5714,0.8609,0.5714,0.8784,0.6038,0.7992
7,18,75,3,6,0.9118,0.9615,0.75,0.9434,0.75,0.9615,0.8,0.9428
8,16,72,4,10,0.8627,0.9474,0.6154,0.9114,0.6154,0.9474,0.6957,0.7804
9,13,71,8,10,0.8235,0.8987,0.5652,0.8875,0.5652,0.8987,0.5909,0.7677
10,21,67,5,9,0.8627,0.9306,0.7,0.9054,0.7,0.9306,0.75,0.8625
11,14,69,4,15,0.8137,0.9452,0.4828,0.879,0.4828,0.9452,0.5957,0.7813
12,17,72,4,9,0.8725,0.9474,0.6538,0.9172,0.6538,0.9474,0.7234,0.8497
13,19,71,6,6,0.8824,0.9221,0.76,0.9221,0.76,0.9221,0.76,0.8551
14,22,65,8,7,0.8529,0.8904,0.7586,0.8966,0.7586,0.8904,0.7458,0.8281
15,16,76,6,4,0.902,0.9268,0.8,0.9383,0.8,0.9268,0.7619,0.9238
16,23,61,6,12,0.8235,0.9104,0.6571,0.8714,0.6571,0.9104,0.7188,0.8384
17,18,67,3,14,0.8333,0.9571,0.5625,0.8874,0.5625,0.9571,0.6792,0.8223
18,15,78,3,6,0.9118,0.963,0.7143,0.9455,0.7143,0.963,0.7692,0.856
