round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,18,71,5,8,0.8725,0.9342,0.6923,0.9161,0.6923,0.9342,0.7347,0.9124
2,14,74,4,10,0.8627,0.9487,0.5833,0.9136,0.5833,0.9487,0.6667,0.8018
3,19,71,3,9,0.8824,0.9595,0.6786,0.9221,0.6786,0.9595,0.76,0.8904
4,19,74,2,7,0.9118,0.9737,0.7308,0.9427,0.7308,0.9737,0.8085,0.8927
5,16,68,5,13,0.8235,0.9315,0.5517,0.8831,0.5517,0.9315,0.64,0.7326
6,18,65,9,10,0.8137,0.8784,0.6429,0.8725,0.6429,0.8784,0.6545,0.8065
7,15,73,5,9,0.8627,0.9359,0.625,0.9125,0.625,0.9359,0.6818,0.9332
8,16,72,4,10,0.8627,0.9474,0.6154,0.9114,0.6154,0.9474,0.6957,0.7652
9,13,71,8,10,0.8235,0.8987,0.5652,0.8875,0.5652,0.8987,0.5909,0.7578
10,19,67,5,11,0.8431,0.9306,0.6333,0.8933,0.6333,0.9306,0.7037,0.7968
11,18,69,4,11,0.8529,0.9452,0.6207,0.902,0.6207,0.9452,0.7059,0.7766
12,15,72,4,11,0.8529,0.9474,0.5769,0.9057,0.5769,0.9474,0.6667,0.7895
13,18,70,7,7,0.8627,0.9091,0.72,0.9091,0.72,0.9091,0.72,0.8078
14,21,63,10,8,0.8235,0.863,0.7241,0.875,0.7241,0.863,0.7,0.8148
15,16,75,7,4,0.8922,0.9146,0.8,0.9317,0.8,0.9146,0.7442,0.8659
16,18,60,7,17,0.7647,0.8955,0.5143,0.8333,0.5143,0.8955,0.6,0.794
17,16,66,4,16,0.8039,0.9429,0.5,0.8684,0.5,0.9429,0.6154,0.7469
18,11,78,3,10,0.8725,0.963,0.5238,0.9231,0.5238,0.963,0.6286,0.786
19,24,66,3,9,0.8824,0.9565,0.7273,0.9167,0.7273,0.9565,0.8,0.9284
20,19,67,4,12,0.8431,0.9437,0.6129,0.8933,0.6129,0.9437,0.7037,0.8124
