round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,20,65,11,6,0.8333,0.8553,0.7692,0.8844,0.7692,0.8553,0.7018,0.8785
2,16,68,10,8,0.8235,0.8718,0.6667,0.8831,0.6667,0.8718,0.64,0.7965
3,21,70,4,7,0.8922,0.9459,0.75,0.9272,0.75,0.9459,0.7925,0.8789
4,19,67,9,7,0.8431,0.8816,0.7308,0.8933,0.7308,0.8816,0.7037,0.9119
5,17,66,7,12,0.8137,0.9041,0.5862,0.8742,0.5862,0.9041,0.6415,0.7633
6,19,71,3,9,0.8824,0.9595,0.6786,0.9221,0.6786,0.9595,0.76,0.8176
7,21,72,6,3,0.9118,0.9231,0.875,0.9412,0.875,0.9231,0.8235,0.9466
8,18,68,8,8,0.8431,0.8947,0.6923,0.8947,0.6923,0.8947,0.6923,0.8021
9,14,71,8,9,0.8333,0.8987,0.6087,0.8931,0.6087,0.8987,0.6222,0.7766
10,20,65,7,10,0.8333,0.9028,0.6667,0.8844,0.6667,0.9028,0.7018,0.844
11,18,68,5,11,0.8431,0.9315,0.6207,0.8947,0.6207,0.9315,0.6923,0.7992
12,18,68,8,8,0.8431,0.8947,0.6923,0.8947,0.6923,0.8947,0.6923,0.8365
13,18,69,8,7,0.8529,0.8961,0.72,0.902,0.72,0.8961,0.7059,0.8577
14,18,62,11,11,0.7843,0.8493,0.6207,0.8493,0.6207,0.8493,0.6207,0.829
15,16,74,8,4,0.8824,0.9024,0.8,0.925,0.8,0.9024,0.7273,0.9018
16,21,60,7,14,0.7941,0.8955,0.6,0.8511,0.6,0.8955,0.6667,0.8124
17,19,61,9,13,0.7843,0.8714,0.5938,0.8472,0.5938,0.8714,0.6333,0.8013
18,12,74,7,9,0.8431,0.9136,0.5714,0.9024,0.5714,0.9136,0.6,0.8125
19,26,61,8,7,0.8529,0.8841,0.7879,0.8905,0.7879,0.8841,0.7761,0.9117
20,21,60,11,10,0.7941,0.8451,0.6774,0.8511,0.6774,0.8451,0.6667,0.8392
21,18,67,8,9,0.8333,0.8933,0.6667,0.8874,0.6667,0.8933,0.6792,0.9057
22,23,66,6,7,0.8725,0.9167,0.7667,0.9103,0.7667,0.9167,0.7797,0.8787
23,23,69,4,6,0.902,0.9452,0.7931,0.9324,0.7931,0.9452,0.8214,0.8956
24,22,64,10,6,0.8431,0.8649,0.7857,0.8889,0.7857,0.8649,0.7333,0.8962
25,21,66,9,6,0.8529,0.88,0.7778,0.898,0.7778,0.88,0.7368,0.8978
26,25,60,13,4,0.8333,0.8219,0.8621,0.8759,0.8621,0.8219,0.7463,0.9315
27,18,62,9,13,0.7843,0.8732,0.5806,0.8493,0.5806,0.8732,0.6207,0.8305
28,19,62,8,13,0.7941,0.8857,0.5938,0.8552,0.5938,0.8857,0.6441,0.7589
29,27,61,4,10,0.8627,0.9385,0.7297,0.8971,0.7297,0.9385,0.7941,0.9035
30,19,69,7,7,0.8627,0.9079,0.7308,0.9079,0.7308,0.9079,0.7308,0.8537
31,16,67,12,7,0.8137,0.8481,0.6957,0.8758,0.6957,0.8481,0.6275,0.8415
32,24,64,11,3,0.8627,0.8533,0.8889,0.9014,0.8889,0.8533,0.7742,0.9427
33,16,68,10,8,0.8235,0.8718,0.6667,0.8831,0.6667,0.8718,0.64,0.7922
34,16,68,8,10,0.8235,0.8947,0.6154,0.8831,0.6154,0.8947,0.64,0.793
35,15,70,8,9,0.8333,0.8974,0.625,0.8917,0.625,0.8974,0.6383,0.8579
