round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,19,64,12,7,0.8137,0.8421,0.7308,0.8707,0.7308,0.8421,0.6667,0.8649
2,17,65,13,7,0.8039,0.8333,0.7083,0.8667,0.7083,0.8333,0.6296,0.7997
3,20,68,6,8,0.8627,0.9189,0.7143,0.9067,0.7143,0.9189,0.7407,0.8953
4,19,67,9,7,0.8431,0.8816,0.7308,0.8933,0.7308,0.8816,0.7037,0.8907
5,17,61,12,12,0.7647,0.8356,0.5862,0.8356,0.5862,0.8356,0.5862,0.7222
6,20,70,4,8,0.8824,0.9459,0.7143,0.9211,0.7143,0.9459,0.7692,0.8451
7,17,69,9,7,0.8431,0.8846,0.7083,0.8961,0.7083,0.8846,0.68,0.9322
8,17,66,10,9,0.8137,0.8684,0.6538,0.8742,0.6538,0.8684,0.6415,0.7768
9,15,67,12,8,0.8039,0.8481,0.6522,0.8701,0.6522,0.8481,0.6,0.7771
10,20,64,8,10,0.8235,0.8889,0.6667,0.8767,0.6667,0.8889,0.6897,0.8421
11,21,66,7,8,0.8529,0.9041,0.7241,0.898,0.7241,0.9041,0.7368,0.8153
12,18,66,10,8,0.8235,0.8684,0.6923,0.88,0.6923,0.8684,0.6667,0.831
13,18,68,9,7,0.8431,0.8831,0.72,0.8947,0.72,0.8831,0.6923,0.8306
14,20,58,15,9,0.7647,0.7945,0.6897,0.8286,0.6897,0.7945,0.625,0.8035
15,17,70,12,3,0.8529,0.8537,0.85,0.9032,0.85,0.8537,0.6939,0.9122
16,20,59,8,15,0.7745,0.8806,0.5714,0.8369,0.5714,0.8806,0.6349,0.8324
17,17,61,9,15,0.7647,0.8714,0.5312,0.8356,0.5312,0.8714,0.5862,0.779
18,12,75,6,9,0.8529,0.9259,0.5714,0.9091,0.5714,0.9259,0.6154,0.8042
19,24,59,10,9,0.8137,0.8551,0.7273,0.8613,0.7273,0.8551,0.7164,0.8955
20,23,63,8,8,0.8431,0.8873,0.7419,0.8873,0.7419,0.8873,0.7419,0.8551
21,18,66,9,9,0.8235,0.88,0.6667,0.88,0.6667,0.88,0.6667,0.8879
22,25,61,11,5,0.8431,0.8472,0.8333,0.8841,0.8333,0.8472,0.7576,0.8931
23,22,62,11,7,0.8235,0.8493,0.7586,0.8732,0.7586,0.8493,0.7097,0.8923
24,23,61,13,5,0.8235,0.8243,0.8214,0.8714,0.8214,0.8243,0.7187,0.889
25,17,65,10,10,0.8039,0.8667,0.6296,0.8667,0.6296,0.8667,0.6296,0.883
26,25,63,10,4,0.8627,0.863,0.8621,0.9,0.8621,0.863,0.7813,0.9518
27,18,61,10,13,0.7745,0.8592,0.5806,0.8414,0.5806,0.8592,0.6102,0.8083
28,18,59,11,14,0.7549,0.8429,0.5625,0.8252,0.5625,0.8429,0.5902,0.7348
29,29,57,8,8,0.8431,0.8769,0.7838,0.8769,0.7838,0.8769,0.7838,0.8973
30,17,70,6,9,0.8529,0.9211,0.6538,0.9032,0.6538,0.9211,0.6939,0.8163
31,18,69,10,5,0.8529,0.8734,0.7826,0.902,0.7826,0.8734,0.7059,0.8387
32,22,63,12,5,0.8333,0.84,0.8148,0.8811,0.8148,0.84,0.7213,0.9368
33,14,69,9,10,0.8137,0.8846,0.5833,0.879,0.5833,0.8846,0.5957,0.7698
34,17,64,12,9,0.7941,0.8421,0.6538,0.8591,0.6538,0.8421,0.6182,0.8122
35,15,67,11,9,0.8039,0.859,0.625,0.8701,0.625,0.859,0.6,0.8413
36,20,67,9,6,0.8529,0.8816,0.7692,0.8993,0.7692,0.8816,0.7273,0.9155
37,17,66,9,10,0.8137,0.88,0.6296,0.8742,0.6296,0.88,0.6415,0.8558
38,19,60,14,9,0.7745,0.8108,0.6786,0.8392,0.6786,0.8108,0.623,0.7987
39,20,71,8,3,0.8922,0.8987,0.8696,0.9281,0.8696,0.8987,0.7843,0.9059
40,14,68,12,8,0.8039,0.85,0.6364,0.8718,0.6364,0.85,0.5833,0.8545
41,25,56,13,8,0.7941,0.8116,0.7576,0.8421,0.7576,0.8116,0.7042,0.8783
42,19,66,10,7,0.8333,0.8684,0.7308,0.8859,0.7308,0.8684,0.6909,0.8365
