round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
1,19,68,8,7,0.8529,0.8947,0.7308,0.9007,0.7308,0.8947,0.717,0.9008
2,16,70,8,8,0.8431,0.8974,0.6667,0.8974,0.6667,0.8974,0.6667,0.8248
3,19,72,2,9,0.8922,0.973,0.6786,0.929,0.6786,0.973,0.7755,0.9035
4,19,73,3,7,0.902,0.9605,0.7308,0.9359,0.7308,0.9605,0.7917,0.8887
5,16,67,6,13,0.8137,0.9178,0.5517,0.8758,0.5517,0.9178,0.6275,0.7506
6,18,71,3,10,0.8725,0.9595,0.6429,0.9161,0.6429,0.9595,0.7347,0.8875
7,17,73,5,7,0.8824,0.9359,0.7083,0.9241,0.7083,0.9359,0.7391,0.9129
8,17,70,6,9,0.8529,0.9211,0.6538,0.9032,0.6538,0.9211,0.6939,0.7905
9,13,76,3,10,0.8725,0.962,0.5652,0.9212,0.5652,0.962,0.6667,0.77
10,19,66,6,11,0.8333,0.9167,0.6333,0.8859,0.6333,0.9167,0.6909,0.8282
11,18,70,3,11,0.8627,0.9589,0.6207,0.9091,0.6207,0.9589,0.72,0.8356
12,16,71,5,10,0.8529,0.9342,0.6154,0.9045,0.6154,0.9342,0.6809,0.8537
13,18,71,6,7,0.8725,0.9221,0.72,0.9161,0.72,0.9221,0.7347,0.8431
14,18,64,9,11,0.8039,0.8767,0.6207,0.8649,0.6207,0.8767,0.6429,0.8385
15,16,76,6,4,0.902,0.9268,0.8,0.9383,0.8,0.9268,0.7619,0.8976
16,18,61,6,17,0.7745,0.9104,0.5143,0.8414,0.5143,0.9104,0.6102,0.8269
17,16,66,4,16,0.8039,0.9429,0.5,0.8684,0.5,0.9429,0.6154,0.7509
18,12,76,5,9,0.8627,0.9383,0.5714,0.9157,0.5714,0.9383,0.6316,0.7813
19,23,63,6,10,0.8431,0.913,0.697,0.8873,0.697,0.913,0.7419,0.9021
20,21,66,5,10,0.8529,0.9296,0.6774,0.898,0.6774,0.9296,0.7368,0.8642
21,18,69,6,9,0.8529,0.92,0.6667,0.902,0.6667,0.92,0.7059,0.8647
22,22,65,7,8,0.8529,0.9028,0.7333,0.8966,0.7333,0.9028,0.7458,0.9111
23,22,69,4,7,0.8922,0.9452,0.7586,0.9262,0.7586,0.9452,0.8,0.9088
24,22,65,9,6,0.8529,0.8784,0.7857,0.8966,0.7857,0.8784,0.7458,0.8745
25,17,66,9,10,0.8137,0.88,0.6296,0.8742,0.6296,0.88,0.6415,0.8706
26,25,68,5,4,0.9118,0.9315,0.8621,0.9379,0.8621,0.9315,0.8475,0.9594
27,18,65,6,13,0.8137,0.9155,0.5806,0.8725,0.5806,0.9155,0.6545,0.7969
28,18,61,9,14,0.7745,0.8714,0.5625,0.8414,0.5625,0.8714,0.6102,0.7911
29,27,61,4,10,0.8627,0.9385,0.7297,0.8971,0.7297,0.9385,0.7941,0.8819
30,17,74,2,9,0.8922,0.9737,0.6538,0.9308,0.6538,0.9737,0.7556,0.8102
31,16,71,8,7,0.8529,0.8987,0.6957,0.9045,0.6957,0.8987,0.6809,0.8718
32,22,66,9,5,0.8627,0.88,0.8148,0.9041,0.8148,0.88,0.7586,0.9388
33,14,72,6,10,0.8431,0.9231,0.5833,0.9,0.5833,0.9231,0.6364,0.7831
34,15,70,6,11,0.8333,0.9211,0.5769,0.8917,0.5769,0.9211,0.6383,0.8133
35,14,73,5,10,0.8529,0.9359,0.5833,0.9068,0.5833,0.9359,0.6512,0.8232
36,20,69,7,6,0.8725,0.9079,0.7692,0.9139,0.7692,0.9079,0.7547,0.9205
37,15,70,5,12,0.8333,0.9333,0.5556,0.8917,0.5556,0.9333,0.6383,0.8459
38,19,64,10,9,0.8137,0.8649,0.6786,0.8707,0.6786,0.8649,0.6667,0.8094
39,20,74,5,3,0.9216,0.9367,0.8696,0.9487,0.8696,0.9367,0.8333,0.9218
40,13,76,4,9,0.8725,0.95,0.5909,0.9212,0.5909,0.95,0.6667,0.8614
41,25,64,5,8,0.8725,0.9275,0.7576,0.9078,0.7576,0.9275,0.7937,0.8757
42,18,68,8,8,0.8431,0.8947,0.6923,0.8947,0.6923,0.8947,0.6923,0.8583
43,24,62,6,10,0.8431,0.9118,0.7059,0.8857,0.7059,0.9118,0.75,0.8599
44,22,69,6,5,0.8922,0.92,0.8148,0.9262,0.8148,0.92,0.8,0.959
45,14,67,11,10,0.7941,0.859,0.5833,0.8645,0.5833,0.859,0.5714,0.8766
46,19,71,4,8,0.8824,0.9467,0.7037,0.9221,0.7037,0.9467,0.76,0.8696
47,18,72,2,10,0.8824,0.973,0.6429,0.9231,0.6429,0.973,0.75,0.8605
48,19,67,9,7,0.8431,0.8816,0.7308,0.8933,0.7308,0.8816,0.7037,0.875
49,14,71,5,12,0.8333,0.9342,0.5385,0.8931,0.5385,0.9342,0.6222,0.8219
50,16,68,7,11,0.8235,0.9067,0.5926,0.8831,0.5926,0.9067,0.64,0.7728
51,14,70,8,10,0.8235,0.8974,0.5833,0.8861,0.5833,0.8974,0.6087,0.8643
52,13,68,7,14,0.7941,0.9067,0.4815,0.8662,0.4815,0.9067,0.5532,0.7388
53,13,73,4,12,0.8431,0.9481,0.52,0.9012,0.52,0.9481,0.619,0.7943
54,17,75,5,5,0.902,0.9375,0.7727,0.9375,0.7727,0.9375,0.7727,0.7977
55,18,70,5,9,0.8627,0.9333,0.6667,0.9091,0.6667,0.9333,0.72,0.9091
56,25,62,7,8,0.8529,0.8986,0.7576,0.8921,0.7576,0.8986,0.7692,0.9051
57,19,67,7,9,0.8431,0.9054,0.6786,0.8933,0.6786,0.9054,0.7037,0.8567
58,21,68,5,8,0.8725,0.9315,0.7241,0.9128,0.7241,0.9315,0.7636,0.9164
59,26,64,7,5,0.8824,0.9014,0.8387,0.9143,0.8387,0.9014,0.8125,0.8869
60,17,73,3,9,0.8824,0.9605,0.6538,0.9241,0.6538,0.9605,0.7391,0.8613
61,23,64,5,10,0.8529,0.9275,0.697,0.8951,0.697,0.9275,0.7541,0.9069
62,12,75,3,12,0.8529,0.9615,0.5,0.9091,0.5,0.9615,0.6154,0.7356
63,20,69,2,11,0.8725,0.9718,0.6452,0.9139,0.6452,0.9718,0.7547,0.8791
64,11,76,10,5,0.8529,0.8837,0.6875,0.9102,0.6875,0.8837,0.5946,0.8844
65,23,72,2,5,0.9314,0.973,0.8214,0.9536,0.8214,0.973,0.8679,0.8962
