Dataset,Side,Model,Boot_Acc,Boot_Sens,Boot_Spec,Boot_F1,Boot_AUC
Dataset_1,Left,SVM,"78.22% [68.92%, 86.49%]","69.18% [50.00%, 86.96%]","83.03% [71.42%, 92.86%]","75.77% [65.53%, 85.64%]","0.8115 [0.7011, 0.9081]"
Dataset_1,Left,MLP,"77.10% [66.22%, 87.84%]","88.20% [75.00%, 100.00%]","71.12% [57.40%, 84.49%]","76.30% [65.91%, 86.49%]","0.8698 [0.7724, 0.9560]"
Dataset_1,Left,ResNet (Standard),"76.95% [66.22%, 86.49%]","69.15% [51.48%, 86.21%]","81.18% [69.23%, 91.67%]","74.64% [63.28%, 85.18%]","0.8212 [0.7028, 0.9233]"
Dataset_1,Left,ResNet (AutoEncoder),"75.81% [66.22%, 85.14%]","69.56% [51.72%, 87.50%]","79.22% [67.99%, 89.75%]","73.65% [63.26%, 83.83%]","0.8274 [0.7234, 0.9255]"
Dataset_1,Left,MobileNet,"78.43% [68.92%, 87.84%]","73.09% [55.56%, 89.47%]","81.23% [70.58%, 91.11%]","76.38% [66.08%, 86.24%]","0.8288 [0.7254, 0.9169]"
Dataset_1,Left,SqueezeNet,"81.09% [71.62%, 89.19%]","77.21% [60.00%, 92.59%]","83.12% [71.73%, 92.45%]","79.27% [69.13%, 88.66%]","0.8532 [0.7350, 0.9484]"
Dataset_1,Right,SVM,"80.18% [70.67%, 89.33%]","55.02% [31.25%, 77.78%]","89.15% [80.77%, 96.55%]","72.72% [60.32%, 84.11%]","0.8731 [0.7514, 0.9592]"
Dataset_1,Right,MLP,"89.28% [81.33%, 96.00%]","84.85% [66.67%, 100.00%]","90.90% [82.46%, 98.11%]","86.51% [76.85%, 94.62%]","0.9161 [0.8236, 0.9766]"
Dataset_1,Right,ResNet (Standard),"80.97% [72.00%, 89.33%]","64.20% [42.86%, 86.36%]","87.04% [77.36%, 94.74%]","75.24% [63.99%, 86.06%]","0.8970 [0.7979, 0.9670]"
Dataset_1,Right,ResNet (AutoEncoder),"83.93% [74.67%, 92.00%]","69.77% [50.00%, 88.89%]","89.06% [79.62%, 96.37%]","79.13% [67.83%, 89.16%]","0.9082 [0.8225, 0.9718]"
Dataset_1,Right,MobileNet,"82.46% [73.33%, 90.67%]","59.61% [36.36%, 81.26%]","90.77% [82.69%, 98.11%]","76.04% [64.24%, 86.41%]","0.9220 [0.8461, 0.9787]"
Dataset_1,Right,SqueezeNet,"88.04% [80.00%, 94.67%]","79.99% [58.32%, 95.24%]","90.96% [83.02%, 98.00%]","84.66% [74.41%, 92.43%]","0.9042 [0.8178, 0.9727]"
Dataset_2,Left,SVM,"70.20% [59.46%, 79.76%]","76.69% [59.26%, 92.86%]","66.71% [53.18%, 79.17%]","69.10% [57.72%, 79.64%]","0.7588 [0.6346, 0.8654]"
Dataset_2,Left,MLP,"65.05% [54.05%, 75.68%]","62.10% [42.09%, 80.77%]","66.70% [53.06%, 80.01%]","63.11% [52.35%, 73.51%]","0.7522 [0.6333, 0.8587]"
Dataset_2,Left,ResNet (Standard),"69.86% [59.46%, 79.73%]","68.59% [50.00%, 85.71%]","70.57% [58.00%, 82.23%]","68.04% [56.89%, 78.42%]","0.7521 [0.6362, 0.8633]"
Dataset_2,Left,ResNet (AutoEncoder),"68.77% [58.11%, 79.73%]","69.24% [50.00%, 86.97%]","68.44% [55.00%, 81.25%]","67.07% [56.24%, 78.60%]","0.7658 [0.6329, 0.8843]"
Dataset_2,Left,MobileNet,"67.51% [56.76%, 78.38%]","61.29% [42.10%, 79.17%]","70.79% [57.69%, 83.33%]","65.13% [53.49%, 76.28%]","0.7528 [0.6136, 0.8626]"
Dataset_2,Left,SqueezeNet,"77.11% [67.57%, 85.17%]","81.18% [65.22%, 95.46%]","74.89% [61.70%, 86.05%]","75.90% [65.01%, 85.07%]","0.8661 [0.7624, 0.9402]"
Dataset_2,Right,SVM,"74.82% [65.33%, 84.00%]","65.30% [42.86%, 86.67%]","78.31% [67.78%, 88.47%]","69.64% [58.19%, 80.69%]","0.8260 [0.7111, 0.9191]"
Dataset_2,Right,MLP,"74.65% [64.00%, 84.00%]","65.04% [42.86%, 85.71%]","78.15% [66.67%, 88.68%]","69.47% [57.17%, 80.71%]","0.8139 [0.6868, 0.9204]"
Dataset_2,Right,ResNet (Standard),"77.34% [66.67%, 86.67%]","64.74% [42.84%, 85.00%]","81.94% [70.91%, 91.38%]","71.92% [60.17%, 82.96%]","0.8458 [0.7207, 0.9373]"
Dataset_2,Right,ResNet (AutoEncoder),"85.32% [76.00%, 93.33%]","75.09% [52.93%, 94.44%]","89.01% [80.39%, 96.43%]","81.20% [69.57%, 90.68%]","0.8666 [0.7556, 0.9543]"
Dataset_2,Right,MobileNet,"81.35% [72.00%, 89.37%]","69.53% [47.06%, 90.00%]","85.62% [75.00%, 94.45%]","76.40% [64.76%, 87.44%]","0.8271 [0.7018, 0.9318]"
Dataset_2,Right,SqueezeNet,"83.90% [74.67%, 92.00%]","79.80% [60.00%, 95.65%]","85.43% [75.93%, 94.23%]","80.39% [69.84%, 90.10%]","0.8655 [0.7551, 0.9582]"
