Dataset,Side,Model,Status,CV_Acc,Test_Acc,Sensitivity,Specificity,F1_Macro,ROC_AUC,Time
Dataset_1,Left,SVM,OK,99.62%,75.68%,76.92%,75.00%,74.48%,0.8117,4.2s
Dataset_1,Left,MLP,OK,99.33%,77.03%,88.46%,70.83%,76.51%,0.8702,5.9s
Dataset_1,Left,ResNet (Standard),OK,100.00%,77.03%,69.23%,81.25%,75.01%,0.8213,146.1s
Dataset_1,Left,ResNet (AutoEncoder),OK,99.81%,75.68%,69.23%,79.17%,73.76%,0.8261,101.5s
Dataset_1,Left,MobileNet,OK,99.90%,78.38%,73.08%,81.25%,76.67%,0.8285,121.9s
Dataset_1,Left,SqueezeNet,OK,99.13%,81.08%,76.92%,83.33%,79.59%,0.8526,151.3s
Dataset_1,Right,SVM,OK,99.88%,80.00%,55.00%,89.09%,73.09%,0.8718,3.9s
Dataset_1,Right,MLP,OK,99.27%,89.33%,85.00%,90.91%,86.77%,0.9173,4.8s
Dataset_1,Right,ResNet (Standard),OK,100.00%,81.33%,65.00%,87.27%,76.14%,0.8982,151.7s
Dataset_1,Right,ResNet (AutoEncoder),OK,100.00%,84.00%,70.00%,89.09%,79.55%,0.9073,89.7s
Dataset_1,Right,MobileNet,OK,100.00%,82.67%,60.00%,90.91%,76.68%,0.9227,94.7s
Dataset_1,Right,SqueezeNet,OK,99.27%,88.00%,80.00%,90.91%,84.90%,0.9036,134.1s
Dataset_2,Left,SVM,OK,99.90%,70.27%,76.92%,66.67%,69.47%,0.7592,4.5s
Dataset_2,Left,MLP,OK,99.04%,64.86%,61.54%,66.67%,63.14%,0.7500,6.0s
Dataset_2,Left,ResNet (Standard),OK,99.71%,70.27%,69.23%,70.83%,68.81%,0.7572,149.5s
Dataset_2,Left,ResNet (AutoEncoder),OK,99.42%,68.92%,69.23%,68.75%,67.59%,0.7644,123.6s
Dataset_2,Left,MobileNet,OK,99.33%,67.57%,61.54%,70.83%,65.53%,0.7548,163.0s
Dataset_2,Left,SqueezeNet,OK,95.19%,77.03%,80.77%,75.00%,76.04%,0.8662,173.5s
Dataset_2,Right,SVM,OK,100.00%,76.00%,65.00%,80.00%,71.05%,0.8218,3.9s
Dataset_2,Right,MLP,OK,99.27%,74.67%,65.00%,78.18%,69.84%,0.8136,5.3s
Dataset_2,Right,ResNet (Standard),OK,100.00%,77.33%,65.00%,81.82%,72.29%,0.8436,107.1s
Dataset_2,Right,ResNet (AutoEncoder),OK,99.39%,85.33%,75.00%,89.09%,81.54%,0.8682,83.7s
Dataset_2,Right,MobileNet,OK,99.63%,81.33%,70.00%,85.45%,76.85%,0.8273,103.7s
Dataset_2,Right,SqueezeNet,OK,97.07%,84.00%,80.00%,85.45%,80.70%,0.8641,117.5s
