Dataset,Side,Model,Class,Accuracy,Precision,Recall,F1_Score,Mean_SD,Support,ROC_AUC
Ds005602,Left,SVM,Class 0: Healthy Control,94.64%,97.14%,94.44%,95.77%,94.81% ± 2.94%,36,0.9403
Ds005602,Left,SVM,Class 1: Epilepsy (TLE),94.64%,90.48%,95.00%,92.68%,94.81% ± 2.94%,20,0.9403
Ds005602,Left,SVM,Overall / Macro Avg,94.64%,93.81%,94.72%,94.23%,94.81% ± 2.94%,56,0.9403
Ds005602,Left,MLP,Class 0: Healthy Control,94.64%,97.14%,94.44%,95.77%,94.68% ± 2.96%,36,0.9569
Ds005602,Left,MLP,Class 1: Epilepsy (TLE),94.64%,90.48%,95.00%,92.68%,94.68% ± 2.96%,20,0.9569
Ds005602,Left,MLP,Overall / Macro Avg,94.64%,93.81%,94.72%,94.23%,94.68% ± 2.96%,56,0.9569
Ds005602,Left,ResNet (Standard),Class 0: Healthy Control,94.64%,97.14%,94.44%,95.77%,94.66% ± 3.00%,36,0.9500
Ds005602,Left,ResNet (Standard),Class 1: Epilepsy (TLE),94.64%,90.48%,95.00%,92.68%,94.66% ± 3.00%,20,0.9500
Ds005602,Left,ResNet (Standard),Overall / Macro Avg,94.64%,93.81%,94.72%,94.23%,94.66% ± 3.00%,56,0.9500
Ds005602,Left,ResNet (AutoEncoder),Class 0: Healthy Control,92.86%,97.06%,91.67%,94.29%,92.84% ± 3.44%,36,0.9528
Ds005602,Left,ResNet (AutoEncoder),Class 1: Epilepsy (TLE),92.86%,86.36%,95.00%,90.48%,92.84% ± 3.44%,20,0.9528
Ds005602,Left,ResNet (AutoEncoder),Overall / Macro Avg,92.86%,91.71%,93.34%,92.38%,92.84% ± 3.44%,56,0.9528
Ds005602,Left,MobileNet,Class 0: Healthy Control,94.64%,97.14%,94.44%,95.77%,94.63% ± 2.96%,36,0.9500
Ds005602,Left,MobileNet,Class 1: Epilepsy (TLE),94.64%,90.48%,95.00%,92.68%,94.63% ± 2.96%,20,0.9500
Ds005602,Left,MobileNet,Overall / Macro Avg,94.64%,93.81%,94.72%,94.23%,94.63% ± 2.96%,56,0.9500
Ds005602,Left,SqueezeNet,Class 0: Healthy Control,94.64%,97.14%,94.44%,95.77%,94.65% ± 3.06%,36,0.9542
Ds005602,Left,SqueezeNet,Class 1: Epilepsy (TLE),94.64%,90.48%,95.00%,92.68%,94.65% ± 3.06%,20,0.9542
Ds005602,Left,SqueezeNet,Overall / Macro Avg,94.64%,93.81%,94.72%,94.23%,94.65% ± 3.06%,56,0.9542
Ds005602,Left,PointNet,Class 0: Healthy Control,91.07%,89.74%,97.22%,93.33%,91.25% ± 3.88%,36,0.9625
Ds005602,Left,PointNet,Class 1: Epilepsy (TLE),91.07%,94.12%,80.00%,86.49%,91.25% ± 3.88%,20,0.9625
Ds005602,Left,PointNet,Overall / Macro Avg,91.07%,91.93%,88.61%,89.91%,91.25% ± 3.88%,56,0.9625
Ds005602,Right,SVM,Class 0: Healthy Control,87.72%,88.37%,95.00%,91.57%,87.84% ± 4.35%,40,0.9750
Ds005602,Right,SVM,Class 1: Epilepsy (TLE),87.72%,85.71%,70.59%,77.42%,87.84% ± 4.35%,17,0.9750
Ds005602,Right,SVM,Overall / Macro Avg,87.72%,87.04%,82.80%,84.49%,87.84% ± 4.35%,57,0.9750
Ds005602,Right,MLP,Class 0: Healthy Control,87.72%,88.37%,95.00%,91.57%,87.76% ± 4.20%,40,0.9294
Ds005602,Right,MLP,Class 1: Epilepsy (TLE),87.72%,85.71%,70.59%,77.42%,87.76% ± 4.20%,17,0.9294
Ds005602,Right,MLP,Overall / Macro Avg,87.72%,87.04%,82.80%,84.49%,87.76% ± 4.20%,57,0.9294
Ds005602,Right,ResNet (Standard),Class 0: Healthy Control,91.23%,92.68%,95.00%,93.83%,91.07% ± 3.74%,40,0.9544
Ds005602,Right,ResNet (Standard),Class 1: Epilepsy (TLE),91.23%,87.50%,82.35%,84.85%,91.07% ± 3.74%,17,0.9544
Ds005602,Right,ResNet (Standard),Overall / Macro Avg,91.23%,90.09%,88.67%,89.34%,91.07% ± 3.74%,57,0.9544
Ds005602,Right,ResNet (AutoEncoder),Class 0: Healthy Control,91.23%,94.87%,92.50%,93.67%,91.16% ± 3.79%,40,0.9471
Ds005602,Right,ResNet (AutoEncoder),Class 1: Epilepsy (TLE),91.23%,83.33%,88.24%,85.71%,91.16% ± 3.79%,17,0.9471
Ds005602,Right,ResNet (AutoEncoder),Overall / Macro Avg,91.23%,89.10%,90.37%,89.69%,91.16% ± 3.79%,57,0.9471
Ds005602,Right,MobileNet,Class 0: Healthy Control,87.72%,90.24%,92.50%,91.36%,87.90% ± 4.32%,40,0.9500
Ds005602,Right,MobileNet,Class 1: Epilepsy (TLE),87.72%,81.25%,76.47%,78.79%,87.90% ± 4.32%,17,0.9500
Ds005602,Right,MobileNet,Overall / Macro Avg,87.72%,85.75%,84.48%,85.07%,87.90% ± 4.32%,57,0.9500
Ds005602,Right,SqueezeNet,Class 0: Healthy Control,89.47%,92.50%,92.50%,92.50%,89.49% ± 4.01%,40,0.9632
Ds005602,Right,SqueezeNet,Class 1: Epilepsy (TLE),89.47%,82.35%,82.35%,82.35%,89.49% ± 4.01%,17,0.9632
Ds005602,Right,SqueezeNet,Overall / Macro Avg,89.47%,87.42%,87.42%,87.43%,89.49% ± 4.01%,57,0.9632
Ds005602,Right,PointNet,Class 0: Healthy Control,91.23%,90.70%,97.50%,93.98%,91.15% ± 3.70%,40,0.9500
Ds005602,Right,PointNet,Class 1: Epilepsy (TLE),91.23%,92.86%,76.47%,83.87%,91.15% ± 3.70%,17,0.9500
Ds005602,Right,PointNet,Overall / Macro Avg,91.23%,91.78%,86.98%,88.92%,91.15% ± 3.70%,57,0.9500
All_Augment_tain,Left,SVM,Class 0: Healthy Control,85.07%,84.00%,95.45%,89.36%,85.04% ± 4.45%,44,0.9140
All_Augment_tain,Left,SVM,Class 1: Epilepsy (TLE),85.07%,88.24%,65.22%,75.00%,85.04% ± 4.45%,23,0.9140
All_Augment_tain,Left,SVM,Overall / Macro Avg,85.07%,86.12%,80.34%,82.18%,85.04% ± 4.45%,67,0.9140
All_Augment_tain,Left,MLP,Class 0: Healthy Control,86.57%,84.31%,97.73%,90.53%,86.79% ± 4.13%,44,0.8943
All_Augment_tain,Left,MLP,Class 1: Epilepsy (TLE),86.57%,93.75%,65.22%,76.92%,86.79% ± 4.13%,23,0.8943
All_Augment_tain,Left,MLP,Overall / Macro Avg,86.57%,89.03%,81.47%,83.72%,86.79% ± 4.13%,67,0.8943
All_Augment_tain,Left,ResNet (Standard),Class 0: Healthy Control,86.57%,84.31%,97.73%,90.53%,86.87% ± 4.15%,44,0.8962
