Dataset,Side,Model,Overall_Accuracy,Overall_Mean_SD,Class0_Healthy_Acc,Class0_Healthy_Precision,Class0_Healthy_Recall,Class0_Healthy_F1,Class0_Healthy_Mean_SD,Class1_Epilepsy_Acc,Class1_Epilepsy_Precision,Class1_Epilepsy_Recall,Class1_Epilepsy_F1,Class1_Epilepsy_Mean_SD,ROC_AUC
Ds005602,Left,SVM,94.64%,94.81% ± 2.94%,94.44%,97.14%,94.44%,95.77%,94.63% ± 3.83%,95.00%,90.48%,95.00%,92.68%,95.17% ± 4.75%,0.9403
Ds005602,Left,MLP,94.64%,94.68% ± 2.96%,94.44%,97.14%,94.44%,95.77%,94.56% ± 3.76%,95.00%,90.48%,95.00%,92.68%,94.88% ± 4.94%,0.9569
Ds005602,Left,ResNet (Standard),94.64%,94.66% ± 3.00%,94.44%,97.14%,94.44%,95.77%,94.46% ± 3.77%,95.00%,90.48%,95.00%,92.68%,95.04% ± 4.96%,0.9500
Ds005602,Left,ResNet (AutoEncoder),92.86%,92.84% ± 3.44%,91.67%,97.06%,91.67%,94.29%,91.60% ± 4.77%,95.00%,86.36%,95.00%,90.48%,95.04% ± 4.83%,0.9528
Ds005602,Left,MobileNet,94.64%,94.63% ± 2.96%,94.44%,97.14%,94.44%,95.77%,94.51% ± 3.69%,95.00%,90.48%,95.00%,92.68%,94.82% ± 5.16%,0.9500
Ds005602,Left,SqueezeNet,94.64%,94.65% ± 3.06%,94.44%,97.14%,94.44%,95.77%,94.43% ± 4.06%,95.00%,90.48%,95.00%,92.68%,95.03% ± 4.85%,0.9542
Ds005602,Left,PointNet,91.07%,91.25% ± 3.88%,97.22%,89.74%,97.22%,93.33%,97.41% ± 2.65%,80.00%,94.12%,80.00%,86.49%,80.28% ± 9.20%,0.9625
Ds005602,Right,SVM,87.72%,87.84% ± 4.35%,95.00%,88.37%,95.00%,91.57%,95.02% ± 3.39%,70.59%,85.71%,70.59%,77.42%,70.86% ± 11.37%,0.9750
Ds005602,Right,MLP,87.72%,87.76% ± 4.20%,95.00%,88.37%,95.00%,91.57%,95.07% ± 3.33%,70.59%,85.71%,70.59%,77.42%,70.52% ± 11.12%,0.9294
Ds005602,Right,ResNet (Standard),91.23%,91.07% ± 3.74%,95.00%,92.68%,95.00%,93.83%,94.94% ± 3.39%,82.35%,87.50%,82.35%,84.85%,81.92% ± 9.34%,0.9544
Ds005602,Right,ResNet (AutoEncoder),91.23%,91.16% ± 3.79%,92.50%,94.87%,92.50%,93.67%,92.52% ± 4.12%,88.24%,83.33%,88.24%,85.71%,87.92% ± 8.06%,0.9471
Ds005602,Right,MobileNet,87.72%,87.90% ± 4.32%,92.50%,90.24%,92.50%,91.36%,92.55% ± 4.06%,76.47%,81.25%,76.47%,78.79%,76.79% ± 10.56%,0.9500
Ds005602,Right,SqueezeNet,89.47%,89.49% ± 4.01%,92.50%,92.50%,92.50%,92.50%,92.58% ± 4.12%,82.35%,82.35%,82.35%,82.35%,82.26% ± 9.19%,0.9632
Ds005602,Right,PointNet,91.23%,91.15% ± 3.70%,97.50%,90.70%,97.50%,93.98%,97.59% ± 2.52%,76.47%,92.86%,76.47%,83.87%,76.03% ± 10.81%,0.9500
All_Augment_tain,Left,SVM,85.07%,85.04% ± 4.45%,95.45%,84.00%,95.45%,89.36%,95.44% ± 3.12%,65.22%,88.24%,65.22%,75.00%,65.31% ± 10.05%,0.9140
All_Augment_tain,Left,MLP,86.57%,86.79% ± 4.13%,97.73%,84.31%,97.73%,90.53%,97.77% ± 2.19%,65.22%,93.75%,65.22%,76.92%,65.40% ± 10.28%,0.8943
All_Augment_tain,Left,ResNet (Standard),86.57%,86.87% ± 4.15%,97.73%,84.31%,97.73%,90.53%,97.81% ± 2.21%,65.22%,93.75%,65.22%,76.92%,65.77% ± 10.32%,0.8962
All_Augment_tain,Left,ResNet (AutoEncoder),85.07%,85.10% ± 4.57%,93.18%,85.42%,93.18%,89.13%,93.16% ± 3.88%,69.57%,84.21%,69.57%,76.19%,69.58% ± 10.01%,0.8933
All_Augment_tain,Left,MobileNet,85.07%,84.84% ± 4.44%,95.45%,84.00%,95.45%,89.36%,95.39% ± 3.23%,65.22%,88.24%,65.22%,75.00%,64.88% ± 10.17%,0.9012
All_Augment_tain,Left,SqueezeNet,83.58%,83.59% ± 4.56%,93.18%,83.67%,93.18%,88.17%,93.23% ± 3.75%,65.22%,83.33%,65.22%,73.17%,65.20% ± 10.10%,0.8775
All_Augment_tain,Left,PointNet,85.07%,85.11% ± 4.42%,93.18%,85.42%,93.18%,89.13%,93.18% ± 3.77%,69.57%,84.21%,69.57%,76.19%,69.84% ± 9.65%,0.8211
All_Augment_tain,Right,SVM,85.29%,85.28% ± 4.23%,96.00%,85.71%,96.00%,90.57%,96.02% ± 2.69%,55.56%,83.33%,55.56%,66.67%,55.03% ± 11.69%,0.8522
All_Augment_tain,Right,MLP,85.29%,85.25% ± 4.40%,94.00%,87.04%,94.00%,90.38%,94.01% ± 3.48%,61.11%,78.57%,61.11%,68.75%,60.66% ± 11.83%,0.8522
All_Augment_tain,Right,ResNet (Standard),85.29%,85.54% ± 4.40%,92.00%,88.46%,92.00%,90.20%,92.09% ± 3.75%,66.67%,75.00%,66.67%,70.59%,67.51% ± 11.03%,0.8533
All_Augment_tain,Right,ResNet (AutoEncoder),85.29%,85.29% ± 4.14%,92.00%,88.46%,92.00%,90.20%,91.83% ± 3.85%,66.67%,75.00%,66.67%,70.59%,67.30% ± 10.90%,0.8778
All_Augment_tain,Right,MobileNet,82.35%,82.43% ± 4.68%,92.00%,85.19%,92.00%,88.46%,91.96% ± 3.90%,55.56%,71.43%,55.56%,62.50%,55.62% ± 12.25%,0.8800
All_Augment_tain,Right,SqueezeNet,77.94%,78.14% ± 5.14%,86.00%,84.31%,86.00%,85.15%,86.02% ± 4.98%,55.56%,58.82%,55.56%,57.14%,56.19% ± 12.51%,0.8478
All_Augment_tain,Right,PointNet,85.29%,85.28% ± 4.24%,92.00%,88.46%,92.00%,90.20%,91.84% ± 3.81%,66.67%,75.00%,66.67%,70.59%,67.15% ± 11.21%,0.8267
Ds004469,Left,SVM,63.64%,63.90% ± 14.50%,87.50%,70.00%,87.50%,77.78%,87.89% ± 11.96%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.5000
Ds004469,Left,MLP,72.73%,72.75% ± 13.40%,100.00%,72.73%,100.00%,84.21%,100.00% ± 0.00%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.5000
Ds004469,Left,ResNet (Standard),54.55%,55.34% ± 15.16%,75.00%,66.67%,75.00%,70.59%,75.68% ± 15.57%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.3750
Ds004469,Left,ResNet (AutoEncoder),54.55%,54.11% ± 15.49%,75.00%,66.67%,75.00%,70.59%,74.43% ± 15.92%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.5417
Ds004469,Left,MobileNet,54.55%,54.94% ± 15.04%,75.00%,66.67%,75.00%,70.59%,75.86% ± 15.54%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.4167
Ds004469,Left,SqueezeNet,54.55%,53.63% ± 14.91%,62.50%,71.43%,62.50%,66.67%,61.35% ± 17.49%,33.33%,25.00%,33.33%,28.57%,31.97% ± 29.80%,0.5833
Ds004469,Left,PointNet,54.55%,54.74% ± 15.34%,75.00%,66.67%,75.00%,70.59%,74.43% ± 15.69%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.3333
Ds004469,Right,SVM,81.82%,81.75% ± 12.09%,90.00%,90.00%,90.00%,90.00%,90.02% ± 9.70%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.0000
Ds004469,Right,MLP,90.91%,91.51% ± 8.56%,100.00%,90.91%,100.00%,95.24%,100.00% ± 0.00%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.0000
Ds004469,Right,ResNet (Standard),72.73%,72.65% ± 13.24%,80.00%,88.89%,80.00%,84.21%,80.04% ± 12.32%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.1000
Ds004469,Right,ResNet (AutoEncoder),81.82%,82.02% ± 11.63%,90.00%,90.00%,90.00%,90.00%,90.25% ± 9.57%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.5000
Ds004469,Right,MobileNet,81.82%,81.83% ± 11.73%,90.00%,90.00%,90.00%,90.00%,89.98% ± 9.52%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.9000
Ds004469,Right,SqueezeNet,81.82%,82.11% ± 11.45%,90.00%,90.00%,90.00%,90.00%,90.32% ± 9.50%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.5000
Ds004469,Right,PointNet,90.91%,91.15% ± 8.55%,100.00%,90.91%,100.00%,95.24%,100.00% ± 0.00%,0.00%,0.00%,0.00%,0.00%,0.00% ± 0.00%,0.6000
