round,TP_0,TN_0,FP_0,FN_0,Accuracy_0,Sensitivity_0,Specificity_0,F1_0,AUC_0,TP_1,TN_1,FP_1,FN_1,Accuracy_1,Sensitivity_1,Specificity_1,F1_1,AUC_1,TP_2,TN_2,FP_2,FN_2,Accuracy_2,Sensitivity_2,Specificity_2,F1_2,AUC_2,TP_3,TN_3,FP_3,FN_3,Accuracy_3,Sensitivity_3,Specificity_3,F1_3,AUC_3,TP_4,TN_4,FP_4,FN_4,Accuracy_4,Sensitivity_4,Specificity_4,F1_4,AUC_4,TP_5,TN_5,FP_5,FN_5,Accuracy_5,Sensitivity_5,Specificity_5,F1_5,AUC_5,TP_6,TN_6,FP_6,FN_6,Accuracy_6,Sensitivity_6,Specificity_6,F1_6,AUC_6,TP_7,TN_7,FP_7,FN_7,Accuracy_7,Sensitivity_7,Specificity_7,F1_7,AUC_7,TP_8,TN_8,FP_8,FN_8,Accuracy_8,Sensitivity_8,Specificity_8,F1_8,AUC_8,TP_9,TN_9,FP_9,FN_9,Accuracy_9,Sensitivity_9,Specificity_9,F1_9,AUC_9,TP_10,TN_10,FP_10,FN_10,Accuracy_10,Sensitivity_10,Specificity_10,F1_10,AUC_10,TP_11,TN_11,FP_11,FN_11,Accuracy_11,Sensitivity_11,Specificity_11,F1_11,AUC_11,TP_12,TN_12,FP_12,FN_12,Accuracy_12,Sensitivity_12,Specificity_12,F1_12,AUC_12,TP_13,TN_13,FP_13,FN_13,Accuracy_13,Sensitivity_13,Specificity_13,F1_13,AUC_13,TP_14,TN_14,FP_14,FN_14,Accuracy_14,Sensitivity_14,Specificity_14,F1_14,AUC_14,TP_15,TN_15,FP_15,FN_15,Accuracy_15,Sensitivity_15,Specificity_15,F1_15,AUC_15,TP_16,TN_16,FP_16,FN_16,Accuracy_16,Sensitivity_16,Specificity_16,F1_16,AUC_16,TP_17,TN_17,FP_17,FN_17,Accuracy_17,Sensitivity_17,Specificity_17,F1_17,AUC_17,TP_18,TN_18,FP_18,FN_18,Accuracy_18,Sensitivity_18,Specificity_18,F1_18,AUC_18,TP_19,TN_19,FP_19,FN_19,Accuracy_19,Sensitivity_19,Specificity_19,F1_19,AUC_19
1,29,48,10,12,0.7778,0.7073,0.8276,0.725,0.8196,28,52,6,13,0.8081,0.6829,0.8966,0.7467,0.8192,28,48,10,13,0.7677,0.6829,0.8276,0.7089,0.8141,29,52,6,12,0.8182,0.7073,0.8966,0.7632,0.812,28,47,11,13,0.7576,0.6829,0.8103,0.7,0.8377,21,70,6,5,0.8922,0.8077,0.9211,0.7925,0.9074,23,68,8,3,0.8922,0.8846,0.8947,0.807,0.9079,18,66,10,8,0.8235,0.6923,0.8684,0.6667,0.8816,17,72,4,9,0.8725,0.6538,0.9474,0.7234,0.9018,18,65,11,8,0.8137,0.6923,0.8553,0.6545,0.8887,21,50,6,7,0.8452,0.75,0.8929,0.7636,0.868,21,46,10,7,0.7976,0.75,0.8214,0.7119,0.8699,22,42,14,6,0.7619,0.7857,0.75,0.6875,0.8788,22,47,9,6,0.8214,0.7857,0.8393,0.7458,0.8763,22,45,11,6,0.7976,0.7857,0.8036,0.7213,0.8807,23,52,5,6,0.8721,0.7931,0.9123,0.807,0.8584,22,52,5,7,0.8605,0.7586,0.9123,0.7857,0.85,23,50,7,6,0.8488,0.7931,0.8772,0.7797,0.8518,22,50,7,7,0.8372,0.7586,0.8772,0.7586,0.8851,23,52,5,6,0.8721,0.7931,0.9123,0.807,0.8651
2,31,53,10,5,0.8485,0.8611,0.8413,0.8052,0.8867,29,56,7,7,0.8586,0.8056,0.8889,0.8056,0.8977,30,53,10,6,0.8384,0.8333,0.8413,0.7895,0.8774,31,56,7,5,0.8788,0.8611,0.8889,0.8378,0.886,30,55,8,6,0.8586,0.8333,0.873,0.8108,0.9114,16,71,7,8,0.8529,0.6667,0.9103,0.6809,0.7933,18,74,4,6,0.902,0.75,0.9487,0.7826,0.8403,14,70,8,10,0.8235,0.5833,0.8974,0.6087,0.7863,13,75,3,11,0.8627,0.5417,0.9615,0.65,0.7986,14,69,9,10,0.8137,0.5833,0.8846,0.5957,0.8168,19,47,9,9,0.7857,0.6786,0.8393,0.6786,0.8221,18,42,14,10,0.7143,0.6429,0.75,0.6,0.824,19,41,15,9,0.7143,0.6786,0.7321,0.6129,0.8297,19,45,11,9,0.7619,0.6786,0.8036,0.6552,0.8374,19,41,15,9,0.7143,0.6786,0.7321,0.6129,0.8367,27,51,7,1,0.907,0.9643,0.8793,0.871,0.8904,26,49,9,2,0.8721,0.9286,0.8448,0.8254,0.9113,27,49,9,1,0.8837,0.9643,0.8448,0.8437,0.8935,26,49,9,2,0.8721,0.9286,0.8448,0.8254,0.8984,27,49,9,1,0.8837,0.9643,0.8448,0.8437,0.8916
3,26,40,21,12,0.6667,0.6842,0.6557,0.6118,0.7714,23,46,15,15,0.697,0.6053,0.7541,0.6053,0.7731,22,43,18,16,0.6566,0.5789,0.7049,0.5641,0.7364,26,46,15,12,0.7273,0.6842,0.7541,0.6582,0.7593,22,44,17,16,0.6667,0.5789,0.7213,0.5714,0.7839,21,72,2,7,0.9118,0.75,0.973,0.8235,0.8822,22,72,2,6,0.9216,0.7857,0.973,0.8462,0.903,19,71,3,9,0.8824,0.6786,0.9595,0.76,0.8769,19,73,1,9,0.902,0.6786,0.9865,0.7917,0.8929,19,71,3,9,0.8824,0.6786,0.9595,0.76,0.9025,20,53,1,10,0.869,0.6667,0.9815,0.7843,0.8358,19,43,11,11,0.7381,0.6333,0.7963,0.6333,0.8735,23,42,12,7,0.7738,0.7667,0.7778,0.7077,0.8469,19,49,5,11,0.8095,0.6333,0.9074,0.7037,0.8852,23,48,6,7,0.8452,0.7667,0.8889,0.7797,0.8753,16,59,4,7,0.8721,0.6957,0.9365,0.7442,0.8606,16,59,4,7,0.8721,0.6957,0.9365,0.7442,0.8254,16,59,4,7,0.8721,0.6957,0.9365,0.7442,0.833,16,59,4,7,0.8721,0.6957,0.9365,0.7442,0.8882,16,59,4,7,0.8721,0.6957,0.9365,0.7442,0.8351
4,32,47,13,7,0.798,0.8205,0.7833,0.7619,0.8534,25,52,8,14,0.7778,0.641,0.8667,0.6944,0.8645,30,50,10,9,0.8081,0.7692,0.8333,0.7595,0.8521,32,52,8,7,0.8485,0.8205,0.8667,0.8101,0.8466,30,51,9,9,0.8182,0.7692,0.85,0.7692,0.8808,22,69,7,4,0.8922,0.8462,0.9079,0.8,0.9109,23,74,2,3,0.951,0.8846,0.9737,0.902,0.9099,19,72,4,7,0.8922,0.7308,0.9474,0.7755,0.8871,18,75,1,8,0.9118,0.6923,0.9868,0.8,0.8993,19,70,6,7,0.8725,0.7308,0.9211,0.7451,0.8836,24,43,8,9,0.7976,0.7273,0.8431,0.7385,0.8717,26,42,9,7,0.8095,0.7879,0.8235,0.7647,0.8966,27,38,13,6,0.7738,0.8182,0.7451,0.7397,0.8913,29,45,6,4,0.881,0.8788,0.8824,0.8529,0.918,27,41,10,6,0.8095,0.8182,0.8039,0.7714,0.9168,22,57,5,2,0.9186,0.9167,0.9194,0.8627,0.9288,19,56,6,5,0.8721,0.7917,0.9032,0.7755,0.8931,22,54,8,2,0.8837,0.9167,0.871,0.8148,0.9294,19,54,8,5,0.8488,0.7917,0.871,0.7451,0.9254,22,56,6,2,0.907,0.9167,0.9032,0.8462,0.916
5,23,52,15,9,0.7576,0.7188,0.7761,0.6571,0.8092,20,56,11,12,0.7677,0.625,0.8358,0.6349,0.8186,21,52,15,11,0.7374,0.6562,0.7761,0.6176,0.7929,23,56,11,9,0.798,0.7188,0.8358,0.697,0.7833,21,52,15,11,0.7374,0.6562,0.7761,0.6176,0.8302,19,67,6,10,0.8431,0.6552,0.9178,0.7037,0.7383,19,67,6,10,0.8431,0.6552,0.9178,0.7037,0.7709,16,68,5,13,0.8235,0.5517,0.9315,0.64,0.7298,16,70,3,13,0.8431,0.5517,0.9589,0.6667,0.7553,16,65,8,13,0.7941,0.5517,0.8904,0.6038,0.7473,25,46,5,8,0.8452,0.7576,0.902,0.7937,0.9014,27,42,9,6,0.8214,0.8182,0.8235,0.7826,0.9121,27,38,13,6,0.7738,0.8182,0.7451,0.7397,0.899,28,43,8,5,0.8452,0.8485,0.8431,0.8116,0.9168,27,41,10,6,0.8095,0.8182,0.8039,0.7714,0.8889,18,60,7,1,0.907,0.9474,0.8955,0.8182,0.9309,17,60,7,2,0.8953,0.8947,0.8955,0.7907,0.9269,18,60,7,1,0.907,0.9474,0.8955,0.8182,0.9152,17,60,7,2,0.8953,0.8947,0.8955,0.7907,0.9442,18,60,7,1,0.907,0.9474,0.8955,0.8182,0.9104
6,39,44,7,9,0.8384,0.8125,0.8627,0.8298,0.8893,33,45,6,15,0.7879,0.6875,0.8824,0.7586,0.8922,36,42,9,12,0.7879,0.75,0.8235,0.7742,0.8607,39,45,6,9,0.8485,0.8125,0.8824,0.8387,0.8948,36,44,7,12,0.8081,0.75,0.8627,0.7912,0.9187,19,71,3,9,0.8824,0.6786,0.9595,0.76,0.8074,21,71,3,7,0.902,0.75,0.9595,0.8077,0.8634,18,72,2,10,0.8824,0.6429,0.973,0.75,0.8325,17,71,3,11,0.8627,0.6071,0.9595,0.7083,0.8359,18,71,3,10,0.8725,0.6429,0.9595,0.7347,0.8736,18,52,3,11,0.8333,0.6207,0.9455,0.72,0.8414,18,44,11,11,0.7381,0.6207,0.8,0.6207,0.8426,19,42,13,10,0.7262,0.6552,0.7636,0.623,0.8439,19,47,8,10,0.7857,0.6552,0.8545,0.6786,0.8784,19,47,8,10,0.7857,0.6552,0.8545,0.6786,0.8389,21,53,7,5,0.8605,0.8077,0.8833,0.7778,0.8955,20,53,7,6,0.8488,0.7692,0.8833,0.7547,0.8929,21,53,7,5,0.8605,0.8077,0.8833,0.7778,0.8942,20,53,7,6,0.8488,0.7692,0.8833,0.7547,0.9224,21,53,7,5,0.8605,0.8077,0.8833,0.7778,0.8891
7,20,48,20,11,0.6869,0.6452,0.7059,0.5634,0.7481,17,53,15,14,0.7071,0.5484,0.7794,0.5397,0.7481,20,48,20,11,0.6869,0.6452,0.7059,0.5634,0.7282,20,53,15,11,0.7374,0.6452,0.7794,0.6061,0.7315,20,52,16,11,0.7273,0.6452,0.7647,0.597,0.7633,18,73,5,6,0.8922,0.75,0.9359,0.766,0.9407,19,74,4,5,0.9118,0.7917,0.9487,0.8085,0.9327,15,71,7,9,0.8431,0.625,0.9103,0.6522,0.8937,14,74,4,10,0.8627,0.5833,0.9487,0.6667,0.9257,15,70,8,9,0.8333,0.625,0.8974,0.6383,0.898,23,51,4,6,0.881,0.7931,0.9273,0.8214,0.8828,25,43,12,4,0.8095,0.8621,0.7818,0.7576,0.916,25,41,14,4,0.7857,0.8621,0.7455,0.7353,0.8596,25,45,10,4,0.8333,0.8621,0.8182,0.7813,0.9003,25,43,12,4,0.8095,0.8621,0.7818,0.7576,0.8784,17,60,4,5,0.8953,0.7727,0.9375,0.7907,0.8118,17,60,4,5,0.8953,0.7727,0.9375,0.7907,0.7585,17,59,5,5,0.8837,0.7727,0.9219,0.7727,0.8516,17,59,5,5,0.8837,0.7727,0.9219,0.7727,0.8878,17,60,4,5,0.8953,0.7727,0.9375,0.7907,0.7976
8,23,56,10,10,0.798,0.697,0.8485,0.697,0.7769,21,58,8,12,0.798,0.6364,0.8788,0.6774,0.8067,21,56,10,12,0.7778,0.6364,0.8485,0.6562,0.7736,23,58,8,10,0.8182,0.697,0.8788,0.7188,0.7622,21,57,9,12,0.7879,0.6364,0.8636,0.6667,0.8407,16,71,5,10,0.8529,0.6154,0.9342,0.6809,0.7854,18,72,4,8,0.8824,0.6923,0.9474,0.75,0.7955,16,71,5,10,0.8529,0.6154,0.9342,0.6809,0.7642,15,73,3,11,0.8627,0.5769,0.9605,0.6818,0.7915,16,69,7,10,0.8333,0.6154,0.9079,0.6531,0.7713,19,48,7,10,0.7976,0.6552,0.8727,0.6909,0.8345,20,40,15,9,0.7143,0.6897,0.7273,0.625,0.8382,21,41,14,8,0.7381,0.7241,0.7455,0.6562,0.8207,21,45,10,8,0.7857,0.7241,0.8182,0.7,0.842,21,44,11,8,0.7738,0.7241,0.8,0.6885,0.8257,25,57,4,0,0.9535,1.0,0.9344,0.9259,0.9764,24,56,5,1,0.9302,0.96,0.918,0.8889,0.9672,25,54,7,0,0.9186,1.0,0.8852,0.8772,0.9718,24,54,7,1,0.907,0.96,0.8852,0.8571,0.9685,25,56,5,0,0.9419,1.0,0.918,0.9091,0.962
9,24,59,7,9,0.8384,0.7273,0.8939,0.75,0.8577,22,60,6,11,0.8283,0.6667,0.9091,0.7213,0.8714,22,59,7,11,0.8182,0.6667,0.8939,0.7097,0.8384,24,60,6,9,0.8485,0.7273,0.9091,0.7619,0.8274,22,60,6,11,0.8283,0.6667,0.9091,0.7213,0.8659,12,76,3,11,0.8627,0.5217,0.962,0.6316,0.7276,14,76,3,9,0.8824,0.6087,0.962,0.7,0.792,13,74,5,10,0.8529,0.5652,0.9367,0.6341,0.7287,12,76,3,11,0.8627,0.5217,0.962,0.6316,0.7501,13,71,8,10,0.8235,0.5652,0.8987,0.5909,0.7727,28,43,4,9,0.8452,0.7568,0.9149,0.8116,0.8557,26,35,12,11,0.7262,0.7027,0.7447,0.6933,0.8545,26,34,13,11,0.7143,0.7027,0.7234,0.6842,0.816,28,37,10,9,0.7738,0.7568,0.7872,0.7467,0.8442,26,37,10,11,0.75,0.7027,0.7872,0.7123,0.8436,25,51,6,4,0.8837,0.8621,0.8947,0.8333,0.9238,23,51,6,6,0.8605,0.7931,0.8947,0.7931,0.908,25,51,6,4,0.8837,0.8621,0.8947,0.8333,0.8972,23,51,6,6,0.8605,0.7931,0.8947,0.7931,0.9068,25,51,6,4,0.8837,0.8621,0.8947,0.8333,0.9093
10,31,51,11,6,0.8283,0.8378,0.8226,0.7848,0.8784,23,53,9,14,0.7677,0.6216,0.8548,0.6667,0.8357,27,51,11,10,0.7879,0.7297,0.8226,0.72,0.8483,31,53,9,6,0.8485,0.8378,0.8548,0.8052,0.8633,27,53,9,10,0.8081,0.7297,0.8548,0.7397,0.8945,20,65,7,10,0.8333,0.6667,0.9028,0.7018,0.8435,22,68,4,8,0.8824,0.7333,0.9444,0.7857,0.8574,19,69,3,11,0.8627,0.6333,0.9583,0.7308,0.8296,18,68,4,12,0.8431,0.6,0.9444,0.6923,0.8412,19,66,6,11,0.8333,0.6333,0.9167,0.6909,0.8278,18,44,8,14,0.7381,0.5625,0.8462,0.6207,0.735,19,39,13,13,0.6905,0.5938,0.75,0.5938,0.8029,22,36,16,10,0.6905,0.6875,0.6923,0.6286,0.7278,19,40,12,13,0.7024,0.5938,0.7692,0.6032,0.7608,22,40,12,10,0.7381,0.6875,0.7692,0.6667,0.7831,16,64,2,4,0.9302,0.8,0.9697,0.8421,0.9295,16,63,3,4,0.9186,0.8,0.9545,0.8205,0.9106,16,61,5,4,0.8953,0.8,0.9242,0.7805,0.9114,16,61,5,4,0.8953,0.8,0.9242,0.7805,0.9341,16,63,3,4,0.9186,0.8,0.9545,0.8205,0.9303
