Side,Model,Accuracy,Sensitivity_Recall,Specificity,Precision,F1_Score,TN,FP,FN,TP,Total_N
Right,MLP,0.8933333333333333,0.85,0.9090909090909091,0.7727272727272727,0.8095238095238095,50,5,3,17,75
Right,MobileNet,0.8266666666666667,0.6,0.9090909090909091,0.7058823529411765,0.6486486486486487,50,5,8,12,75
Right,PointNet,0.8533333333333334,0.55,0.9636363636363636,0.8461538461538461,0.6666666666666666,53,2,9,11,75
Right,ResNet+AE,0.84,0.7,0.8909090909090909,0.7,0.7,49,6,6,14,75
Right,ResNet,0.8133333333333334,0.65,0.8727272727272727,0.65,0.65,48,7,7,13,75
Right,SqueezeNet,0.88,0.8,0.9090909090909091,0.7619047619047619,0.7804878048780488,50,5,4,16,75
Right,SVM,0.8,0.55,0.8909090909090909,0.6470588235294118,0.5945945945945946,49,6,9,11,75
Left,MLP,0.7702702702702703,0.8846153846153846,0.7083333333333334,0.6216216216216216,0.7301587301587301,34,14,3,23,74
Left,MobileNet,0.7837837837837838,0.7307692307692307,0.8125,0.6785714285714286,0.7037037037037037,39,9,7,19,74
Left,PointNet,0.8378378378378378,0.7692307692307693,0.875,0.7692307692307693,0.7692307692307693,42,6,6,20,74
Left,ResNet+AE,0.7567567567567568,0.6923076923076923,0.7916666666666666,0.6428571428571429,0.6666666666666666,38,10,8,18,74
Left,ResNet,0.7702702702702703,0.6923076923076923,0.8125,0.6666666666666666,0.6792452830188679,39,9,8,18,74
Left,SqueezeNet,0.8108108108108109,0.7692307692307693,0.8333333333333334,0.7142857142857143,0.7407407407407407,40,8,6,20,74
Left,SVM,0.7567567567567568,0.7692307692307693,0.75,0.625,0.6896551724137931,36,12,6,20,74
