Component,Top_Rank,Step_Index,SD_Value,Mean_Displacement_mm,Max_Displacement_mm,Mean_Inward_Atrophy_mm,Mean_Outward_Expansion_mm
PLS1,1,0,-3.0,0.06901425200691261,0.1530787561788903,0.01586164495621561,0.015137803473905078
PLS1,1,1,-2.9,0.06671377694001555,0.14797613097292728,0.015332923457675089,0.014633210024774912
PLS1,1,2,-2.8,0.06441330187311846,0.14287350576696428,0.014804201959134568,0.01412861657564474
PLS1,1,3,-2.7,0.06211282680622137,0.13777088056100129,0.01427548046059405,0.013624023126514574
PLS1,1,4,-2.6,0.05981235173932428,0.13266825535503826,0.01374675896205353,0.013119429677384404
PLS1,1,5,-2.5,0.057511876672427194,0.12756563014907524,0.013218037463513008,0.012614836228254232
PLS1,1,6,-2.4,0.055211401605530105,0.12246300494311224,0.012689315964972489,0.012110242779124064
PLS1,1,7,-2.3,0.05291092653863301,0.11736037973714923,0.012160594466431966,0.011605649329993894
PLS1,1,8,-2.2,0.05061045147173592,0.11225775453118622,0.011631872967891449,0.011101055880863726
PLS1,1,9,-2.1,0.04830997640483885,0.10715512932522323,0.011103151469350927,0.010596462431733556
PLS1,1,10,-2.0,0.04600950133794175,0.1020525041192602,0.010574429970810408,0.010091868982603386
PLS1,1,11,-1.9,0.043709026271044664,0.0969498789132972,0.010045708472269885,0.009587275533473218
PLS1,1,12,-1.8,0.041408551204147576,0.09184725370733417,0.009516986973729366,0.009082682084343046
PLS1,1,13,-1.7,0.03910807613725049,0.0867446285013712,0.008988265475188845,0.008578088635212876
PLS1,1,14,-1.6,0.0368076010703534,0.08164200329540816,0.008459543976648325,0.008073495186082708
PLS1,1,15,-1.5,0.03450712600345631,0.07653937808944516,0.007930822478107806,0.00756890173695254
PLS1,1,16,-1.4,0.03220665093655923,0.07143675288348214,0.007402100979567283,0.007064308287822369
PLS1,1,17,-1.3,0.029906175869662145,0.06633412767751916,0.006873379481026765,0.006559714838692202
PLS1,1,18,-1.2,0.027605700802765053,0.06123150247155613,0.006344657982486244,0.006055121389562032
PLS1,1,19,-1.1,0.02530522573586796,0.05612887726559314,0.005815936483945724,0.005550527940431862
PLS1,1,20,-1.0,0.023004750668970876,0.05102625205963008,0.005287214985405202,0.005045934491301693
PLS1,1,21,-0.9,0.020704275602073788,0.04592362685366707,0.004758493486864682,0.004541341042171523
PLS1,1,22,-0.8,0.0184038005351767,0.04082100164770406,0.004229771988324162,0.004036747593041354
PLS1,1,23,-0.7,0.016103325468279615,0.03571837644174105,0.003701050489783642,0.003532154143911184
PLS1,1,24,-0.6,0.013802850401382526,0.030615751235778046,0.003172328991243122,0.0030275606947810165
PLS1,1,25,-0.5,0.01150237533448544,0.02551312602981504,0.002643607492702602,0.0025229672456508465
PLS1,1,26,-0.4,0.009201900267588351,0.02041050082385203,0.002114885994162081,0.0020183737965206766
PLS1,1,27,-0.3,0.006901425200691263,0.015307875617889025,0.001586164495621561,0.0015137803473905078
PLS1,1,28,-0.2,0.004600950133794174,0.010205250411926015,0.0010574429970810408,0.0010091868982603383
PLS1,1,29,-0.1,0.0023004750668970874,0.005102625205963009,0.0005287214985405203,0.0005045934491301695
PLS1,1,30,0.0,0.0,0.0,0.0,0.0
PLS1,1,31,0.1,0.002300475066897087,0.005102625205963029,0.0005045934491301695,0.0005287214985405203
PLS1,1,32,0.2,0.004600950133794174,0.010205250411926018,0.0010091868982603383,0.0010574429970810408
PLS1,1,33,0.3,0.006901425200691263,0.015307875617889044,0.0015137803473905078,0.0015861644956215613
PLS1,1,34,0.4,0.009201900267588351,0.02041050082385203,0.0020183737965206766,0.002114885994162081
PLS1,1,35,0.5,0.01150237533448544,0.025513126029815057,0.0025229672456508465,0.002643607492702602
PLS1,1,36,0.6,0.013802850401382526,0.03061575123577805,0.003027560694781016,0.003172328991243122
PLS1,1,37,0.7,0.016103325468279615,0.03571837644174107,0.003532154143911184,0.0037010504897836425
PLS1,1,38,0.8,0.0184038005351767,0.04082100164770406,0.004036747593041354,0.004229771988324162
PLS1,1,39,0.9,0.020704275602073788,0.045923626853667084,0.004541341042171523,0.004758493486864683
PLS1,1,40,1.0,0.023004750668970876,0.05102625205963008,0.005045934491301693,0.005287214985405202
PLS1,1,41,1.1,0.02530522573586796,0.05612887726559314,0.005550527940431864,0.005815936483945724
PLS1,1,42,1.2,0.027605700802765053,0.06123150247155613,0.006055121389562033,0.006344657982486244
PLS1,1,43,1.3,0.029906175869662145,0.06633412767751916,0.006559714838692202,0.006873379481026765
PLS1,1,44,1.4,0.03220665093655923,0.07143675288348214,0.007064308287822369,0.007402100979567283
PLS1,1,45,1.5,0.03450712600345631,0.07653937808944516,0.00756890173695254,0.007930822478107804
PLS1,1,46,1.6,0.0368076010703534,0.08164200329540816,0.008073495186082708,0.008459543976648325
PLS1,1,47,1.7,0.03910807613725049,0.0867446285013712,0.008578088635212876,0.008988265475188845
PLS1,1,48,1.8,0.041408551204147576,0.09184725370733417,0.009082682084343046,0.009516986973729366
PLS1,1,49,1.9,0.043709026271044664,0.0969498789132972,0.009587275533473218,0.010045708472269887
PLS1,1,50,2.0,0.04600950133794175,0.1020525041192602,0.010091868982603388,0.010574429970810408
PLS1,1,51,2.1,0.048309976404838834,0.10715512932522323,0.010596462431733556,0.011103151469350927
PLS1,1,52,2.2,0.05061045147173592,0.11225775453118625,0.011101055880863726,0.011631872967891447
PLS1,1,53,2.3,0.05291092653863301,0.11736037973714923,0.011605649329993894,0.012160594466431964
