Theta,Radius,Area
0,1.44868e-15,0
0.0317333,0.0138621,0.000521401
0.0634665,0.0276935,0.00207569
0.0951998,0.0414536,0.00463235
0.126933,0.0550943,0.00813854
0.158666,0.0685575,0.0125176
0.1904,0.0817743,0.0176693
0.222133,0.0946651,0.0234725
0.253866,0.107142,0.0297903
0.285599,0.119113,0.0364764
0.317333,0.130487,0.0433824
0.349066,0.141181,0.0503662
0.380799,0.151122,0.0572991
0.412532,0.16026,0.0640725
0.444266,0.168563,0.0706014
0.475999,0.176024,0.0768233
0.507732,0.182656,0.0826931
0.539465,0.188495,0.0881777
0.571199,0.193592,0.0932552
0.602932,0.198009,0.0979196
0.634665,0.201819,0.10219
0.666398,0.205098,0.106118
0.698132,0.207924,0.109798
0.729865,0.210374,0.113354
0.761598,0.212528,0.116922
0.793331,0.214461,0.120615
0.825065,0.216246,0.124474
0.856798,0.217948,0.12846
0.888531,0.21962,0.132467
0.920265,0.221301,0.136376
0.951998,0.223012,0.140105
0.983731,0.224756,0.143613
1.01546,0.226515,0.146843
1.0472,0.228253,0.149677
1.07893,0.229915,0.151967
1.11066,0.231429,0.153584
1.1424,0.232706,0.15445
1.17413,0.233643,0.154544
1.20586,0.234134,0.15392
1.2376,0.23407,0.152737
1.26933,0.233362,0.151164
1.30106,0.231942,0.149198
1.3328,0.229782,0.146726
1.36453,0.226901,0.14373
1.39626,0.22337,0.140273
1.428,0.219307,0.136426
1.45973,0.214873,0.132246
1.49146,0.210257,0.127764
1.5232,0.205659,0.123003
1.55493,0.20127,0.117986
1.58666,0.197259,0.112752
1.6184,0.193756,0.107376
1.65013,0.190855,0.101998
1.68186,0.188605,0.0968521
1.7136,0.187021,0.0923265
1.74533,0.186082,0.0890596
1.77706,0.185734,0.087287
1.8088,0.18589,0.0864386
1.84053,0.186435,0.0860186
1.87226,0.18723,0.0856564
1.904,0.18813,0.0850847
1.93573,0.188991,0.0841533
1.96746,0.18969,0.0828212
1.9992,0.190134,0.0811174
2.03093,0.190271,0.079083
2.06266,0.190086,0.0767587
2.0944,0.189604,0.0742194
2.12613,0.188883,0.0715796
2.15786,0.188002,0.0689637
2.18959,0.187053,0.0664858
2.22133,0.186126,0.064241
2.25306,0.185299,0.0622917
2.28479,0.184626,0.060658
2.31653,0.18413,0.0593822
2.34826,0.183793,0.0583833
2.37999,0.183557,0.0575942
2.41173,0.183329,0.0569429
2.44346,0.182992,0.0563749
2.47519,0.18241,0.0558501
2.50693,0.181449,0.0553344
2.53866,0.179982,0.0547951
2.57039,0.177896,0.0542118
2.60213,0.175098,0.0536634
2.63386,0.171514,0.0529671
2.66559,0.167089,0.0518607
2.69733,0.161787,0.0501717
2.72906,0.155584,0.0478006
2.76079,0.148473,0.0447214
2.79253,0.140452,0.0409787
2.82426,0.131528,0.0366758
2.85599,0.121712,0.0319571
2.88773,0.111019,0.0269901
2.91946,0.0994745,0.021954
2.95119,0.0871098,0.0170319
2.98293,0.0739736,0.0124101
3.01466,0.0601345,0.00827562
3.04639,0.0456856,0.00481276
3.07813,0.0307468,0.00219239
3.10986,0.0154632,0.000556478
3.14159,8.53189e-16,7.48437e-18
