Theta,Radius,Area
0,1.33407e-15,0
0.0317333,0.0146883,0.000519214
0.0634665,0.0292706,0.0020578
0.0951998,0.0436458,0.0045604
0.126933,0.0577241,0.00794064
0.158666,0.0714285,0.0120895
0.1904,0.0846956,0.0168857
0.222133,0.0974733,0.0222068
0.253866,0.109718,0.0279386
0.285599,0.121391,0.0339816
0.317333,0.132458,0.0402519
0.349066,0.142888,0.0466774
0.380799,0.152654,0.0531906
0.412532,0.161732,0.0597203
0.444266,0.170108,0.066186
0.475999,0.177773,0.0724966
0.507732,0.184729,0.0785562
0.539465,0.190984,0.084276
0.571199,0.196558,0.0895912
0.602932,0.201476,0.0944777
0.634665,0.205773,0.098962
0.666398,0.209486,0.103122
0.698132,0.212663,0.107073
0.729865,0.215349,0.110939
0.761598,0.217597,0.114801
0.793331,0.219457,0.118653
0.825065,0.220979,0.122396
0.856798,0.222208,0.125894
0.888531,0.223188,0.129029
0.920265,0.223958,0.131738
0.951998,0.224552,0.134024
0.983731,0.224999,0.135949
1.01546,0.225321,0.137614
1.0472,0.225521,0.139119
1.07893,0.225587,0.140524
1.11066,0.225479,0.141811
1.1424,0.225134,0.14288
1.17413,0.224469,0.143563
1.20586,0.223393,0.143663
1.2376,0.221818,0.143002
1.26933,0.219675,0.141458
1.30106,0.216934,0.138989
1.3328,0.213614,0.135638
1.36453,0.20979,0.131526
1.39626,0.205593,0.126825
1.428,0.201204,0.121735
1.45973,0.196837,0.116463
1.49146,0.192723,0.111212
1.5232,0.189083,0.10619
1.55493,0.186109,0.101636
1.58666,0.18395,0.0979966
1.6184,0.182696,0.0951055
1.65013,0.182376,0.0930041
1.68186,0.182951,0.0916043
1.7136,0.184314,0.090832
1.74533,0.186291,0.0906629
1.77706,0.188649,0.0909633
1.8088,0.191111,0.0914586
1.84053,0.193382,0.091882
1.87226,0.195181,0.0919339
1.904,0.196272,0.0913536
1.93573,0.196493,0.0899914
1.96746,0.195777,0.0878536
1.9992,0.194158,0.0850877
2.03093,0.191775,0.0819206
2.06266,0.188848,0.0786053
2.0944,0.185657,0.0753711
2.12613,0.182504,0.0724379
2.15786,0.179675,0.0700123
2.18959,0.177409,0.0682519
2.22133,0.175876,0.0672542
2.25306,0.175167,0.0670822
2.28479,0.175295,0.0677994
2.31653,0.176202,0.0694272
2.34826,0.177765,0.0717831
2.37999,0.179805,0.0745267
2.41173,0.182101,0.077317
2.44346,0.184395,0.0798505
2.47519,0.186416,0.0818714
2.50693,0.187895,0.0831807
2.53866,0.188584,0.0836391
2.57039,0.188274,0.083157
2.60213,0.186807,0.0816769
2.63386,0.184075,0.0791595
2.66559,0.180025,0.0755869
2.69733,0.174651,0.0709832
2.72906,0.167986,0.0654373
2.76079,0.160092,0.0591114
2.79253,0.151048,0.0522286
2.82426,0.140943,0.0450465
2.85599,0.129865,0.0378275
2.88773,0.117898,0.030814
2.91946,0.105123,0.0242129
2.95119,0.0916144,0.0181911
2.98293,0.077449,0.0128789
3.01466,0.062708,0.00837932
3.04639,0.0474824,0.00477741
3.07813,0.031876,0.00214494
3.10986,0.0160058,0.000539638
3.14159,1.67877e-15,4.275e-17
