Theta,Radius,Area
0,3.44717e-16,0
0.0317333,0.0135615,0.000517973
0.0634665,0.0270567,0.00205014
0.0951998,0.040416,0.00453429
0.126933,0.0535734,0.00787628
0.158666,0.0664681,0.0119622
0.1904,0.079047,0.0166716
0.222133,0.0912655,0.0218904
0.253866,0.103089,0.0275196
0.285599,0.114493,0.0334814
0.317333,0.125463,0.0397204
0.349066,0.135992,0.0461999
0.380799,0.146079,0.0528949
0.412532,0.155726,0.059782
0.444266,0.16493,0.0668294
0.475999,0.173685,0.0739901
0.507732,0.181978,0.0812001
0.539465,0.189791,0.0883843
0.571199,0.197099,0.0954665
0.602932,0.203876,0.102379
0.634665,0.210101,0.109065
0.666398,0.215754,0.115477
0.698132,0.220826,0.121569
0.729865,0.225314,0.1273
0.761598,0.229228,0.132638
0.793331,0.232592,0.137571
0.825065,0.235444,0.142103
0.856798,0.237835,0.14626
0.888531,0.239835,0.150079
0.920265,0.241519,0.153613
0.951998,0.242965,0.156926
0.983731,0.244244,0.16008
1.01546,0.245404,0.163122
1.0472,0.246464,0.166061
1.07893,0.247407,0.168857
1.11066,0.248178,0.171414
1.1424,0.248689,0.173586
1.17413,0.248829,0.175193
1.20586,0.248471,0.176039
1.2376,0.247492,0.175925
1.26933,0.245776,0.174675
1.30106,0.243235,0.172154
1.3328,0.239812,0.168288
1.36453,0.235497,0.163081
1.39626,0.230328,0.156621
1.428,0.224395,0.149085
1.45973,0.217841,0.14073
1.49146,0.210853,0.131874
1.5232,0.203651,0.122875
1.55493,0.19647,0.114091
1.58666,0.189542,0.105846
1.6184,0.18307,0.0983943
1.65013,0.177211,0.0918961
1.68186,0.172067,0.0863908
1.7136,0.167682,0.0817881
1.74533,0.164057,0.0779038
1.77706,0.161164,0.074556
1.8088,0.158967,0.071654
1.84053,0.157419,0.0692069
1.87226,0.156464,0.0672509
1.904,0.156024,0.0657585
1.93573,0.155993,0.0646087
1.96746,0.156235,0.0636269
1.9992,0.156594,0.0626421
2.03093,0.156919,0.0615267
2.06266,0.157082,0.0602084
2.0944,0.156997,0.0586692
2.12613,0.156626,0.0569415
2.15786,0.155984,0.0551033
2.18959,0.155128,0.0532696
2.22133,0.154148,0.0515774
2.25306,0.153149,0.0501569
2.28479,0.152239,0.0490928
2.31653,0.151513,0.0483974
2.34826,0.151042,0.048029
2.37999,0.150871,0.0479399
2.41173,0.15101,0.0481166
2.44346,0.151439,0.0485894
2.47519,0.152103,0.0494061
2.50693,0.152913,0.0505838
2.53866,0.153743,0.0520668
2.57039,0.154432,0.0537095
2.60213,0.154792,0.055284
2.63386,0.154612,0.0565087
2.66559,0.153675,0.0570887
2.69733,0.151772,0.0567594
2.72906,0.148719,0.0553255
2.76079,0.14437,0.0526894
2.79253,0.138625,0.048867
2.82426,0.131441,0.0439892
2.85599,0.122826,0.0382895
2.88773,0.112838,0.0320783
2.91946,0.101577,0.0257083
2.95119,0.089178,0.0195356
2.98293,0.0757949,0.0138833
3.01466,0.0615954,0.00901244
3.04639,0.0467504,0.0051074
3.07813,0.0314284,0.00227679
3.10986,0.0157924,0.000569619
3.14159,8.57371e-16,2.99541e-17
