Theta,Radius,Area
0,1.6657e-15,0
0.0317333,0.0153287,0.000305669
0.0634665,0.0306052,0.00125716
0.0951998,0.0457722,0.00295009
0.126933,0.0607621,0.00551745
0.158666,0.0754925,0.00909196
0.1904,0.0898638,0.0137612
0.222133,0.103761,0.0195296
0.253866,0.117059,0.0262997
0.285599,0.129634,0.0338764
0.317333,0.141376,0.041989
0.349066,0.152199,0.0503268
0.380799,0.162054,0.0585808
0.412532,0.170934,0.0664843
0.444266,0.178873,0.0738442
0.475999,0.185944,0.0805586
0.507732,0.192249,0.0866182
0.539465,0.197899,0.0920926
0.571199,0.203003,0.0971069
0.602932,0.207646,0.101816
0.634665,0.211885,0.106378
0.666398,0.215743,0.110925
0.698132,0.21921,0.115493
0.729865,0.222262,0.11999
0.761598,0.224868,0.124277
0.793331,0.22701,0.128267
0.825065,0.228696,0.131957
0.856798,0.22997,0.135425
0.888531,0.230913,0.138812
0.920265,0.231639,0.142301
0.951998,0.232283,0.146071
0.983731,0.232985,0.150222
1.01546,0.233868,0.154735
1.0472,0.235018,0.159505
1.07893,0.236473,0.164385
1.11066,0.238207,0.169206
1.1424,0.240132,0.173774
1.17413,0.242099,0.177843
1.20586,0.24391,0.181091
1.2376,0.245337,0.183162
1.26933,0.24614,0.183737
1.30106,0.246097,0.182593
1.3328,0.245026,0.17963
1.36453,0.242814,0.174956
1.39626,0.239434,0.16887
1.428,0.234956,0.162233
1.45973,0.22955,0.154619
1.49146,0.223478,0.146238
1.5232,0.21707,0.137567
1.55493,0.210697,0.129105
1.58666,0.204734,0.121317
1.6184,0.199518,0.114598
1.65013,0.195317,0.109258
1.68186,0.192305,0.105485
1.7136,0.190551,0.103231
1.74533,0.190023,0.102186
1.77706,0.190602,0.101971
1.8088,0.192101,0.102278
1.84053,0.194289,0.102872
1.87226,0.196908,0.103565
1.904,0.199702,0.104176
1.93573,0.202435,0.104521
1.96746,0.204919,0.104428
1.9992,0.207032,0.103781
2.03093,0.208728,0.10255
2.06266,0.210035,0.100814
2.0944,0.211039,0.0987316
2.12613,0.211859,0.0964897
2.15786,0.212622,0.0942481
2.18959,0.213435,0.0921567
2.22133,0.214364,0.0903604
2.25306,0.215421,0.0890079
2.28479,0.216562,0.0882214
2.31653,0.217685,0.0880559
2.34826,0.218651,0.0885038
2.37999,0.219291,0.0894887
2.41173,0.219431,0.090842
2.44346,0.218909,0.0923045
2.47519,0.217589,0.0935665
2.50693,0.215377,0.0943187
2.53866,0.212229,0.0942951
2.57039,0.208155,0.0933043
2.60213,0.203209,0.0912477
2.63386,0.197479,0.0881228
2.66559,0.191066,0.0840089
2.69733,0.184065,0.0790412
2.72906,0.176538,0.0733771
2.76079,0.1685,0.0671666
2.79253,0.159907,0.0605343
2.82426,0.15066,0.0535793
2.85599,0.140616,0.046391
2.88773,0.129609,0.0390728
2.91946,0.117481,0.0317644
2.95119,0.104106,0.0246532
2.98293,0.08942,0.0179725
3.01466,0.0734402,0.011987
3.04639,0.0562729,0.0069694
3.07813,0.0381154,0.00317329
3.10986,0.0192454,0.000805092
3.14159,8.55767e-16,2.12471e-17
