Theta,Radius,Area
0,1.23692e-15,0
0.0317333,0.0182277,0.000720134
0.0634665,0.0362837,0.00285122
0.0951998,0.0539997,0.00630754
0.126933,0.0712134,0.0109522
0.158666,0.0877698,0.0166029
0.1904,0.103519,0.023036
0.222133,0.118313,0.0299928
0.253866,0.132008,0.0371881
0.285599,0.144463,0.044329
0.317333,0.155544,0.0511395
0.349066,0.165137,0.0573894
0.380799,0.173151,0.0629175
0.412532,0.17953,0.0676439
0.444266,0.184259,0.0715679
0.475999,0.187364,0.0747324
0.507732,0.18892,0.0771134
0.539465,0.189046,0.0786021
0.571199,0.187907,0.0791175
0.602932,0.185713,0.0786648
0.634665,0.182718,0.0773977
0.666398,0.179217,0.0758198
0.698132,0.175536,0.0739024
0.729865,0.172017,0.0718216
0.761598,0.168997,0.0697644
0.793331,0.166784,0.0679319
0.825065,0.165621,0.0665426
0.856798,0.165662,0.0657721
0.888531,0.166941,0.0657539
0.920265,0.169365,0.0665505
0.951998,0.172713,0.0681229
0.983731,0.176668,0.0703232
1.01546,0.180853,0.0729258
1.0472,0.184877,0.0756928
1.07893,0.188381,0.0784673
1.11066,0.19107,0.0813954
1.1424,0.192745,0.0844458
1.17413,0.193317,0.0871996
1.20586,0.192819,0.0893489
1.2376,0.191401,0.0906415
1.26933,0.189314,0.0912204
1.30106,0.186884,0.0913235
1.3328,0.184473,0.0911064
1.36453,0.182441,0.0908952
1.39626,0.18111,0.0908106
1.428,0.180738,0.0910942
1.45973,0.181503,0.0920816
1.49146,0.183499,0.0941963
1.5232,0.186729,0.0974002
1.55493,0.191106,0.10161
1.58666,0.19646,0.106738
1.6184,0.20255,0.112682
1.65013,0.209083,0.11931
1.68186,0.215746,0.126434
1.7136,0.222238,0.133781
1.74533,0.2283,0.140991
1.77706,0.233738,0.147666
1.8088,0.238441,0.153446
1.84053,0.24238,0.158076
1.87226,0.245601,0.161456
1.904,0.248201,0.16365
1.93573,0.250307,0.164864
1.96746,0.252049,0.165394
1.9992,0.253534,0.165546
2.03093,0.254837,0.165549
2.06266,0.255987,0.165471
2.0944,0.256975,0.165191
2.12613,0.257759,0.164491
2.15786,0.258278,0.163177
2.18959,0.258464,0.161151
2.22133,0.258259,0.158429
2.25306,0.25762,0.155139
2.28479,0.256528,0.151482
2.31653,0.254993,0.147682
2.34826,0.253041,0.143924
2.37999,0.250712,0.140313
2.41173,0.248047,0.136859
2.44346,0.245065,0.133475
2.47519,0.241762,0.130005
2.50693,0.238092,0.126251
2.53866,0.233967,0.122012
2.57039,0.229266,0.117117
2.60213,0.223841,0.111448
2.63386,0.21754,0.104945
2.66559,0.210221,0.0976172
2.69733,0.201776,0.0895362
2.72906,0.192138,0.0808381
2.76079,0.181297,0.0717124
2.79253,0.169297,0.0623853
2.82426,0.156234,0.0530971
2.85599,0.142246,0.0440804
2.88773,0.127499,0.0355443
2.91946,0.112172,0.0276674
2.95119,0.09644,0.0205967
2.98293,0.0804602,0.0144501
3.01466,0.0643602,0.00931888
3.04639,0.0482301,0.00527032
3.07813,0.0321208,0.0023507
3.10986,0.0160478,0.000588848
3.14159,5.2441e-16,3.80915e-17
