Theta,Radius,Area
0,1.2292e-15,0
0.0317333,0.0167165,0.00058442
0.0634665,0.0331902,0.00229893
0.0951998,0.0491973,0.0050344
0.126933,0.0645525,0.00862986
0.158666,0.0791161,0.0128956
0.1904,0.0927928,0.0176336
0.222133,0.105522,0.0226505
0.253866,0.117261,0.0277641
0.285599,0.127973,0.0328056
0.317333,0.137616,0.0376188
0.349066,0.146141,0.0420586
0.380799,0.153492,0.0459912
0.412532,0.159621,0.0493029
0.444266,0.164497,0.0519318
0.475999,0.168123,0.0539418
0.507732,0.170539,0.0554686
0.539465,0.171832,0.0565821
0.571199,0.172126,0.057373
0.602932,0.171574,0.0579368
0.634665,0.170346,0.0583406
0.666398,0.168612,0.0586104
0.698132,0.166532,0.0587302
0.729865,0.16425,0.0586574
0.761598,0.161892,0.0583475
0.793331,0.159567,0.057782
0.825065,0.157372,0.0569913
0.856798,0.155398,0.0560669
0.888531,0.15372,0.0551578
0.920265,0.152391,0.0544468
0.951998,0.151417,0.0541064
0.983731,0.15075,0.0542501
1.01546,0.15029,0.0549039
1.0472,0.149916,0.0559887
1.07893,0.149519,0.0573323
1.11066,0.149037,0.0587123
1.1424,0.148483,0.0599205
1.17413,0.147956,0.0608445
1.20586,0.14763,0.061521
1.2376,0.147729,0.0621383
1.26933,0.148471,0.0630101
1.30106,0.150021,0.0646028
1.3328,0.152449,0.0671405
1.36453,0.155721,0.0702233
1.39626,0.159729,0.0735362
1.428,0.164327,0.0769434
1.45973,0.169378,0.0803642
1.49146,0.174775,0.0837981
1.5232,0.180436,0.0874319
1.55493,0.18629,0.0915501
1.58666,0.19225,0.0963875
1.6184,0.198203,0.102004
1.65013,0.204006,0.108233
1.68186,0.209504,0.114704
1.7136,0.214556,0.120943
1.74533,0.21906,0.126518
1.77706,0.222967,0.131136
1.8088,0.226293,0.134677
1.84053,0.229101,0.137195
1.87226,0.231491,0.139128
1.904,0.233571,0.141347
1.93573,0.235438,0.143306
1.96746,0.237159,0.144814
1.9992,0.238771,0.145814
2.03093,0.240282,0.146295
2.06266,0.241672,0.146292
2.0944,0.242906,0.145877
2.12613,0.243937,0.145147
2.15786,0.24471,0.144203
2.18959,0.245169,0.143135
2.22133,0.24526,0.141992
2.25306,0.244939,0.140761
2.28479,0.244173,0.139367
2.31653,0.242945,0.137707
2.34826,0.24125,0.135701
2.37999,0.239094,0.133319
2.41173,0.23648,0.130559
2.44346,0.233399,0.127411
2.47519,0.22982,0.123821
2.50693,0.225681,0.119692
2.53866,0.220891,0.114892
2.57039,0.215333,0.10928
2.60213,0.208881,0.102736
2.63386,0.201418,0.0952091
2.66559,0.19286,0.0867508
2.69733,0.18317,0.0775315
2.72906,0.172377,0.0678296
2.76079,0.160572,0.0579955
2.79253,0.14791,0.0484012
2.82426,0.134588,0.0393881
2.85599,0.120827,0.0312225
2.88773,0.106847,0.0240678
2.91946,0.0928382,0.0179788
2.95119,0.078947,0.012921
2.98293,0.0652638,0.00881131
3.01466,0.0518266,0.00555995
3.04639,0.0386288,0.00309472
3.07813,0.0256321,0.00136542
3.10986,0.0127785,0.000339884
3.14159,7.2492e-16,3.21372e-17
