Theta,Radius,Area
0,9.15934e-16,0
0.0317333,0.0174883,0.000713843
0.0634665,0.0348287,0.00284637
0.0951998,0.0518721,0.00636672
0.126933,0.068475,0.0112129
0.158666,0.0845023,0.017282
0.1904,0.0998292,0.024424
0.222133,0.114343,0.0324424
0.253866,0.127942,0.0410996
0.285599,0.140539,0.0501266
0.317333,0.152059,0.0592358
0.349066,0.162442,0.0681323
0.380799,0.17164,0.0765258
0.412532,0.179625,0.0841433
0.444266,0.186389,0.0907431
0.475999,0.191946,0.0961308
0.507732,0.196337,0.100175
0.539465,0.199633,0.102821
0.571199,0.201932,0.104094
0.602932,0.203356,0.104103
0.634665,0.204047,0.103026
0.666398,0.204155,0.101099
0.698132,0.203831,0.0985998
0.729865,0.203212,0.095836
0.761598,0.202417,0.0931378
0.793331,0.201537,0.0908876
0.825065,0.200635,0.0893775
0.856798,0.199743,0.0884277
0.888531,0.198872,0.0879065
0.920265,0.198009,0.0877023
0.951998,0.197132,0.0877081
0.983731,0.19621,0.0878163
1.01546,0.195213,0.0879193
1.0472,0.19412,0.0879256
1.07893,0.192923,0.0877853
1.11066,0.19163,0.087512
1.1424,0.190274,0.0871891
1.17413,0.188908,0.0869538
1.20586,0.187603,0.0869587
1.2376,0.186445,0.0873245
1.26933,0.185524,0.0881158
1.30106,0.184924,0.0893519
1.3328,0.184715,0.0910261
1.36453,0.184943,0.093098
1.39626,0.185628,0.0954681
1.428,0.186767,0.0979814
1.45973,0.188343,0.100496
1.49146,0.190331,0.10294
1.5232,0.192705,0.105314
1.55493,0.195436,0.107677
1.58666,0.198488,0.110113
1.6184,0.201816,0.112692
1.65013,0.205361,0.115455
1.68186,0.209052,0.11843
1.7136,0.212812,0.121649
1.74533,0.216565,0.12514
1.77706,0.220239,0.128878
1.8088,0.223769,0.132755
1.84053,0.227103,0.136624
1.87226,0.23019,0.14034
1.904,0.23299,0.143787
1.93573,0.235459,0.146862
1.96746,0.23756,0.149467
1.9992,0.239253,0.151504
2.03093,0.240509,0.152889
2.06266,0.241303,0.153587
2.0944,0.241624,0.153941
2.12613,0.241477,0.153831
2.15786,0.240881,0.153233
2.18959,0.239875,0.15202
2.22133,0.238511,0.15027
2.25306,0.236858,0.148096
2.28479,0.23499,0.145637
2.31653,0.232984,0.14301
2.34826,0.230906,0.140289
2.37999,0.228803,0.137499
2.41173,0.226693,0.134635
2.44346,0.224553,0.131671
2.47519,0.222316,0.12855
2.50693,0.219874,0.125173
2.53866,0.217077,0.121388
2.57039,0.213755,0.117004
2.60213,0.209726,0.111826
2.63386,0.204818,0.105712
2.66559,0.198886,0.0986103
2.69733,0.191823,0.0905832
2.72906,0.183571,0.081794
2.76079,0.174119,0.0724788
2.79253,0.163501,0.0629089
2.82426,0.151793,0.0533601
2.85599,0.139095,0.0440922
2.88773,0.125528,0.0353392
2.91946,0.111223,0.0273039
2.95119,0.0963074,0.0201522
2.98293,0.0809051,0.0140081
3.01466,0.0651264,0.00895114
3.04639,0.0490686,0.00502044
3.07813,0.032815,0.00222447
3.10986,0.0164376,0.000554856
3.14159,4.04233e-16,6.43728e-17
