Theta,Radius,Area
0,1.00353e-15,0
0.0317333,0.0148419,0.000499853
0.0634665,0.0294537,0.00197726
0.0951998,0.0436102,0.00436775
0.126933,0.0571029,0.00756922
0.158666,0.0697478,0.0114462
0.1904,0.081392,0.0158322
0.222133,0.0919194,0.0205306
0.253866,0.101254,0.0253192
0.285599,0.109364,0.0299615
0.317333,0.116258,0.0342268
0.349066,0.12199,0.0379174
0.380799,0.126651,0.0408953
0.412532,0.130364,0.0431028
0.444266,0.133277,0.044571
0.475999,0.135552,0.0454125
0.507732,0.13735,0.0458013
0.539465,0.138823,0.0459453
0.571199,0.140094,0.0460596
0.602932,0.141257,0.0463334
0.634665,0.142364,0.0468592
0.666398,0.143432,0.0475989
0.698132,0.144444,0.04846
0.729865,0.145358,0.0493588
0.761598,0.146117,0.050235
0.793331,0.146657,0.051046
0.825065,0.14692,0.0517537
0.856798,0.146859,0.0523147
0.888531,0.146453,0.0526771
0.920265,0.145708,0.0527901
0.951998,0.144666,0.0526231
0.983731,0.1434,0.05219
1.01546,0.142015,0.0515634
1.0472,0.140627,0.0508638
1.07893,0.139337,0.0502139
1.11066,0.13821,0.04968
1.1424,0.137277,0.0492753
1.17413,0.136556,0.0490294
1.20586,0.136076,0.0490299
1.2376,0.135892,0.049409
1.26933,0.136085,0.0503094
1.30106,0.136753,0.051845
1.3328,0.137994,0.0540633
1.36453,0.139885,0.0569345
1.39626,0.142462,0.0603524
1.428,0.145715,0.0641196
1.45973,0.149598,0.0680015
1.49146,0.154038,0.0718352
1.5232,0.158951,0.0755983
1.55493,0.164248,0.0794466
1.58666,0.16984,0.0836817
1.6184,0.175634,0.0885551
1.65013,0.181533,0.094121
1.68186,0.187423,0.100255
1.7136,0.193176,0.106686
1.74533,0.198652,0.113038
1.77706,0.203708,0.118897
1.8088,0.20821,0.123875
1.84053,0.212049,0.127667
1.87226,0.215157,0.130094
1.904,0.217512,0.131117
1.93573,0.219141,0.130829
1.96746,0.220116,0.129426
1.9992,0.220545,0.127173
2.03093,0.220555,0.124366
2.06266,0.220281,0.121303
2.0944,0.219847,0.11821
2.12613,0.21936,0.115262
2.15786,0.21889,0.11264
2.18959,0.218474,0.1106
2.22133,0.218102,0.109154
2.25306,0.217727,0.108091
2.28479,0.217261,0.107168
2.31653,0.216591,0.10617
2.34826,0.215585,0.104895
2.37999,0.214109,0.103176
2.41173,0.212042,0.100894
2.44346,0.209284,0.0979822
2.47519,0.205769,0.0944244
2.50693,0.201463,0.0902482
2.53866,0.196369,0.0855145
2.57039,0.190521,0.080306
2.60213,0.183976,0.0747174
2.63386,0.176809,0.068851
2.66559,0.1691,0.0628153
2.69733,0.160927,0.0567238
2.72906,0.152354,0.0506884
2.76079,0.143423,0.0448077
2.79253,0.134147,0.039154
2.82426,0.124511,0.0337648
2.85599,0.114469,0.0286451
2.88773,0.103959,0.0237827
2.91946,0.0929144,0.0191701
2.95119,0.0812766,0.0148266
2.98293,0.0690136,0.0108125
3.01466,0.0561302,0.00723153
3.04639,0.0426748,0.0042205
3.07813,0.0287407,0.00192862
3.10986,0.0144612,0.000490549
3.14159,1.76246e-15,1.70749e-17
