Theta,Radius,Area
0,4.65475e-16,0
0.0317333,0.0143192,0.000574099
0.0634665,0.0286426,0.00228816
0.0951998,0.0429626,0.00511583
0.126933,0.0572584,0.00900807
0.158666,0.0714919,0.0138864
0.1904,0.0856045,0.0196367
0.222133,0.0995172,0.0261061
0.253866,0.113131,0.0331061
0.285599,0.126327,0.0404214
0.317333,0.138974,0.0478226
0.349066,0.150928,0.0550775
0.380799,0.162044,0.0619599
0.412532,0.172183,0.0682602
0.444266,0.181221,0.0737984
0.475999,0.18906,0.0784426
0.507732,0.195639,0.0821257
0.539465,0.200938,0.0848551
0.571199,0.204981,0.0867111
0.602932,0.207837,0.0878293
0.634665,0.209613,0.088356
0.666398,0.210447,0.088381
0.698132,0.210502,0.0879141
0.729865,0.209949,0.0869298
0.761598,0.208965,0.0854241
0.793331,0.207718,0.0834655
0.825065,0.20636,0.0813031
0.856798,0.205018,0.0794151
0.888531,0.203786,0.0779066
0.920265,0.20272,0.0769732
0.951998,0.201832,0.0768061
0.983731,0.201094,0.07754
1.01546,0.20044,0.0791826
1.0472,0.199778,0.0817023
1.07893,0.199005,0.0844746
1.11066,0.198021,0.0869162
1.1424,0.196746,0.0886623
1.17413,0.195137,0.0895192
1.20586,0.193199,0.0894853
1.2376,0.19099,0.0887583
1.26933,0.188625,0.0876891
1.30106,0.186266,0.0866531
1.3328,0.184106,0.0859882
1.36453,0.182345,0.0860724
1.39626,0.181156,0.0875361
1.428,0.18066,0.0908601
1.45973,0.180899,0.0945101
1.49146,0.181851,0.097986
1.5232,0.183447,0.101084
1.55493,0.185616,0.103767
1.58666,0.188303,0.10617
1.6184,0.191484,0.108582
1.65013,0.195155,0.111383
1.68186,0.199316,0.114917
1.7136,0.203943,0.119419
1.74533,0.208976,0.124984
1.77706,0.214309,0.13156
1.8088,0.219804,0.138935
1.84053,0.225299,0.146732
1.87226,0.230635,0.154449
1.904,0.235664,0.16158
1.93573,0.240264,0.16774
1.96746,0.244347,0.172705
1.9992,0.247859,0.176415
2.03093,0.250774,0.178943
2.06266,0.253096,0.180476
2.0944,0.254847,0.181144
2.12613,0.256065,0.180905
2.15786,0.256797,0.179778
2.18959,0.257093,0.177862
2.22133,0.257001,0.17532
2.25306,0.256565,0.17235
2.28479,0.25582,0.16915
2.31653,0.254788,0.165884
2.34826,0.253478,0.162658
2.37999,0.25188,0.159499
2.41173,0.249961,0.156346
2.44346,0.247663,0.153057
2.47519,0.244904,0.14942
2.50693,0.241581,0.145191
2.53866,0.237575,0.140132
2.57039,0.232763,0.134055
2.60213,0.227029,0.126859
2.63386,0.220276,0.118554
2.66559,0.212436,0.109257
2.69733,0.203475,0.0991752
2.72906,0.193399,0.0885778
2.76079,0.182249,0.0777548
2.79253,0.170097,0.066987
2.82426,0.157037,0.0565253
2.85599,0.143177,0.046582
2.88773,0.128636,0.0373321
2.91946,0.113532,0.0289166
2.95119,0.0979756,0.0214468
2.98293,0.0820719,0.0150081
3.01466,0.0659106,0.00966417
3.04639,0.0495676,0.00546205
3.07813,0.0331039,0.00243597
3.10986,0.0165683,0.000610279
3.14159,1.15603e-15,2.49413e-17
