Theta,Radius,Area
0,2.74766e-16,0
0.0317333,0.0167549,0.000614906
0.0634665,0.0333153,0.00243503
0.0951998,0.0494972,0.00538917
0.126933,0.0651434,0.00936699
0.158666,0.0801328,0.0142305
0.1904,0.0943839,0.0198281
0.222133,0.107854,0.0260083
0.253866,0.120532,0.0326323
0.285599,0.132433,0.0395809
0.317333,0.143585,0.0467567
0.349066,0.15402,0.0540788
0.380799,0.163765,0.06147
0.412532,0.17283,0.0688426
0.444266,0.181212,0.076088
0.475999,0.188886,0.0830792
0.507732,0.195816,0.0896872
0.539465,0.201957,0.0958024
0.571199,0.20727,0.101353
0.602932,0.211729,0.10631
0.634665,0.215332,0.110685
0.666398,0.21811,0.114521
0.698132,0.220127,0.117873
0.729865,0.221486,0.120815
0.761598,0.222322,0.123434
0.793331,0.222794,0.125837
0.825065,0.223072,0.128144
0.856798,0.223319,0.130471
0.888531,0.223674,0.132916
0.920265,0.224233,0.13554
0.951998,0.22504,0.138362
0.983731,0.226079,0.141352
1.01546,0.227276,0.144435
1.0472,0.228512,0.14749
1.07893,0.229635,0.150346
1.11066,0.230478,0.152786
1.1424,0.230881,0.154575
1.17413,0.230708,0.155499
1.20586,0.229866,0.155405
1.2376,0.22831,0.154239
1.26933,0.226057,0.152049
1.30106,0.223181,0.14898
1.3328,0.219804,0.145249
1.36453,0.216084,0.141103
1.39626,0.212198,0.136788
1.428,0.208323,0.13252
1.45973,0.204614,0.128466
1.49146,0.201194,0.124733
1.5232,0.198148,0.121368
1.55493,0.195514,0.118365
1.58666,0.193294,0.115671
1.6184,0.19146,0.113197
1.65013,0.189961,0.110831
1.68186,0.188728,0.108463
1.7136,0.187688,0.105994
1.74533,0.186763,0.103342
1.77706,0.185882,0.100434
1.8088,0.184985,0.0972074
1.84053,0.184029,0.0936333
1.87226,0.182996,0.0897526
1.904,0.181891,0.0856894
1.93573,0.180743,0.0816367
1.96746,0.179601,0.0778216
1.9992,0.178522,0.0744628
2.03093,0.177565,0.0717298
2.06266,0.176783,0.0697145
2.0944,0.176211,0.068416
2.12613,0.175872,0.0677362
2.15786,0.175773,0.0675054
2.18959,0.175905,0.0675408
2.22133,0.176249,0.0676924
2.25306,0.176771,0.0678495
2.28479,0.177426,0.0679321
2.31653,0.178163,0.0678855
2.34826,0.178925,0.0676842
2.37999,0.179654,0.0673424
2.41173,0.180297,0.0669225
2.44346,0.180796,0.0665297
2.47519,0.181093,0.0662859
2.50693,0.181119,0.0662787
2.53866,0.180791,0.0665019
2.57039,0.180004,0.0668249
2.60213,0.178638,0.0670191
2.63386,0.176553,0.0668098
2.66559,0.173608,0.0659264
2.69733,0.169665,0.0641429
2.72906,0.164603,0.0613098
2.76079,0.15833,0.0573767
2.79253,0.150787,0.0524033
2.82426,0.141955,0.0465557
2.85599,0.131852,0.0400871
2.88773,0.120533,0.033307
2.91946,0.108081,0.026545
2.95119,0.0946062,0.0201167
2.98293,0.0802353,0.0142967
3.01466,0.0651073,0.00930269
3.04639,0.0493686,0.00529236
3.07813,0.0331696,0.00236922
3.10986,0.0166624,0.000594673
3.14159,1.21205e-15,1.40913e-17
