Theta,Radius,Area
0,1.13916e-15,0
0.0317333,0.0140417,0.000518937
0.0634665,0.028005,0.00205781
0.0951998,0.0418067,0.00456536
0.126933,0.0553627,0.00796349
0.158666,0.0685884,0.0121551
0.1904,0.0814005,0.0170305
0.222133,0.0937195,0.0224714
0.253866,0.105473,0.0283534
0.285599,0.116602,0.0345483
0.317333,0.127062,0.0409291
0.349066,0.13683,0.0473756
0.380799,0.145908,0.0537807
0.412532,0.154321,0.0600556
0.444266,0.162117,0.0661344
0.475999,0.169364,0.0719801
0.507732,0.176145,0.0775913
0.539465,0.182549,0.0830087
0.571199,0.188666,0.0883166
0.602932,0.194576,0.0936355
0.634665,0.200339,0.0991058
0.666398,0.205989,0.104861
0.698132,0.211527,0.110996
0.729865,0.216919,0.11754
0.761598,0.222097,0.124429
0.793331,0.226966,0.13151
0.825065,0.231416,0.138552
0.856798,0.235332,0.14527
0.888531,0.238615,0.151371
0.920265,0.241186,0.156582
0.951998,0.243001,0.160696
0.983731,0.244054,0.163591
1.01546,0.244371,0.165246
1.0472,0.244012,0.165731
1.07893,0.243056,0.165182
1.11066,0.241592,0.163769
1.1424,0.239707,0.161661
1.17413,0.237478,0.158999
1.20586,0.234965,0.155879
1.2376,0.232206,0.152354
1.26933,0.22922,0.148451
1.30106,0.226014,0.144198
1.3328,0.222587,0.139638
1.36453,0.218938,0.134833
1.39626,0.215073,0.129858
1.428,0.211008,0.124782
1.45973,0.206774,0.11966
1.49146,0.202419,0.114532
1.5232,0.19801,0.109438
1.55493,0.193634,0.104443
1.58666,0.1894,0.0996686
1.6184,0.185435,0.0954265
1.65013,0.181881,0.0918474
1.68186,0.178883,0.0887452
1.7136,0.17657,0.0860861
1.74533,0.17504,0.0839223
1.77706,0.174337,0.0823457
1.8088,0.174438,0.0813989
1.84053,0.175249,0.0809753
1.87226,0.176614,0.0808605
1.904,0.178337,0.0808406
1.93573,0.180201,0.080751
1.96746,0.182003,0.0804781
1.9992,0.183564,0.0799513
2.03093,0.184751,0.0791404
2.06266,0.185485,0.0780586
2.0944,0.185734,0.0767563
2.12613,0.185519,0.0752868
2.15786,0.184898,0.0736454
2.18959,0.183961,0.0717595
2.22133,0.182813,0.06957
2.25306,0.181567,0.0670919
2.28479,0.180329,0.0644239
2.31653,0.179186,0.0617324
2.34826,0.1782,0.0592316
2.37999,0.177394,0.0571665
2.41173,0.176757,0.0558445
2.44346,0.17624,0.0557444
2.47519,0.175759,0.0566545
2.50693,0.175198,0.0582671
2.53866,0.174414,0.060224
2.57039,0.17324,0.0621415
2.60213,0.171497,0.0636607
2.63386,0.169004,0.0644612
2.66559,0.165595,0.0642703
2.69733,0.161125,0.0628792
2.72906,0.155489,0.060168
2.76079,0.14863,0.0561332
2.79253,0.14054,0.0509012
2.82426,0.131261,0.0447216
2.85599,0.120881,0.0379379
2.88773,0.109522,0.0309434
2.91946,0.0973282,0.0241313
2.95119,0.084451,0.0178481
2.98293,0.0710392,0.0123601
3.01466,0.0572281,0.0078363
3.04639,0.0431335,0.00435215
3.07813,0.0288501,0.00191022
3.10986,0.0144525,0.000473245
3.14159,6.09369e-16,5.562e-17
