Theta,Radius,Area
0,2.99661e-16,0
0.0317333,0.0140695,0.000570752
0.0634665,0.0280334,0.00225947
0.0951998,0.0417841,0.00499865
0.126933,0.0552249,0.00868532
0.158666,0.0682749,0.0131934
0.1904,0.0808735,0.0183869
0.222133,0.092983,0.0241332
0.253866,0.10459,0.0303124
0.285599,0.115706,0.0368243
0.317333,0.126361,0.0435908
0.349066,0.136599,0.050556
0.380799,0.146468,0.0576827
0.412532,0.156008,0.0649489
0.444266,0.165246,0.0723402
0.475999,0.174186,0.0798436
0.507732,0.18281,0.0874385
0.539465,0.191077,0.0950909
0.571199,0.198931,0.102748
0.602932,0.206309,0.110335
0.634665,0.213141,0.117756
0.666398,0.219361,0.124896
0.698132,0.224911,0.131636
0.729865,0.229744,0.137877
0.761598,0.233831,0.143552
0.793331,0.237166,0.148632
0.825065,0.23977,0.153115
0.856798,0.241693,0.156999
0.888531,0.243008,0.160277
0.920265,0.243808,0.162928
0.951998,0.244197,0.164939
0.983731,0.244273,0.166322
1.01546,0.244123,0.167129
1.0472,0.243809,0.167462
1.07893,0.243365,0.167444
1.11066,0.242787,0.167183
1.1424,0.242042,0.166735
1.17413,0.241067,0.166073
1.20586,0.239776,0.165085
1.2376,0.238077,0.163584
1.26933,0.235876,0.161354
1.30106,0.233098,0.158204
1.3328,0.229695,0.15401
1.36453,0.225662,0.148759
1.39626,0.221042,0.142559
1.428,0.215927,0.135633
1.45973,0.210455,0.128288
1.49146,0.204801,0.120861
1.5232,0.19916,0.113675
1.55493,0.193735,0.106998
1.58666,0.188724,0.101023
1.6184,0.184309,0.0958688
1.65013,0.180637,0.0915807
1.68186,0.177815,0.0881447
1.7136,0.175891,0.0855012
1.74533,0.174847,0.0835648
1.77706,0.174603,0.0822582
1.8088,0.175021,0.0815816
1.84053,0.175921,0.0815692
1.87226,0.1771,0.0818571
1.904,0.178356,0.0821369
1.93573,0.179512,0.082141
1.96746,0.180428,0.0816831
1.9992,0.181015,0.0806561
2.03093,0.181241,0.0790412
2.06266,0.181122,0.076909
2.0944,0.180718,0.0744111
2.12613,0.180115,0.0717591
2.15786,0.179418,0.0691932
2.18959,0.178725,0.066941
2.22133,0.17812,0.0651732
2.25306,0.177659,0.063967
2.28479,0.177362,0.063299
2.31653,0.177212,0.0630719
2.34826,0.177163,0.0631508
2.37999,0.177141,0.0633918
2.41173,0.177057,0.0636645
2.44346,0.176813,0.063877
2.47519,0.176309,0.0640007
2.50693,0.175449,0.0640779
2.53866,0.174142,0.0641305
2.57039,0.172305,0.0640309
2.60213,0.169863,0.0635959
2.63386,0.166746,0.0626596
2.66559,0.162892,0.0610872
2.69733,0.158245,0.0587872
2.72906,0.152753,0.0557184
2.76079,0.14637,0.0518908
2.79253,0.139054,0.0473636
2.82426,0.130773,0.0422412
2.85599,0.121503,0.036669
2.88773,0.111238,0.0308282
2.91946,0.0999871,0.0249284
2.95119,0.0877859,0.0191973
2.98293,0.0746958,0.0138679
3.01466,0.0608071,0.00916298
3.04639,0.0462387,0.00528187
3.07813,0.0311351,0.00238839
3.10986,0.015662,0.000603255
3.14159,8.77064e-16,4.65303e-17
