Theta,Radius,Area
0,1.14649e-15,0
0.0317333,0.0122228,0.0003993
0.0634665,0.0243105,0.00157887
0.0951998,0.0361318,0.00348543
0.126933,0.0475722,0.00603565
0.158666,0.0585399,0.00912349
0.1904,0.06897,0.0126291
0.222133,0.0788242,0.0164286
0.253866,0.0880881,0.0204039
0.285599,0.0967656,0.0244518
0.317333,0.104871,0.0284912
0.349066,0.112423,0.0324654
0.380799,0.119432,0.0363378
0.412532,0.1259,0.0400832
0.444266,0.131814,0.043676
0.475999,0.137153,0.0470849
0.507732,0.141894,0.050275
0.539465,0.146022,0.053219
0.571199,0.149541,0.0559085
0.602932,0.152479,0.0583588
0.634665,0.154898,0.0606073
0.666398,0.156886,0.062705
0.698132,0.158556,0.0647097
0.729865,0.16004,0.0666815
0.761598,0.161477,0.068681
0.793331,0.163003,0.0707686
0.825065,0.164738,0.0730035
0.856798,0.166771,0.075442
0.888531,0.169156,0.0781373
0.920265,0.171898,0.0811408
0.951998,0.174956,0.0844993
0.983731,0.17824,0.0882449
1.01546,0.181615,0.0923687
1.0472,0.184909,0.0967809
1.07893,0.187919,0.101272
1.11066,0.190424,0.105509
1.1424,0.192208,0.109091
1.17413,0.193077,0.11161
1.20586,0.192878,0.112723
1.2376,0.191522,0.112201
1.26933,0.188994,0.109968
1.30106,0.185359,0.10611
1.3328,0.180761,0.100858
1.36453,0.17541,0.0945591
1.39626,0.169565,0.0876332
1.428,0.163502,0.0805332
1.45973,0.157489,0.0737014
1.49146,0.151758,0.0675275
1.5232,0.146486,0.0623115
1.55493,0.141788,0.0582356
1.58666,0.137729,0.0553133
1.6184,0.134335,0.053321
1.65013,0.131614,0.0519605
1.68186,0.129554,0.05101
1.7136,0.128129,0.0503026
1.74533,0.127288,0.0497056
1.77706,0.126956,0.0491093
1.8088,0.127027,0.0484044
1.84053,0.127375,0.0474703
1.87226,0.127868,0.0462024
1.904,0.128381,0.0445862
1.93573,0.128813,0.0426969
1.96746,0.129096,0.0407753
1.9992,0.129204,0.0389586
2.03093,0.129151,0.0374091
2.06266,0.128989,0.036171
2.0944,0.128785,0.0352444
2.12613,0.128588,0.0346262
2.15786,0.128411,0.0342063
2.18959,0.128247,0.0339395
2.22133,0.128079,0.0338551
2.25306,0.127889,0.034018
2.28479,0.127662,0.0346488
2.31653,0.12739,0.0357625
2.34826,0.127076,0.0367424
2.37999,0.126731,0.037475
2.41173,0.126371,0.037953
2.44346,0.12601,0.0382066
2.47519,0.125654,0.0382719
2.50693,0.125298,0.0381723
2.53866,0.124909,0.037912
2.57039,0.124433,0.0374848
2.60213,0.123787,0.0369171
2.63386,0.122862,0.0363656
2.66559,0.121528,0.0356194
2.69733,0.119645,0.0344614
2.72906,0.117073,0.0328092
2.76079,0.113686,0.0306422
2.79253,0.109383,0.0279944
2.82426,0.104096,0.0249511
2.85599,0.0977828,0.0216409
2.88773,0.0904283,0.0182195
2.91946,0.0820381,0.0148422
2.95119,0.0726386,0.0116199
2.98293,0.0622794,0.00860237
3.01466,0.0510379,0.00584528
3.04639,0.0390252,0.00346076
3.07813,0.0263886,0.00159932
3.10986,0.0133104,0.000409694
3.14159,4.32278e-16,1.40615e-16
