Theta,Radius,Area
0,2.37144e-16,0
0.0317333,0.0148479,0.000630689
0.0634665,0.0294814,0.00249022
0.0951998,0.0436988,0.00548228
0.126933,0.0573302,0.00945139
0.158666,0.0702462,0.0141928
0.1904,0.0823604,0.019468
0.222133,0.0936252,0.0250238
0.253866,0.104023,0.0306126
0.285599,0.113558,0.0360099
0.317333,0.122243,0.0410277
0.349066,0.130091,0.0455245
0.380799,0.137114,0.049408
0.412532,0.143317,0.0526344
0.444266,0.148702,0.0552002
0.475999,0.153269,0.0571326
0.507732,0.157026,0.0584773
0.539465,0.159991,0.0592918
0.571199,0.162198,0.0596426
0.602932,0.163705,0.0596039
0.634665,0.164593,0.0592472
0.666398,0.164966,0.0586209
0.698132,0.164953,0.0577388
0.729865,0.164698,0.0566091
0.761598,0.164355,0.055285
0.793331,0.164076,0.0539133
0.825065,0.164003,0.0528422
0.856798,0.164251,0.0522869
0.888531,0.164902,0.0522357
0.920265,0.165987,0.0525818
0.951998,0.167485,0.0532707
0.983731,0.169319,0.0543078
1.01546,0.171359,0.0556957
1.0472,0.173443,0.0574077
1.07893,0.175403,0.0593628
1.11066,0.177082,0.0614352
1.1424,0.178357,0.0635058
1.17413,0.179145,0.065495
1.20586,0.179405,0.0673567
1.2376,0.179139,0.0690618
1.26933,0.17839,0.0705909
1.30106,0.177235,0.0719312
1.3328,0.175785,0.0730715
1.36453,0.174173,0.0739924
1.39626,0.172553,0.0746685
1.428,0.171088,0.0750996
1.45973,0.169948,0.0753419
1.49146,0.169299,0.0755122
1.5232,0.169299,0.0757863
1.55493,0.170078,0.0768183
1.58666,0.171722,0.0788509
1.6184,0.174258,0.0815487
1.65013,0.177642,0.0848968
1.68186,0.181761,0.0888897
1.7136,0.186445,0.0934674
1.74533,0.191495,0.0985006
1.77706,0.196702,0.1038
1.8088,0.201872,0.109142
1.84053,0.20684,0.114295
1.87226,0.211481,0.119058
1.904,0.215713,0.123273
1.93573,0.219495,0.126839
1.96746,0.222821,0.129699
1.9992,0.225718,0.131835
2.03093,0.228229,0.13326
2.06266,0.230407,0.134005
2.0944,0.232305,0.134122
2.12613,0.233962,0.133675
2.15786,0.2354,0.132732
2.18959,0.236616,0.131364
2.22133,0.237581,0.129634
2.25306,0.238242,0.127602
2.28479,0.238528,0.125313
2.31653,0.238357,0.122801
2.34826,0.237642,0.120075
2.37999,0.236308,0.117113
2.41173,0.234292,0.113871
2.44346,0.231553,0.110295
2.47519,0.228072,0.106332
2.50693,0.223852,0.101952
2.53866,0.218914,0.0971483
2.57039,0.213292,0.091935
2.60213,0.207023,0.0863435
2.63386,0.200139,0.0804143
2.66559,0.192664,0.0741949
2.69733,0.184609,0.0677395
2.72906,0.175967,0.0611115
2.76079,0.166719,0.0543838
2.79253,0.15683,0.0476389
2.82426,0.146256,0.0409654
2.85599,0.13495,0.0344551
2.88773,0.122867,0.0282022
2.91946,0.109974,0.022306
2.95119,0.0962557,0.016874
2.98293,0.081728,0.0120196
3.01466,0.0664404,0.00785736
3.04639,0.0504812,0.00449416
3.07813,0.033977,0.00202153
3.10986,0.0170881,0.000509048
3.14159,1.01732e-15,1.90012e-17
