Theta,Radius,Area
0,1.69345e-15,0
0.0317333,0.0162254,0.000603879
0.0634665,0.0323893,0.00241769
0.0951998,0.0484199,0.00544333
0.126933,0.064233,0.00966979
0.158666,0.0797276,0.0150553
0.1904,0.0947837,0.0215085
0.222133,0.109263,0.0288735
0.253866,0.123014,0.0369221
0.285599,0.135875,0.0453574
0.317333,0.147688,0.0538306
0.349066,0.158307,0.061968
0.380799,0.16761,0.0694061
0.412532,0.175509,0.0758277
0.444266,0.181955,0.0809924
0.475999,0.18695,0.0847572
0.507732,0.190542,0.0870867
0.539465,0.192828,0.0880543
0.571199,0.193946,0.0878419
0.602932,0.194066,0.0867483
0.634665,0.193378,0.0851978
0.666398,0.192079,0.0836282
0.698132,0.190358,0.0822137
0.729865,0.188386,0.0808976
0.761598,0.186306,0.0795537
0.793331,0.184236,0.078133
0.825065,0.182268,0.0766206
0.856798,0.180477,0.075072
0.888531,0.178928,0.0736376
0.920265,0.177676,0.0725618
0.951998,0.176768,0.0721601
0.983731,0.176229,0.0728959
1.01546,0.176058,0.0747181
1.0472,0.176218,0.0770511
1.07893,0.176639,0.0794838
1.11066,0.17723,0.0816609
1.1424,0.177895,0.0832976
1.17413,0.17855,0.0842152
1.20586,0.17914,0.0843633
1.2376,0.179643,0.0838241
1.26933,0.18007,0.0828093
1.30106,0.180461,0.0817241
1.3328,0.180871,0.0815036
1.36453,0.181359,0.0831996
1.39626,0.181976,0.0861738
1.428,0.18276,0.0897113
1.45973,0.183752,0.0933933
1.49146,0.185,0.0969543
1.5232,0.186579,0.100259
1.55493,0.188586,0.103339
1.58666,0.191131,0.106404
1.6184,0.19431,0.109769
1.65013,0.198187,0.113727
1.68186,0.202763,0.118454
1.7136,0.207972,0.123965
1.74533,0.213681,0.130124
1.77706,0.219702,0.136692
1.8088,0.225814,0.143388
1.84053,0.231778,0.149938
1.87226,0.237363,0.156125
1.904,0.242358,0.161955
1.93573,0.24659,0.167242
1.96746,0.249934,0.171563
1.9992,0.252323,0.1746
2.03093,0.253749,0.176142
2.06266,0.254264,0.17608
2.0944,0.253972,0.174473
2.12613,0.253017,0.171524
2.15786,0.251565,0.167536
2.18959,0.249786,0.162876
2.22133,0.247832,0.157933
2.25306,0.24582,0.153055
2.28479,0.243817,0.148494
2.31653,0.241836,0.144373
2.34826,0.239833,0.140674
2.37999,0.237712,0.13726
2.41173,0.23534,0.133904
2.44346,0.23256,0.130339
2.47519,0.229215,0.126317
2.50693,0.225159,0.121662
2.53866,0.220274,0.116293
2.57039,0.214483,0.110237
2.60213,0.207752,0.103597
2.63386,0.200091,0.0965236
2.66559,0.191549,0.0891659
2.69733,0.182204,0.0816418
2.72906,0.172149,0.0740218
2.76079,0.161477,0.0663387
2.79253,0.150271,0.0586134
2.82426,0.138592,0.0508819
2.85599,0.126477,0.0432105
2.88773,0.113942,0.0356998
2.91946,0.100987,0.0284823
2.95119,0.0876094,0.0217159
2.98293,0.0738132,0.0155755
3.01466,0.0596184,0.0102412
3.04639,0.0450665,0.00588487
3.07813,0.0302212,0.00265603
3.10986,0.0151663,0.000670194
3.14159,2.73232e-16,6.59308e-17
