Theta,Radius,Area
0,7.95071e-16,0
0.0317333,0.0149973,0.000506949
0.0634665,0.0298926,0.00201927
0.0951998,0.0445786,0.00451096
0.126933,0.0589467,0.00793638
0.158666,0.0728846,0.0122245
0.1904,0.0862738,0.0172695
0.222133,0.0989883,0.0229195
0.253866,0.110895,0.0289708
0.285599,0.121856,0.0351703
0.317333,0.131741,0.0412318
0.349066,0.140434,0.0468622
0.380799,0.147847,0.0517964
0.412532,0.153933,0.0558305
0.444266,0.158695,0.0588485
0.475999,0.162188,0.0608336
0.507732,0.164519,0.0618626
0.539465,0.165843,0.0620843
0.571199,0.16635,0.061691
0.602932,0.166254,0.0609044
0.634665,0.165774,0.0601008
0.666398,0.165126,0.0595586
0.698132,0.164503,0.0592674
0.729865,0.164065,0.059292
0.761598,0.163932,0.0596931
0.793331,0.164177,0.0605459
0.825065,0.164826,0.0617695
0.856798,0.165862,0.0632904
0.888531,0.167226,0.0649955
0.920265,0.168829,0.0667449
0.951998,0.17056,0.0683896
0.983731,0.172294,0.0697923
1.01546,0.173904,0.0708466
1.0472,0.175269,0.0714974
1.07893,0.176291,0.0717636
1.11066,0.176901,0.0717637
1.1424,0.17707,0.0717265
1.17413,0.176816,0.0719264
1.20586,0.176203,0.0725407
1.2376,0.175333,0.0735963
1.26933,0.174335,0.0750303
1.30106,0.173351,0.0767878
1.3328,0.172516,0.0788688
1.36453,0.171948,0.0812093
1.39626,0.171744,0.0835721
1.428,0.171987,0.0857252
1.45973,0.172753,0.0876117
1.49146,0.174112,0.0893546
1.5232,0.176134,0.0911781
1.55493,0.178876,0.0933436
1.58666,0.182366,0.0960631
1.6184,0.18659,0.0994791
1.65013,0.191476,0.103673
1.68186,0.196901,0.108669
1.7136,0.202695,0.114411
1.74533,0.208659,0.120734
1.77706,0.214584,0.127358
1.8088,0.220271,0.133927
1.84053,0.225545,0.140064
1.87226,0.230266,0.145433
1.904,0.234341,0.149776
1.93573,0.237723,0.152946
1.96746,0.240412,0.154905
1.9992,0.242453,0.155735
2.03093,0.243921,0.155615
2.06266,0.244916,0.154792
2.0944,0.245543,0.153534
2.12613,0.245903,0.152078
2.15786,0.246077,0.150588
2.18959,0.246116,0.149157
2.22133,0.246039,0.147813
2.25306,0.245828,0.14653
2.28479,0.245433,0.14523
2.31653,0.244778,0.143792
2.34826,0.243771,0.142073
2.37999,0.242314,0.139917
2.41173,0.24031,0.137179
2.44346,0.237672,0.13374
2.47519,0.234327,0.129516
2.50693,0.230224,0.124464
2.53866,0.225329,0.118579
2.57039,0.21963,0.111896
2.60213,0.213134,0.104487
2.63386,0.20586,0.0964696
2.66559,0.19784,0.0880022
2.69733,0.189111,0.079281
2.72906,0.17971,0.0705224
2.76079,0.169669,0.0619348
2.79253,0.159005,0.0536872
2.82426,0.147719,0.0458847
2.85599,0.135797,0.0385647
2.88773,0.123213,0.0317197
2.91946,0.109942,0.0253344
2.95119,0.0959691,0.0194227
2.98293,0.0812998,0.0140481
3.01466,0.065971,0.00932616
3.04639,0.0500542,0.00540903
3.07813,0.0336566,0.00246
3.10986,0.0169174,0.000623842
3.14159,4.08494e-16,6.23378e-17
