round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,26,37,6,5,0.8514,0.8387,0.8605,0.8254,0.8905
2,13,44,8,9,0.7703,0.5909,0.8462,0.6047,0.7596
3,25,32,11,6,0.7703,0.8065,0.7442,0.7463,0.8012
4,16,34,15,9,0.6757,0.64,0.6939,0.5714,0.7355
5,15,46,5,8,0.8243,0.6522,0.902,0.6977,0.9062
6,14,42,12,6,0.7568,0.7,0.7778,0.6087,0.8148
7,21,31,13,9,0.7027,0.7,0.7045,0.6562,0.7591
8,22,36,9,7,0.7838,0.7586,0.8,0.7333,0.7839
9,23,37,8,6,0.8108,0.7931,0.8222,0.7667,0.8613
10,23,37,11,3,0.8108,0.8846,0.7708,0.7667,0.887
11,21,37,10,6,0.7838,0.7778,0.7872,0.7241,0.8211
12,21,37,11,5,0.7838,0.8077,0.7708,0.7241,0.8421
13,14,40,11,9,0.7297,0.6087,0.7843,0.5833,0.7485
14,21,38,12,3,0.7973,0.875,0.76,0.7368,0.895
15,16,44,8,6,0.8108,0.7273,0.8462,0.6957,0.8706
16,28,37,4,5,0.8784,0.8485,0.9024,0.8615,0.9298
17,19,25,14,16,0.5946,0.5429,0.641,0.5588,0.6784
18,15,45,8,6,0.8108,0.7143,0.8491,0.6818,0.8733
19,15,42,7,10,0.7703,0.6,0.8571,0.6383,0.8416
20,20,38,13,3,0.7838,0.8696,0.7451,0.7143,0.8619
21,19,39,8,8,0.7838,0.7037,0.8298,0.7037,0.8125
22,19,40,6,9,0.7973,0.6786,0.8696,0.717,0.8191
23,20,41,10,3,0.8243,0.8696,0.8039,0.7547,0.8627
24,14,40,7,13,0.7297,0.5185,0.8511,0.5833,0.788
25,17,39,14,4,0.7568,0.8095,0.7358,0.6538,0.7835
26,22,36,11,5,0.7838,0.8148,0.766,0.7333,0.8511
27,18,43,9,4,0.8243,0.8182,0.8269,0.7347,0.8304
28,14,41,11,8,0.7432,0.6364,0.7885,0.5957,0.7955
29,15,42,9,8,0.7703,0.6522,0.8235,0.6383,0.8218
30,21,39,6,8,0.8108,0.7241,0.8667,0.75,0.8667
31,17,40,9,8,0.7703,0.68,0.8163,0.6667,0.8065
32,16,43,11,4,0.7973,0.8,0.7963,0.6809,0.8546
33,23,37,10,4,0.8108,0.8519,0.7872,0.7667,0.855
34,21,35,10,8,0.7568,0.7241,0.7778,0.7,0.8077
35,14,50,4,6,0.8649,0.7,0.9259,0.7368,0.8287
36,18,36,10,10,0.7297,0.6429,0.7826,0.6429,0.8028
37,24,36,6,8,0.8108,0.75,0.8571,0.7742,0.8549
38,22,35,12,5,0.7703,0.8148,0.7447,0.7213,0.8109
39,18,39,11,6,0.7703,0.75,0.78,0.6792,0.7883
40,19,36,10,9,0.7432,0.6786,0.7826,0.6667,0.7166
41,24,39,7,4,0.8514,0.8571,0.8478,0.8136,0.8781
42,9,44,13,8,0.7162,0.5294,0.7719,0.4615,0.7606
43,17,47,7,3,0.8649,0.85,0.8704,0.7727,0.8731
44,19,40,12,3,0.7973,0.8636,0.7692,0.717,0.8986
45,18,40,7,9,0.7838,0.6667,0.8511,0.6923,0.8211
46,24,42,3,5,0.8919,0.8276,0.9333,0.8571,0.9165
47,25,36,9,4,0.8243,0.8621,0.8,0.7937,0.8628
48,17,46,5,6,0.8514,0.7391,0.902,0.7556,0.8951
49,24,26,11,13,0.6757,0.6486,0.7027,0.6667,0.7597
50,16,35,16,7,0.6892,0.6957,0.6863,0.5818,0.728
51,21,40,8,5,0.8243,0.8077,0.8333,0.7636,0.8413
52,19,35,9,11,0.7297,0.6333,0.7955,0.6552,0.7856
53,22,37,8,7,0.7973,0.7586,0.8222,0.7458,0.8674
54,13,41,9,11,0.7297,0.5417,0.82,0.5652,0.7233
55,18,37,11,8,0.7432,0.6923,0.7708,0.6545,0.738
56,21,43,5,5,0.8649,0.8077,0.8958,0.8077,0.8974
57,18,43,6,7,0.8243,0.72,0.8776,0.7347,0.8555
58,12,47,12,3,0.7973,0.8,0.7966,0.6154,0.8588
59,23,36,10,5,0.7973,0.8214,0.7826,0.7541,0.8377
60,18,41,10,5,0.7973,0.7826,0.8039,0.7059,0.8218
61,17,44,9,4,0.8243,0.8095,0.8302,0.7234,0.8688
62,15,43,7,9,0.7838,0.625,0.86,0.6522,0.8308
63,18,38,9,9,0.7568,0.6667,0.8085,0.6667,0.773
64,23,36,5,10,0.7973,0.697,0.878,0.7541,0.8322
65,20,34,8,12,0.7297,0.625,0.8095,0.6667,0.8296
66,20,41,9,4,0.8243,0.8333,0.82,0.7547,0.8808
67,19,41,7,7,0.8108,0.7308,0.8542,0.7308,0.8702
68,20,38,12,4,0.7838,0.8333,0.76,0.7143,0.8092
69,14,36,14,10,0.6757,0.5833,0.72,0.5385,0.68
70,19,43,6,6,0.8378,0.76,0.8776,0.76,0.8637
71,12,49,6,7,0.8243,0.6316,0.8909,0.6486,0.8249
72,16,41,11,6,0.7703,0.7273,0.7885,0.6531,0.875
73,15,40,14,5,0.7432,0.75,0.7407,0.6122,0.7935
74,23,37,9,5,0.8108,0.8214,0.8043,0.7667,0.8991
75,23,41,7,3,0.8649,0.8846,0.8542,0.8214,0.9271
76,23,33,10,8,0.7568,0.7419,0.7674,0.7188,0.8102
77,16,36,12,10,0.7027,0.6154,0.75,0.5926,0.7516
78,15,43,7,9,0.7838,0.625,0.86,0.6522,0.7675
79,19,31,16,8,0.6757,0.7037,0.6596,0.6129,0.7336
80,13,46,6,9,0.7973,0.5909,0.8846,0.6341,0.8636
81,18,41,7,8,0.7973,0.6923,0.8542,0.7059,0.7997
82,12,43,7,12,0.7432,0.5,0.86,0.5581,0.7025
83,16,38,15,5,0.7297,0.7619,0.717,0.6154,0.8221
84,21,33,9,11,0.7297,0.6562,0.7857,0.6774,0.7902
85,19,39,12,4,0.7838,0.8261,0.7647,0.7037,0.8713
86,19,35,11,9,0.7297,0.6786,0.7609,0.6552,0.7919
87,19,40,9,6,0.7973,0.76,0.8163,0.717,0.8612
88,17,40,12,5,0.7703,0.7727,0.7692,0.6667,0.8488
89,24,35,8,7,0.7973,0.7742,0.814,0.7619,0.8672
