round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,20,30,12,12,0.6757,0.625,0.7143,0.625,0.7738
2,15,41,10,8,0.7568,0.6522,0.8039,0.625,0.867
3,20,38,8,8,0.7838,0.7143,0.8261,0.7143,0.8331
4,15,42,8,9,0.7703,0.625,0.84,0.6383,0.795
5,21,35,10,8,0.7568,0.7241,0.7778,0.7,0.8598
6,12,41,10,11,0.7162,0.5217,0.8039,0.5333,0.7323
7,20,36,9,9,0.7568,0.6897,0.8,0.6897,0.8276
8,13,39,15,7,0.7027,0.65,0.7222,0.5417,0.725
9,18,41,8,7,0.7973,0.72,0.8367,0.7059,0.8498
10,16,42,4,12,0.7838,0.5714,0.913,0.6667,0.8075
11,18,37,5,14,0.7432,0.5625,0.881,0.6545,0.8103
12,13,47,8,6,0.8108,0.6842,0.8545,0.65,0.8689
13,22,39,7,6,0.8243,0.7857,0.8478,0.7719,0.8727
14,14,48,8,4,0.8378,0.7778,0.8571,0.7,0.869
15,24,35,12,3,0.7973,0.8889,0.7447,0.7619,0.8637
16,23,31,11,9,0.7297,0.7188,0.7381,0.697,0.8333
17,16,40,13,5,0.7568,0.7619,0.7547,0.64,0.8014
18,15,44,4,11,0.7973,0.5769,0.9167,0.6667,0.7973
19,13,38,14,9,0.6892,0.5909,0.7308,0.5306,0.792
20,20,40,7,7,0.8108,0.7407,0.8511,0.7407,0.8353
21,16,41,10,7,0.7703,0.6957,0.8039,0.6531,0.7749
22,20,41,8,5,0.8243,0.8,0.8367,0.7547,0.8531
23,21,36,8,9,0.7703,0.7,0.8182,0.7119,0.8114
24,13,45,7,9,0.7838,0.5909,0.8654,0.619,0.7762
25,14,47,7,6,0.8243,0.7,0.8704,0.6829,0.8028
26,19,38,10,7,0.7703,0.7308,0.7917,0.6909,0.8189
27,15,43,7,9,0.7838,0.625,0.86,0.6522,0.7975
28,25,26,12,11,0.6892,0.6944,0.6842,0.6849,0.8085
29,19,44,8,3,0.8514,0.8636,0.8462,0.7755,0.9257
30,16,45,7,6,0.8243,0.7273,0.8654,0.7111,0.8776
31,17,37,13,7,0.7297,0.7083,0.74,0.6296,0.815
32,16,37,15,6,0.7162,0.7273,0.7115,0.6038,0.8278
33,19,39,6,10,0.7838,0.6552,0.8667,0.7037,0.7808
34,16,43,7,8,0.7973,0.6667,0.86,0.6809,0.7942
