round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,19,47,6,3,0.88,0.8636,0.8868,0.8085,0.8894
2,21,47,5,2,0.9067,0.913,0.9038,0.8571,0.9465
3,17,50,6,2,0.8933,0.8947,0.8929,0.8095,0.9549
4,17,50,4,4,0.8933,0.8095,0.9259,0.8095,0.9303
5,15,47,9,4,0.8267,0.7895,0.8393,0.6977,0.8515
6,24,45,5,1,0.92,0.96,0.9,0.8889,0.9496
7,17,49,6,3,0.88,0.85,0.8909,0.7907,0.9164
8,14,55,5,1,0.92,0.9333,0.9167,0.8235,0.9511
9,19,48,5,3,0.8933,0.8636,0.9057,0.8261,0.9383
10,15,49,10,1,0.8533,0.9375,0.8305,0.7317,0.9163
11,20,46,5,4,0.88,0.8333,0.902,0.8163,0.8881
12,16,46,7,6,0.8267,0.7273,0.8679,0.7111,0.8053
13,12,61,2,0,0.9733,1.0,0.9683,0.9231,0.9921
14,19,52,2,2,0.9467,0.9048,0.963,0.9048,0.9277
15,17,52,3,3,0.92,0.85,0.9455,0.85,0.9564
16,21,42,6,6,0.84,0.7778,0.875,0.7778,0.8634
17,14,54,5,2,0.9067,0.875,0.9153,0.8,0.9386
18,12,56,5,2,0.9067,0.8571,0.918,0.7742,0.9532
19,23,45,3,4,0.9067,0.8519,0.9375,0.8679,0.9097
20,12,52,6,5,0.8533,0.7059,0.8966,0.6857,0.8905
21,12,57,3,3,0.92,0.8,0.95,0.8,0.9633
22,25,43,6,1,0.9067,0.9615,0.8776,0.8772,0.9278
23,17,52,3,3,0.92,0.85,0.9455,0.85,0.88
24,16,54,2,3,0.9333,0.8421,0.9643,0.8649,0.968
25,15,50,8,2,0.8667,0.8824,0.8621,0.75,0.9452
26,20,45,6,4,0.8667,0.8333,0.8824,0.8,0.8832
27,19,48,3,5,0.8933,0.7917,0.9412,0.8261,0.9257
28,13,58,3,1,0.9467,0.9286,0.9508,0.8667,0.9719
29,17,51,6,1,0.9067,0.9444,0.8947,0.8293,0.9405
30,20,50,4,1,0.9333,0.9524,0.9259,0.8889,0.9709
31,22,49,2,2,0.9467,0.9167,0.9608,0.9167,0.9542
32,19,50,5,1,0.92,0.95,0.9091,0.8636,0.94
33,17,49,4,5,0.88,0.7727,0.9245,0.7907,0.8748
34,11,58,3,3,0.92,0.7857,0.9508,0.7857,0.9696
35,12,55,6,2,0.8933,0.8571,0.9016,0.75,0.8817
36,18,48,8,1,0.88,0.9474,0.8571,0.8,0.8919
37,18,51,3,3,0.92,0.8571,0.9444,0.8571,0.9418
38,13,53,5,4,0.88,0.7647,0.9138,0.7429,0.8398
39,21,47,6,1,0.9067,0.9545,0.8868,0.8571,0.9091
40,18,50,4,3,0.9067,0.8571,0.9259,0.8372,0.8933
41,29,38,3,5,0.8933,0.8529,0.9268,0.8788,0.9261
42,17,47,7,4,0.8533,0.8095,0.8704,0.7556,0.9021
43,16,47,6,6,0.84,0.7273,0.8868,0.7273,0.8636
44,19,48,5,3,0.8933,0.8636,0.9057,0.8261,0.9554
45,21,39,8,7,0.8,0.75,0.8298,0.7368,0.8298
46,20,48,5,2,0.9067,0.9091,0.9057,0.8511,0.9391
47,9,59,4,3,0.9067,0.75,0.9365,0.72,0.8942
48,22,47,3,3,0.92,0.88,0.94,0.88,0.908
49,18,49,4,4,0.8933,0.8182,0.9245,0.8182,0.9177
50,19,46,7,3,0.8667,0.8636,0.8679,0.7917,0.8885
51,23,46,5,1,0.92,0.9583,0.902,0.8846,0.9673
52,14,52,5,4,0.88,0.7778,0.9123,0.7568,0.9366
53,9,59,3,4,0.9067,0.6923,0.9516,0.72,0.9156
54,24,44,5,2,0.9067,0.9231,0.898,0.8727,0.9176
55,22,49,3,1,0.9467,0.9565,0.9423,0.9167,0.9791
56,18,44,6,7,0.8267,0.72,0.88,0.7347,0.868
57,20,43,8,4,0.84,0.8333,0.8431,0.7692,0.8448
58,15,53,5,2,0.9067,0.8824,0.9138,0.8108,0.8935
59,12,51,6,6,0.84,0.6667,0.8947,0.6667,0.8743
60,11,55,5,4,0.88,0.7333,0.9167,0.7097,0.8567
61,22,48,4,1,0.9333,0.9565,0.9231,0.898,0.9239
62,20,45,4,6,0.8667,0.7692,0.9184,0.8,0.9301
63,20,47,6,2,0.8933,0.9091,0.8868,0.8333,0.9048
64,15,53,3,4,0.9067,0.7895,0.9464,0.8108,0.9248
65,19,45,8,3,0.8533,0.8636,0.8491,0.7755,0.8894
66,21,47,6,1,0.9067,0.9545,0.8868,0.8571,0.9563
67,20,50,4,1,0.9333,0.9524,0.9259,0.8889,0.9356
68,20,45,4,6,0.8667,0.7692,0.9184,0.8,0.9074
69,20,45,6,4,0.8667,0.8333,0.8824,0.8,0.8783
70,17,46,10,2,0.84,0.8947,0.8214,0.7391,0.8675
71,20,50,3,2,0.9333,0.9091,0.9434,0.8889,0.9039
72,19,48,6,2,0.8933,0.9048,0.8889,0.8261,0.9356
73,24,37,6,8,0.8133,0.75,0.8605,0.7742,0.891
74,18,53,3,1,0.9467,0.9474,0.9464,0.9,0.9305
75,13,53,5,4,0.88,0.7647,0.9138,0.7429,0.8682
76,17,51,3,4,0.9067,0.8095,0.9444,0.8293,0.9603
77,11,50,7,7,0.8133,0.6111,0.8772,0.6111,0.8275
78,15,55,2,3,0.9333,0.8333,0.9649,0.8571,0.9064
79,16,45,9,5,0.8133,0.7619,0.8333,0.6957,0.7769
80,15,53,3,4,0.9067,0.7895,0.9464,0.8108,0.9173
81,16,46,7,6,0.8267,0.7273,0.8679,0.7111,0.8542
82,17,53,4,1,0.9333,0.9444,0.9298,0.8718,0.961
83,14,56,3,2,0.9333,0.875,0.9492,0.8485,0.9216
84,13,55,5,2,0.9067,0.8667,0.9167,0.7879,0.8778
85,14,49,6,6,0.84,0.7,0.8909,0.7,0.8718
86,19,52,2,2,0.9467,0.9048,0.963,0.9048,0.9735
87,21,48,4,2,0.92,0.913,0.9231,0.875,0.9214
88,17,49,2,7,0.88,0.7083,0.9608,0.7907,0.9216
89,16,47,10,2,0.84,0.8889,0.8246,0.7273,0.8499
90,11,55,7,2,0.88,0.8462,0.8871,0.7097,0.8834
91,16,47,8,4,0.84,0.8,0.8545,0.7273,0.8845
92,13,50,7,5,0.84,0.7222,0.8772,0.6842,0.8372
93,18,48,5,4,0.88,0.8182,0.9057,0.8,0.8859
94,24,44,5,2,0.9067,0.9231,0.898,0.8727,0.9137
95,16,53,1,5,0.92,0.7619,0.9815,0.8421,0.9321
96,12,52,6,5,0.8533,0.7059,0.8966,0.6857,0.8144
97,14,50,8,3,0.8533,0.8235,0.8621,0.7179,0.9087
98,21,47,3,4,0.9067,0.84,0.94,0.8571,0.9152
99,21,47,4,3,0.9067,0.875,0.9216,0.8571,0.9077
100,16,52,4,3,0.9067,0.8421,0.9286,0.8205,0.9098
101,14,53,5,3,0.8933,0.8235,0.9138,0.7778,0.9067
102,20,42,6,7,0.8267,0.7407,0.875,0.7547,0.8519
103,15,52,5,3,0.8933,0.8333,0.9123,0.7895,0.9094
104,21,51,2,1,0.96,0.9545,0.9623,0.9333,0.982
105,19,49,5,2,0.9067,0.9048,0.9074,0.8444,0.9118
106,11,58,5,1,0.92,0.9167,0.9206,0.7857,0.9114
107,19,48,3,5,0.8933,0.7917,0.9412,0.8261,0.9338
108,14,56,3,2,0.9333,0.875,0.9492,0.8485,0.9258
109,16,52,5,2,0.9067,0.8889,0.9123,0.8205,0.9327
110,16,52,3,4,0.9067,0.8,0.9455,0.8205,0.9182
111,14,51,6,4,0.8667,0.7778,0.8947,0.7368,0.9016
112,20,48,6,1,0.9067,0.9524,0.8889,0.8511,0.9427
113,13,55,4,3,0.9067,0.8125,0.9322,0.7879,0.9184
114,13,53,4,5,0.88,0.7222,0.9298,0.7429,0.8918
115,17,53,2,3,0.9333,0.85,0.9636,0.8718,0.9436
116,21,48,2,4,0.92,0.84,0.96,0.875,0.9376
117,22,49,2,2,0.9467,0.9167,0.9608,0.9167,0.9518
118,8,55,8,4,0.84,0.6667,0.873,0.5714,0.8307
119,14,51,4,6,0.8667,0.7,0.9273,0.7368,0.9127
120,17,47,8,3,0.8533,0.85,0.8545,0.7556,0.9273
121,20,45,8,2,0.8667,0.9091,0.8491,0.8,0.9494
122,17,50,5,3,0.8933,0.85,0.9091,0.8095,0.91
123,11,60,0,4,0.9467,0.7333,1.0,0.8462,0.9422
124,18,46,7,4,0.8533,0.8182,0.8679,0.766,0.9117
125,15,48,6,6,0.84,0.7143,0.8889,0.7143,0.8915
126,15,48,10,2,0.84,0.8824,0.8276,0.7143,0.8499
127,22,45,6,2,0.8933,0.9167,0.8824,0.8462,0.9216
128,17,52,3,3,0.92,0.85,0.9455,0.85,0.9591
129,23,44,4,4,0.8933,0.8519,0.9167,0.8519,0.9221
130,19,52,1,3,0.9467,0.8636,0.9811,0.9048,0.9631
131,14,49,7,5,0.84,0.7368,0.875,0.7,0.8618
132,12,54,7,2,0.88,0.8571,0.8852,0.7273,0.8607
133,15,52,8,0,0.8933,1.0,0.8667,0.7895,0.9389
134,17,46,6,6,0.84,0.7391,0.8846,0.7391,0.8696
135,16,45,8,6,0.8133,0.7273,0.8491,0.6957,0.8345
136,17,48,8,2,0.8667,0.8947,0.8571,0.7727,0.89
137,14,52,4,5,0.88,0.7368,0.9286,0.7568,0.9314
138,26,42,3,4,0.9067,0.8667,0.9333,0.8814,0.9511
139,21,48,2,4,0.92,0.84,0.96,0.875,0.9208
140,15,54,5,1,0.92,0.9375,0.9153,0.8333,0.946
141,16,51,6,2,0.8933,0.8889,0.8947,0.8,0.9318
142,18,50,5,2,0.9067,0.9,0.9091,0.8372,0.9609
143,17,51,4,3,0.9067,0.85,0.9273,0.8293,0.9291
144,18,46,4,7,0.8533,0.72,0.92,0.766,0.9288
145,18,50,6,1,0.9067,0.9474,0.8929,0.8372,0.9492
146,13,51,8,3,0.8533,0.8125,0.8644,0.7027,0.8856
147,21,52,1,1,0.9733,0.9545,0.9811,0.9545,0.9828
148,14,52,5,4,0.88,0.7778,0.9123,0.7568,0.9181
149,18,52,2,3,0.9333,0.8571,0.963,0.878,0.9409
150,15,46,11,3,0.8133,0.8333,0.807,0.6818,0.8596
151,19,43,9,4,0.8267,0.8261,0.8269,0.7451,0.8135
152,14,55,3,3,0.92,0.8235,0.9483,0.8235,0.9138
153,15,52,7,1,0.8933,0.9375,0.8814,0.7895,0.9608
154,15,54,4,2,0.92,0.8824,0.931,0.8333,0.9239
155,15,49,9,2,0.8533,0.8824,0.8448,0.7317,0.9016
156,17,49,7,2,0.88,0.8947,0.875,0.7907,0.8947
157,18,49,4,4,0.8933,0.8182,0.9245,0.8182,0.8979
158,18,50,5,2,0.9067,0.9,0.9091,0.8372,0.91
159,20,46,8,1,0.88,0.9524,0.8519,0.8163,0.9198
160,20,45,9,1,0.8667,0.9524,0.8333,0.8,0.9409
161,8,59,5,3,0.8933,0.7273,0.9219,0.6667,0.9062
162,16,52,5,2,0.9067,0.8889,0.9123,0.8205,0.9347
163,17,46,8,4,0.84,0.8095,0.8519,0.7391,0.8545
