round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,15,47,4,9,0.8267,0.625,0.9216,0.6977,0.9502
2,10,51,4,10,0.8133,0.5,0.9273,0.5882,0.9018
3,11,53,3,8,0.8533,0.5789,0.9464,0.6667,0.9483
4,13,45,8,9,0.7733,0.5909,0.8491,0.6047,0.8671
5,13,47,5,10,0.8,0.5652,0.9038,0.6341,0.908
6,8,53,5,9,0.8133,0.4706,0.9138,0.5333,0.8631
7,8,57,4,6,0.8667,0.5714,0.9344,0.6154,0.9426
8,11,45,8,11,0.7467,0.5,0.8491,0.5366,0.9142
9,9,51,5,10,0.8,0.4737,0.9107,0.5455,0.8844
10,14,50,1,10,0.8533,0.5833,0.9804,0.7179,0.9232
11,12,43,7,13,0.7333,0.48,0.86,0.5455,0.8648
12,13,51,5,6,0.8533,0.6842,0.9107,0.7027,0.9361
13,12,52,5,6,0.8533,0.6667,0.9123,0.6857,0.8743
14,12,50,4,9,0.8267,0.5714,0.9259,0.6486,0.9224
15,16,49,7,3,0.8667,0.8421,0.875,0.7619,0.9492
16,7,53,9,6,0.8,0.5385,0.8548,0.4828,0.8511
17,16,51,4,4,0.8933,0.8,0.9273,0.8,0.9555
18,11,48,6,10,0.7867,0.5238,0.8889,0.5789,0.9383
19,8,55,3,9,0.84,0.4706,0.9483,0.5714,0.8864
20,23,42,3,7,0.8667,0.7667,0.9333,0.8214,0.9274
21,12,50,3,10,0.8267,0.5455,0.9434,0.6486,0.8636
22,9,53,6,7,0.8267,0.5625,0.8983,0.5806,0.9513
23,10,51,7,7,0.8133,0.5882,0.8793,0.5882,0.9412
24,16,50,5,4,0.88,0.8,0.9091,0.7805,0.9482
25,10,53,5,7,0.84,0.5882,0.9138,0.625,0.9006
26,14,52,5,4,0.88,0.7778,0.9123,0.7568,0.9162
27,11,49,6,9,0.8,0.55,0.8909,0.5946,0.8682
28,10,50,4,11,0.8,0.4762,0.9259,0.5714,0.9127
29,12,51,5,7,0.84,0.6316,0.9107,0.6667,0.9455
30,14,44,5,12,0.7733,0.5385,0.898,0.6222,0.8948
31,9,54,6,6,0.84,0.6,0.9,0.6,0.9511
32,13,51,5,6,0.8533,0.6842,0.9107,0.7027,0.9276
33,7,52,3,13,0.7867,0.35,0.9455,0.4667,0.9118
34,13,48,8,6,0.8133,0.6842,0.8571,0.65,0.8863
35,11,49,6,9,0.8,0.55,0.8909,0.5946,0.9264
36,11,54,5,5,0.8667,0.6875,0.9153,0.6875,0.8962
37,8,55,5,7,0.84,0.5333,0.9167,0.5714,0.9378
38,11,52,4,8,0.84,0.5789,0.9286,0.6471,0.9023
39,17,39,3,16,0.7467,0.5152,0.9286,0.6415,0.9437
40,17,44,6,8,0.8133,0.68,0.88,0.7083,0.9272
41,8,51,11,5,0.7867,0.6154,0.8226,0.5,0.866
42,11,46,7,11,0.76,0.5,0.8679,0.55,0.8714
43,16,48,7,4,0.8533,0.8,0.8727,0.7442,0.9045
44,7,56,8,4,0.84,0.6364,0.875,0.5385,0.8963
45,11,50,6,8,0.8133,0.5789,0.8929,0.6111,0.9041
46,11,52,3,9,0.84,0.55,0.9455,0.6471,0.9236
47,12,50,2,11,0.8267,0.5217,0.9615,0.6486,0.9457
48,11,44,6,14,0.7333,0.44,0.88,0.5238,0.8784
49,12,51,5,7,0.84,0.6316,0.9107,0.6667,0.9276
50,10,54,2,9,0.8533,0.5263,0.9643,0.6452,0.9756
51,11,43,6,15,0.72,0.4231,0.8776,0.5116,0.8823
52,17,48,3,7,0.8667,0.7083,0.9412,0.7727,0.9657
53,9,53,6,7,0.8267,0.5625,0.8983,0.5806,0.9492
54,12,50,3,10,0.8267,0.5455,0.9434,0.6486,0.9571
55,11,51,4,9,0.8267,0.55,0.9273,0.6286,0.9136
56,19,43,1,12,0.8267,0.6129,0.9773,0.7451,0.9355
57,15,47,2,11,0.8267,0.5769,0.9592,0.6977,0.9278
58,12,51,3,9,0.84,0.5714,0.9444,0.6667,0.9709
59,10,50,3,12,0.8,0.4545,0.9434,0.5714,0.9485
60,12,52,3,8,0.8533,0.6,0.9455,0.6857,0.9664
61,20,43,5,7,0.84,0.7407,0.8958,0.7692,0.9097
62,13,49,2,11,0.8267,0.5417,0.9608,0.6667,0.9453
63,9,55,4,7,0.8533,0.5625,0.9322,0.6207,0.9184
64,13,51,3,8,0.8533,0.619,0.9444,0.7027,0.9312
65,12,45,8,10,0.76,0.5455,0.8491,0.5714,0.8636
66,16,43,9,7,0.7867,0.6957,0.8269,0.6667,0.9189
67,14,50,4,7,0.8533,0.6667,0.9259,0.7179,0.9224
68,13,46,9,7,0.7867,0.65,0.8364,0.619,0.9327
69,14,47,5,9,0.8133,0.6087,0.9038,0.6667,0.9348
70,13,49,6,7,0.8267,0.65,0.8909,0.6667,0.9036
71,13,51,5,6,0.8533,0.6842,0.9107,0.7027,0.9596
72,15,42,7,11,0.76,0.5769,0.8571,0.625,0.9129
73,11,49,6,9,0.8,0.55,0.8909,0.5946,0.9209
74,14,50,3,8,0.8533,0.6364,0.9434,0.7179,0.9271
75,10,53,6,6,0.84,0.625,0.8983,0.625,0.9364
76,9,51,5,10,0.8,0.4737,0.9107,0.5455,0.9079
77,12,52,4,7,0.8533,0.6316,0.9286,0.6857,0.9436
78,15,48,6,6,0.84,0.7143,0.8889,0.7143,0.925
