round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
1,16,51,7,1,0.8933,0.9412,0.8793,0.8,0.9523
2,19,51,2,3,0.9333,0.8636,0.9623,0.8837,0.9365
3,22,43,6,4,0.8667,0.8462,0.8776,0.8148,0.9278
4,17,48,7,3,0.8667,0.85,0.8727,0.7727,0.8873
5,20,46,3,6,0.88,0.7692,0.9388,0.8163,0.8854
6,18,48,4,5,0.88,0.7826,0.9231,0.8,0.9181
7,15,47,11,2,0.8267,0.8824,0.8103,0.6977,0.858
8,16,49,6,4,0.8667,0.8,0.8909,0.7619,0.8573
9,12,53,7,3,0.8667,0.8,0.8833,0.7059,0.8578
10,14,54,3,4,0.9067,0.7778,0.9474,0.8,0.924
11,16,51,5,3,0.8933,0.8421,0.9107,0.8,0.9135
12,12,56,5,2,0.9067,0.8571,0.918,0.7742,0.9309
13,17,50,8,0,0.8933,1.0,0.8621,0.8095,0.9432
14,18,48,5,4,0.88,0.8182,0.9057,0.8,0.8877
15,15,48,7,5,0.84,0.75,0.8727,0.7143,0.85
16,11,48,9,7,0.7867,0.6111,0.8421,0.5789,0.7729
17,15,56,2,2,0.9467,0.8824,0.9655,0.8824,0.9442
18,17,53,4,1,0.9333,0.9444,0.9298,0.8718,0.9669
19,15,48,5,7,0.84,0.6818,0.9057,0.7143,0.8533
20,21,44,5,5,0.8667,0.8077,0.898,0.8077,0.8972
21,14,45,7,9,0.7867,0.6087,0.8654,0.6364,0.7868
22,18,43,5,9,0.8133,0.6667,0.8958,0.72,0.8511
23,16,50,5,4,0.88,0.8,0.9091,0.7805,0.8609
24,20,49,4,2,0.92,0.9091,0.9245,0.8696,0.9374
25,17,48,5,5,0.8667,0.7727,0.9057,0.7727,0.922
26,21,46,3,5,0.8933,0.8077,0.9388,0.84,0.8901
27,11,54,8,2,0.8667,0.8462,0.871,0.6875,0.9045
28,15,53,5,2,0.9067,0.8824,0.9138,0.8108,0.931
29,12,58,3,2,0.9333,0.8571,0.9508,0.8276,0.9532
30,16,51,5,3,0.8933,0.8421,0.9107,0.8,0.9145
31,12,54,2,7,0.88,0.6316,0.9643,0.7273,0.8402
32,17,48,7,3,0.8667,0.85,0.8727,0.7727,0.8773
33,17,43,7,8,0.8,0.68,0.86,0.6939,0.8448
34,14,49,6,6,0.84,0.7,0.8909,0.7,0.8764
35,15,53,4,3,0.9067,0.8333,0.9298,0.8108,0.9776
36,15,51,6,3,0.88,0.8333,0.8947,0.7692,0.8928
37,17,44,10,4,0.8133,0.8095,0.8148,0.7083,0.8721
38,11,55,5,4,0.88,0.7333,0.9167,0.7097,0.8944
39,18,43,8,6,0.8133,0.75,0.8431,0.72,0.8276
40,13,48,6,8,0.8133,0.619,0.8889,0.65,0.8651
41,18,47,4,6,0.8667,0.75,0.9216,0.7826,0.8186
42,13,55,1,6,0.9067,0.6842,0.9821,0.7879,0.9286
43,15,51,6,3,0.88,0.8333,0.8947,0.7692,0.9103
44,22,43,6,4,0.8667,0.8462,0.8776,0.8148,0.9278
45,13,50,4,8,0.84,0.619,0.9259,0.6842,0.8721
46,15,55,4,1,0.9333,0.9375,0.9322,0.8571,0.9237
47,14,54,3,4,0.9067,0.7778,0.9474,0.8,0.8908
48,16,42,8,9,0.7733,0.64,0.84,0.6531,0.8368
49,17,49,6,3,0.88,0.85,0.8909,0.7907,0.9436
50,13,52,4,6,0.8667,0.6842,0.9286,0.7222,0.9333
51,11,50,7,7,0.8133,0.6111,0.8772,0.6111,0.8596
52,23,44,5,3,0.8933,0.8846,0.898,0.8519,0.9019
53,16,53,3,3,0.92,0.8421,0.9464,0.8421,0.9643
54,15,54,4,2,0.92,0.8824,0.931,0.8333,0.926
55,12,57,4,2,0.92,0.8571,0.9344,0.8,0.966
56,12,55,5,3,0.8933,0.8,0.9167,0.75,0.9467
57,14,53,3,5,0.8933,0.7368,0.9464,0.7778,0.8759
58,17,50,4,4,0.8933,0.8095,0.9259,0.8095,0.9471
59,12,53,6,4,0.8667,0.75,0.8983,0.7059,0.8951
60,16,47,7,5,0.84,0.7619,0.8704,0.7273,0.9118
61,21,48,5,1,0.92,0.9545,0.9057,0.875,0.964
62,11,56,6,2,0.8933,0.8462,0.9032,0.7333,0.866
63,14,52,5,4,0.88,0.7778,0.9123,0.7568,0.886
64,14,50,9,2,0.8533,0.875,0.8475,0.7179,0.9068
65,23,44,4,4,0.8933,0.8519,0.9167,0.8519,0.9082
66,16,50,4,5,0.88,0.7619,0.9259,0.7805,0.8492
67,17,46,9,3,0.84,0.85,0.8364,0.7391,0.9318
68,16,50,3,6,0.88,0.7273,0.9434,0.7805,0.8877
69,12,52,7,4,0.8533,0.75,0.8814,0.6857,0.8464
70,18,47,6,4,0.8667,0.8182,0.8868,0.7826,0.8739
71,17,52,4,2,0.92,0.8947,0.9286,0.85,0.9549
72,25,42,7,1,0.8933,0.9615,0.8571,0.8621,0.9317
73,19,48,3,5,0.8933,0.7917,0.9412,0.8261,0.9265
74,16,49,7,3,0.8667,0.8421,0.875,0.7619,0.8919
75,11,56,4,4,0.8933,0.7333,0.9333,0.7333,0.8789
76,11,51,8,5,0.8267,0.6875,0.8644,0.6286,0.8697
77,26,40,4,5,0.88,0.8387,0.9091,0.8525,0.9032
78,16,50,6,3,0.88,0.8421,0.8929,0.7805,0.9502
79,15,51,6,3,0.88,0.8333,0.8947,0.7692,0.9172
80,13,53,4,5,0.88,0.7222,0.9298,0.7429,0.9142
81,11,54,6,4,0.8667,0.7333,0.9,0.6875,0.88
82,9,57,2,7,0.88,0.5625,0.9661,0.6667,0.8263
83,16,49,8,2,0.8667,0.8889,0.8596,0.7619,0.885
84,22,44,2,7,0.88,0.7586,0.9565,0.8302,0.931
85,23,44,4,4,0.8933,0.8519,0.9167,0.8519,0.9375
86,19,49,3,4,0.9067,0.8261,0.9423,0.8444,0.9298
87,15,48,7,5,0.84,0.75,0.8727,0.7143,0.8955
88,19,49,6,1,0.9067,0.95,0.8909,0.8444,0.9645
89,18,49,6,2,0.8933,0.9,0.8909,0.8182,0.9118
90,15,47,6,7,0.8267,0.6818,0.8868,0.6977,0.8276
91,12,52,9,2,0.8533,0.8571,0.8525,0.6857,0.877
92,17,51,2,5,0.9067,0.7727,0.9623,0.8293,0.9057
93,16,48,5,6,0.8533,0.7273,0.9057,0.7442,0.8868
94,18,45,7,5,0.84,0.7826,0.8654,0.75,0.8871
95,15,53,2,5,0.9067,0.75,0.9636,0.8108,0.8991
96,11,52,6,6,0.84,0.6471,0.8966,0.6471,0.7059
97,18,51,1,5,0.92,0.7826,0.9808,0.8571,0.939
98,16,52,5,2,0.9067,0.8889,0.9123,0.8205,0.924
99,20,46,7,2,0.88,0.9091,0.8679,0.8163,0.934
100,17,51,6,1,0.9067,0.9444,0.8947,0.8293,0.9357
101,19,45,9,2,0.8533,0.9048,0.8333,0.7755,0.9215
102,19,49,4,3,0.9067,0.8636,0.9245,0.8444,0.9142
103,15,54,3,3,0.92,0.8333,0.9474,0.8333,0.9337
104,19,46,5,5,0.8667,0.7917,0.902,0.7917,0.9395
105,13,54,5,3,0.8933,0.8125,0.9153,0.7647,0.8888
106,16,51,6,2,0.8933,0.8889,0.8947,0.8,0.8762
107,17,51,4,3,0.9067,0.85,0.9273,0.8293,0.9045
108,22,45,5,3,0.8933,0.88,0.9,0.8462,0.9168
109,17,50,6,2,0.8933,0.8947,0.8929,0.8095,0.9135
110,16,48,8,3,0.8533,0.8421,0.8571,0.7442,0.9305
111,13,47,8,7,0.8,0.65,0.8545,0.6341,0.85
112,16,52,3,4,0.9067,0.8,0.9455,0.8205,0.8936
113,19,46,7,3,0.8667,0.8636,0.8679,0.7917,0.8945
114,15,48,6,6,0.84,0.7143,0.8889,0.7143,0.8633
115,11,54,5,5,0.8667,0.6875,0.9153,0.6875,0.8676
116,10,60,0,5,0.9333,0.6667,1.0,0.8,0.9267
117,16,48,7,4,0.8533,0.8,0.8727,0.7442,0.8755
118,11,51,10,3,0.8267,0.7857,0.8361,0.6286,0.8724
119,17,52,5,1,0.92,0.9444,0.9123,0.85,0.9756
120,19,50,4,2,0.92,0.9048,0.9259,0.8636,0.9339
121,13,52,8,2,0.8667,0.8667,0.8667,0.7222,0.9078
122,15,55,0,5,0.9333,0.75,1.0,0.8571,0.9455
123,17,46,7,5,0.84,0.7727,0.8679,0.7391,0.8756
124,18,45,8,4,0.84,0.8182,0.8491,0.75,0.922
125,19,49,6,1,0.9067,0.95,0.8909,0.8444,0.9555
126,16,49,7,3,0.8667,0.8421,0.875,0.7619,0.906
127,11,52,5,7,0.84,0.6111,0.9123,0.6471,0.8324
128,16,53,3,3,0.92,0.8421,0.9464,0.8421,0.9445
129,20,40,10,5,0.8,0.8,0.8,0.7273,0.8632
130,15,48,8,4,0.84,0.7895,0.8571,0.7143,0.8769
131,15,51,6,3,0.88,0.8333,0.8947,0.7692,0.9142
132,13,53,3,6,0.88,0.6842,0.9464,0.7429,0.8966
133,15,49,10,1,0.8533,0.9375,0.8305,0.7317,0.9608
134,15,53,6,1,0.9067,0.9375,0.8983,0.8108,0.9322
135,16,50,5,4,0.88,0.8,0.9091,0.7805,0.8982
136,16,53,4,2,0.92,0.8889,0.9298,0.8421,0.9094
137,19,48,2,6,0.8933,0.76,0.96,0.8261,0.8912
138,19,50,3,3,0.92,0.8636,0.9434,0.8636,0.9614
139,12,58,4,1,0.9333,0.9231,0.9355,0.8276,0.9392
140,16,47,9,3,0.84,0.8421,0.8393,0.7273,0.9135
141,21,44,7,3,0.8667,0.875,0.8627,0.8077,0.8922
142,13,52,5,5,0.8667,0.7222,0.9123,0.7222,0.8996
143,19,47,3,6,0.88,0.76,0.94,0.8085,0.9176
144,19,49,3,4,0.9067,0.8261,0.9423,0.8444,0.9339
145,16,50,5,4,0.88,0.8,0.9091,0.7805,0.89
146,22,49,3,1,0.9467,0.9565,0.9423,0.9167,0.9866
147,17,51,6,1,0.9067,0.9444,0.8947,0.8293,0.9191
148,12,56,5,2,0.9067,0.8571,0.918,0.7742,0.9297
149,12,58,2,3,0.9333,0.8,0.9667,0.8276,0.9278
150,13,49,9,4,0.8267,0.7647,0.8448,0.6667,0.8489
151,16,49,4,6,0.8667,0.7273,0.9245,0.7619,0.8765
152,13,58,2,2,0.9467,0.8667,0.9667,0.8667,0.9844
153,11,52,8,4,0.84,0.7333,0.8667,0.6471,0.8178
154,14,50,6,5,0.8533,0.7368,0.8929,0.7179,0.8844
155,13,56,3,3,0.92,0.8125,0.9492,0.8125,0.9555
156,10,55,7,3,0.8667,0.7692,0.8871,0.6667,0.8499
157,19,52,0,4,0.9467,0.8261,1.0,0.9048,0.9381
158,15,53,2,5,0.9067,0.75,0.9636,0.8108,0.9418
159,12,52,5,6,0.8533,0.6667,0.9123,0.6857,0.8548
160,10,58,3,4,0.9067,0.7143,0.9508,0.7407,0.8513
161,16,51,1,7,0.8933,0.6957,0.9808,0.8,0.9448
162,15,52,6,2,0.8933,0.8824,0.8966,0.7895,0.9381
163,7,61,3,4,0.9067,0.6364,0.9531,0.6667,0.8409
164,18,49,5,3,0.8933,0.8571,0.9074,0.8182,0.9453
165,14,56,3,2,0.9333,0.875,0.9492,0.8485,0.9089
166,17,49,2,7,0.88,0.7083,0.9608,0.7907,0.9118
167,17,41,11,6,0.7733,0.7391,0.7885,0.6667,0.8487
168,19,43,6,7,0.8267,0.7308,0.8776,0.7451,0.8516
169,17,54,2,2,0.9467,0.8947,0.9643,0.8947,0.9201
170,22,43,9,1,0.8667,0.9565,0.8269,0.8148,0.9323
171,16,50,6,3,0.88,0.8421,0.8929,0.7805,0.86
172,13,58,3,1,0.9467,0.9286,0.9508,0.8667,0.9789
173,17,44,8,6,0.8133,0.7391,0.8462,0.7083,0.8888
174,19,52,4,0,0.9467,1.0,0.9286,0.9048,1.0
175,20,48,1,6,0.9067,0.7692,0.9796,0.8511,0.9451
176,13,53,6,3,0.88,0.8125,0.8983,0.7429,0.9481
177,15,49,3,8,0.8533,0.6522,0.9423,0.7317,0.8855
178,22,46,6,1,0.9067,0.9565,0.8846,0.8627,0.9515
179,11,60,2,2,0.9467,0.8462,0.9677,0.8462,0.9367
180,9,53,6,7,0.8267,0.5625,0.8983,0.5806,0.8104
181,12,59,0,4,0.9467,0.75,1.0,0.8571,0.9089
182,20,46,7,2,0.88,0.9091,0.8679,0.8163,0.9314
183,16,50,5,4,0.88,0.8,0.9091,0.7805,0.9191
184,15,49,6,5,0.8533,0.75,0.8909,0.7317,0.9027
185,18,51,3,3,0.92,0.8571,0.9444,0.8571,0.9259
186,15,49,6,5,0.8533,0.75,0.8909,0.7317,0.8618
187,13,51,9,2,0.8533,0.8667,0.85,0.7027,0.8667
188,19,49,3,4,0.9067,0.8261,0.9423,0.8444,0.9423
189,18,53,2,2,0.9467,0.9,0.9636,0.9,0.9736
190,20,47,5,3,0.8933,0.8696,0.9038,0.8333,0.9473
191,15,50,5,5,0.8667,0.75,0.9091,0.75,0.9027
192,9,58,5,3,0.8933,0.75,0.9206,0.6923,0.8796
193,20,49,3,3,0.92,0.8696,0.9423,0.8696,0.939
194,14,55,4,2,0.92,0.875,0.9322,0.8235,0.8919
195,12,51,7,5,0.84,0.7059,0.8793,0.6667,0.854
196,15,50,5,5,0.8667,0.75,0.9091,0.75,0.8836
197,12,56,3,4,0.9067,0.75,0.9492,0.7742,0.9131
198,12,51,7,5,0.84,0.7059,0.8793,0.6667,0.8773
199,18,51,2,4,0.92,0.8182,0.9623,0.8571,0.9374
200,10,52,3,10,0.8267,0.5,0.9455,0.6061,0.8355
201,18,46,8,3,0.8533,0.8571,0.8519,0.766,0.888
202,14,57,3,1,0.9467,0.9333,0.95,0.875,0.99
203,12,52,6,5,0.8533,0.7059,0.8966,0.6857,0.8438
204,19,45,6,5,0.8533,0.7917,0.8824,0.7755,0.9109
205,15,52,5,3,0.8933,0.8333,0.9123,0.7895,0.884
206,21,40,7,7,0.8133,0.75,0.8511,0.75,0.8533
207,16,48,5,6,0.8533,0.7273,0.9057,0.7442,0.8654
208,14,52,3,6,0.88,0.7,0.9455,0.7568,0.9182
209,11,47,8,9,0.7733,0.55,0.8545,0.5641,0.8245
210,18,44,9,4,0.8267,0.8182,0.8302,0.7347,0.9099
211,17,51,4,3,0.9067,0.85,0.9273,0.8293,0.9682
212,17,49,4,5,0.88,0.7727,0.9245,0.7907,0.9194
213,12,48,3,12,0.8,0.5,0.9412,0.6154,0.7876
214,18,50,5,2,0.9067,0.9,0.9091,0.8372,0.9118
215,11,57,4,3,0.9067,0.7857,0.9344,0.7586,0.9368
216,15,51,6,3,0.88,0.8333,0.8947,0.7692,0.885
217,16,54,2,3,0.9333,0.8421,0.9643,0.8649,0.8957
218,21,48,3,3,0.92,0.875,0.9412,0.875,0.9387
219,15,51,6,3,0.88,0.8333,0.8947,0.7692,0.9542
220,17,49,5,4,0.88,0.8095,0.9074,0.7907,0.9012
221,10,58,4,3,0.9067,0.7692,0.9355,0.7407,0.9293
222,13,53,5,4,0.88,0.7647,0.9138,0.7429,0.9016
223,14,56,3,2,0.9333,0.875,0.9492,0.8485,0.91
224,13,54,4,4,0.8933,0.7647,0.931,0.7647,0.9037
225,14,50,5,6,0.8533,0.7,0.9091,0.7179,0.8918
226,16,51,6,2,0.8933,0.8889,0.8947,0.8,0.9357
227,15,47,8,5,0.8267,0.75,0.8545,0.6977,0.8482
228,16,52,5,2,0.9067,0.8889,0.9123,0.8205,0.9103
229,21,45,8,1,0.88,0.9545,0.8491,0.8235,0.9254
230,8,60,3,4,0.9067,0.6667,0.9524,0.6957,0.914
231,18,49,5,3,0.8933,0.8571,0.9074,0.8182,0.955
232,19,47,4,5,0.88,0.7917,0.9216,0.8085,0.9069
233,11,59,4,1,0.9333,0.9167,0.9365,0.8148,0.9577
234,15,50,8,2,0.8667,0.8824,0.8621,0.75,0.9067
235,16,54,4,1,0.9333,0.9412,0.931,0.8649,0.9665
236,17,56,1,1,0.9733,0.9444,0.9825,0.9444,0.9786
237,17,51,4,3,0.9067,0.85,0.9273,0.8293,0.9191
238,15,54,4,2,0.92,0.8824,0.931,0.8333,0.9442
239,18,49,7,1,0.8933,0.9474,0.875,0.8182,0.9577
240,25,41,4,5,0.88,0.8333,0.9111,0.8475,0.8867
241,14,51,4,6,0.8667,0.7,0.9273,0.7368,0.8991
242,11,54,5,5,0.8667,0.6875,0.9153,0.6875,0.9237
243,13,56,4,2,0.92,0.8667,0.9333,0.8125,0.9622
244,11,54,7,3,0.8667,0.7857,0.8852,0.6875,0.8712
245,11,55,2,7,0.88,0.6111,0.9649,0.7097,0.9405
246,18,45,8,4,0.84,0.8182,0.8491,0.75,0.8842
247,15,51,5,4,0.88,0.7895,0.9107,0.7692,0.8769
248,21,44,8,2,0.8667,0.913,0.8462,0.8077,0.8763
249,14,49,8,4,0.84,0.7778,0.8596,0.7,0.8977
250,14,51,9,1,0.8667,0.9333,0.85,0.7368,0.9144
251,18,45,8,4,0.84,0.8182,0.8491,0.75,0.8885
252,22,40,8,5,0.8267,0.8148,0.8333,0.7719,0.8588
253,15,50,3,7,0.8667,0.6818,0.9434,0.75,0.8413
